League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
SERBIA - SUPER LIGA,2024-04-22,11:00:00,IMT Novi Beograd,Zeleznicar Pancevo,2.16,2.44,3.05,3.7,3.5,4.2,2.02,2.28,1.78,1.99,1.68,1.84,2.18,2.48,4.9,18.0,4.7,16.0,5.3,26.0,1.63,65.0,4.3,12.5,7.0,9.4,4.7,15.5,1.77,40.0,4.8,17.0,4.3,12.5,5.0,19.0,1.68,1000.0,2.7,34.0,5.3,26.0,2.18,38.0,1.65,1000.0,1.52,17.5,1.45,34.0,1.17,1000.0,33205685,17203916.0,17203915.0,58805.0,1.227831569,1.227831614,1.227831653,1.227831578,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-22,11:00:00,ZED,El Gouna,1.84,2.02,4.6,5.6,3.15,3.6,1.59,1.81,2.24,2.68,2.0,2.36,1.73,2.0,8.0,11.0,12.0,16.0,5.7,40.0,6.4,140.0,6.0,8.0,6.4,8.6,17.5,24.0,6.2,90.0,8.4,11.5,8.8,12.0,19.0,26.0,6.2,110.0,18.0,25.0,19.5,27.0,6.0,60.0,6.4,190.0,5.1,21.0,6.4,130.0,6.6,1000.0,33204270,38208152.0,5202561.0,58805.0,1.227809953,1.227809998,1.227810037,1.227809962,3.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
CROATIA - HNL,2024-04-22,12:00:00,Rudes,Varazdin,3.25,5.5,1.5,2.54,2.76,200.0,1.7,2.7,1.59,2.42,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33201070,4940512.0,5611653.0,58805.0,1.227754073,1.227754118,1.227754157,1.227754082,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ROMANIA - LIGA 1,2024-04-22,13:00:00,Petrolul,UTA Arad,2.08,2.44,3.3,4.7,2.78,4.1,1.54,1.92,2.08,2.84,1.83,1000.0,1.71,1000.0,3.25,12.0,3.45,14.5,1.61,32.0,1.09,1000.0,3.1,9.8,3.0,9.0,3.65,20.0,1.09,1000.0,3.5,15.5,3.4,14.0,1.59,27.0,1.09,1000.0,1.62,36.0,1.61,34.0,1.09,1000.0,1.05,1000.0,1.09,29.0,1.04,1000.0,1.05,1000.0,33195807,14299496.0,2311174.0,58805.0,1.227673763,1.227673808,1.227673847,1.227673772,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
SERBIA - SUPER LIGA,2024-04-22,13:00:00,Mladost,Napredak,2.16,2.28,3.7,4.3,3.2,3.7,1.63,1.79,2.26,2.66,1.99,2.24,1.81,2.02,2.92,11.5,2.2,13.0,2.44,29.0,2.58,1000.0,3.9,8.2,6.4,8.2,2.32,18.5,2.56,65.0,9.8,13.5,2.18,12.5,2.4,25.0,2.58,1000.0,2.46,32.0,2.44,30.0,2.14,1000.0,2.62,1000.0,2.04,26.0,1.87,1000.0,1.59,1000.0,33205682,2503610.0,2531444.0,58805.0,1.227831659,1.227831704,1.227831743,1.227831668,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
POLAND - EKSTRAKLASA,2024-04-22,14:00:00,Warta Poznan,Stal Mielec,2.16,2.28,4.1,4.6,3.0,3.2,1.49,1.56,2.78,3.05,2.26,2.44,1.69,1.79,6.4,8.4,9.0,12.5,5.8,32.0,6.6,120.0,5.7,7.4,6.0,8.0,16.0,22.0,6.4,90.0,9.6,13.0,10.0,13.5,21.0,30.0,6.6,130.0,5.8,32.0,5.9,36.0,6.4,80.0,6.8,260.0,5.8,34.0,6.6,140.0,7.0,1000.0,33196028,3348521.0,10133739.0,58805.0,1.227675975,1.22767602,1.227676059,1.227675984,5.0,2.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
SWEDEN - ALLSVENSKAN,2024-04-22,14:00:00,Elfsborg,Kalmar,1.6,1.65,5.9,6.8,4.2,4.7,2.08,2.34,1.74,1.93,1.8,2.06,1.95,2.26,12.5,22.0,17.5,27.0,5.2,60.0,5.6,190.0,8.0,9.8,8.2,11.0,18.5,28.0,5.4,95.0,8.2,11.0,8.2,11.0,17.5,26.0,5.4,95.0,12.5,19.0,13.5,20.0,26.0,42.0,5.5,140.0,3.5,9.2,5.4,110.0,5.7,1000.0,33195431,30684.0,130433.0,58805.0,1.227658678,1.227658688,1.227658677,1.227658687,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-04-22,14:00:00,Orebro,Varberg,2.56,2.76,2.8,3.0,3.35,3.65,1.79,1.93,2.08,2.28,1.82,2.02,1.99,2.22,9.8,13.0,8.6,11.5,15.0,20.0,6.8,50.0,9.2,11.0,7.0,8.2,10.5,14.5,6.6,38.0,14.5,18.5,10.5,13.5,16.0,21.0,7.0,55.0,6.8,44.0,6.4,34.0,7.0,55.0,7.6,130.0,6.2,30.0,6.4,34.0,8.0,1000.0,33200251,42617.0,6225055.0,58805.0,1.227738113,1.227738158,1.227738197,1.227738122,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-22,14:00:00,Al Ittihad,El Ismaily,2.56,2.86,2.92,3.35,2.88,3.4,1.62,1.76,2.3,2.62,1.89,2.26,1.82,2.1,7.2,11.5,7.6,12.0,14.0,23.0,4.4,65.0,7.0,11.0,5.6,8.6,10.5,17.0,4.3,50.0,11.5,19.5,9.8,15.5,15.0,26.0,4.4,75.0,4.3,50.0,4.2,42.0,4.4,70.0,4.6,180.0,4.2,42.0,4.3,55.0,4.7,1000.0,33204272,7023879.0,5170870.0,58805.0,1.227809863,1.227809908,1.227809947,1.227809872,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
EGYPT - PREMIER LEAGUE,2024-04-22,14:00:00,El Daklyeh,Future FC,4.8,6.6,1.95,2.14,2.92,3.6,1.44,1.6,2.66,3.55,2.1,2.7,1.53,1.81,3.0,9.4,4.8,7.6,3.25,12.5,3.85,30.0,3.4,15.0,2.98,9.2,3.35,14.5,3.95,38.0,4.0,46.0,3.8,29.0,3.9,36.0,4.2,1000.0,4.3,1000.0,4.2,1000.0,4.3,1000.0,4.3,1000.0,4.3,1000.0,3.85,32.0,4.4,1000.0,33204273,5907009.0,41860831.0,58805.0,1.227809773,1.227809818,1.227809857,1.227809782,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
PORTUGAL - LIGA PORTUGAL 2,2024-04-22,14:00:00,Nacional,Benfica B,1.79,1.95,3.85,5.9,3.05,5.0,1.87,2.5,1.8,2.14,1.64,1000.0,1.92,1000.0,3.6,20.0,3.65,22.0,4.0,44.0,4.2,1000.0,8.2,12.0,7.6,11.0,3.7,23.0,4.1,70.0,9.4,14.0,8.8,12.5,3.7,24.0,4.1,75.0,3.7,24.0,3.7,23.0,3.95,42.0,4.2,1000.0,3.25,13.0,4.1,70.0,4.4,1000.0,33196045,22012893.0,6563318.0,58805.0,1.227676948,1.227676994,1.227677035,1.227676957,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
NETHERLANDS - EERSTE DIVISIE,2024-04-22,15:00:00,Jong AZ,Venlo,2.14,2.22,3.35,3.55,3.85,4.1,2.42,2.48,1.68,1.71,1.6,1.67,2.5,2.68,20.0,22.0,16.0,19.5,23.0,28.0,7.6,65.0,12.0,14.5,8.2,10.0,13.0,16.0,7.6,36.0,13.0,17.5,10.0,11.5,14.0,17.0,7.6,40.0,7.2,29.0,17.5,22.0,7.6,32.0,28.0,200.0,4.9,11.5,6.6,27.0,8.8,850.0,33196216,5320893.0,13441259.0,58805.0,1.227681197,1.227681242,1.227681281,1.227681206,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
