League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
CHINA - SUPER LEAGUE,2024-06-14,08:35:00,Meizhou Hakka,Shandong Taishan,8.4,10.5,1.38,1.44,5.0,5.9,2.32,2.58,1.64,1.76,1.94,2.18,1.86,2.08,17.0,23.0,7.6,10.5,7.4,9.4,10.0,13.0,5.9,36.0,10.5,13.5,9.0,11.5,12.0,16.0,6.6,980.0,6.0,980.0,22.0,30.0,6.0,980.0,7.0,980.0,6.8,980.0,6.6,980.0,6.8,980.0,6.8,980.0,3.3,6.2,7.0,1000.0,33323071,11079690.0,50443279.0,58805.0,1.229617926,1.229617936,1.229617925,1.229617935,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
CHINA - SUPER LEAGUE,2024-06-14,09:00:00,Nantong Zhiyun,Shenzhen Xinpengcheng,3.0,3.45,2.32,2.54,3.4,3.65,1.93,2.1,1.91,2.08,1.7,1.9,2.12,2.44,11.5,980.0,8.6,980.0,13.5,19.0,5.3,40.0,9.8,980.0,6.8,8.4,9.0,980.0,21.0,30.0,15.0,980.0,10.0,980.0,12.5,980.0,5.4,980.0,2.94,980.0,5.3,980.0,5.6,980.0,5.9,980.0,2.82,980.0,2.72,22.0,3.05,1000.0,33323070,13107045.0,17714225.0,58805.0,1.229618034,1.229618044,1.229618033,1.229618043,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
CHINA - SUPER LEAGUE,2024-06-14,09:00:00,Tianjin Jinmen Tiger,Shanghai Port,8.0,9.2,1.37,1.43,5.4,6.2,3.0,3.35,1.43,1.5,1.69,1.82,2.22,2.44,6.8,980.0,12.0,15.0,9.8,11.5,11.5,14.5,7.0,980.0,12.0,15.5,9.6,11.5,11.5,15.0,7.6,980.0,6.8,36.0,18.5,24.0,6.4,29.0,8.2,980.0,7.8,980.0,7.6,980.0,7.6,980.0,7.6,980.0,2.88,4.4,8.2,1000.0,33323074,50443178.0,51006167.0,58805.0,1.229617818,1.229617828,1.229617817,1.229617827,0.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
EGYPT - PREMIER LEAGUE,2024-06-14,13:00:00,Ceramica Cleopatra,Zamalek,3.5,3.7,2.28,2.38,3.3,3.45,1.89,1.94,2.06,2.14,1.87,2.02,1.98,2.16,11.0,12.5,8.8,10.5,12.5,14.0,11.0,30.0,12.0,13.5,7.2,7.6,10.0,11.0,22.0,25.0,21.0,30.0,13.0,15.0,17.0,19.0,36.0,40.0,44.0,80.0,11.5,44.0,44.0,980.0,16.5,110.0,32.0,44.0,17.5,21.0,15.0,1000.0,33333145,37456793.0,5174134.0,58805.0,1.22972107,1.229721115,1.229721154,1.229721079,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-14,14:00:00,Orgryte,Sundsvall,1.96,1.99,3.95,4.2,3.95,4.1,2.28,2.36,1.74,1.78,1.69,1.74,2.36,2.46,16.5,18.0,16.0,18.5,28.0,32.0,65.0,980.0,10.5,11.5,8.4,9.0,15.0,16.0,38.0,44.0,12.0,13.5,9.6,10.5,15.5,16.5,38.0,48.0,20.0,23.0,17.0,19.0,27.0,29.0,55.0,80.0,10.0,11.0,26.0,36.0,19.0,980.0,33333411,30686.0,30680.0,58805.0,1.229722307,1.229722317,1.229722306,1.229722316,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
URUGUAY - PRIMERA DIVISION,2024-06-14,19:00:00,Miramar,CA Cerro,2.88,3.05,2.76,2.92,3.15,3.3,1.68,1.75,2.32,2.48,1.95,2.06,1.95,2.06,9.0,11.0,8.6,10.5,14.0,19.0,32.0,980.0,9.2,10.5,6.4,7.6,11.5,14.5,28.0,980.0,15.5,19.5,12.0,15.0,18.0,22.0,29.0,980.0,34.0,980.0,28.0,980.0,44.0,980.0,28.0,980.0,24.0,980.0,16.5,65.0,8.0,1000.0,33339462,5300627.0,2329297.0,58805.0,1.229804431,1.229804476,1.229804515,1.22980444,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
ARGENTINA - LIGA PROFESIONAL,2024-06-14,19:00:00,Boca Juniors,Velez Sarsfield,2.04,2.06,4.6,4.8,3.3,3.35,1.57,1.59,2.7,2.76,2.26,2.36,1.73,1.8,7.8,8.4,11.0,12.5,29.0,32.0,19.0,130.0,6.2,6.8,7.0,7.6,18.5,20.0,55.0,85.0,9.8,11.0,10.0,11.0,24.0,27.0,18.5,110.0,21.0,25.0,24.0,28.0,48.0,65.0,18.5,220.0,11.5,25.0,17.5,130.0,20.0,1000.0,33322269,17304.0,192085.0,58805.0,1.229605381,1.229605391,1.22960538,1.22960539,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
ARGENTINA - LIGA PROFESIONAL,2024-06-14,19:00:00,Talleres Cordoba,Platense,1.84,1.85,5.9,6.0,3.45,3.5,1.52,1.54,2.86,2.92,2.42,2.6,1.62,1.7,7.6,8.4,13.0,14.5,38.0,44.0,18.0,210.0,5.6,6.0,7.4,7.8,23.0,26.0,19.5,130.0,8.2,9.0,10.0,11.0,28.0,32.0,17.5,160.0,17.5,20.0,24.0,26.0,50.0,70.0,18.5,290.0,10.5,21.0,16.5,240.0,19.0,1000.0,33322265,194518.0,10305879.0,58805.0,1.229605253,1.229605263,1.229605252,1.229605262,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
BRAZIL - SERIE B,2024-06-14,19:00:00,Operario,Santos,3.75,3.8,2.42,2.48,3.05,3.1,1.52,1.56,2.78,2.92,2.18,2.32,1.75,1.84,7.4,8.2,6.8,7.6,12.0,13.5,30.0,36.0,9.2,10.5,6.4,7.0,11.0,13.0,30.0,980.0,20.0,23.0,15.0,21.0,23.0,980.0,48.0,980.0,13.5,980.0,36.0,980.0,44.0,980.0,12.0,980.0,13.0,980.0,23.0,38.0,15.0,1000.0,33338551,6219238.0,198127.0,58805.0,1.229796384,1.229796394,1.229796383,1.229796393,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
BRAZIL - SERIE B,2024-06-14,21:00:00,Avai,Guarani,1.93,1.95,5.6,5.7,3.25,3.3,1.48,1.58,2.72,3.1,2.38,2.54,1.64,1.72,7.0,8.2,12.5,14.0,34.0,40.0,14.5,180.0,5.7,6.2,7.0,8.0,21.0,25.0,14.0,120.0,8.6,9.8,10.0,11.5,26.0,40.0,14.5,140.0,19.0,22.0,24.0,27.0,12.5,65.0,15.0,260.0,17.5,23.0,14.5,200.0,16.0,1000.0,33338176,3859186.0,200603.0,58805.0,1.229784647,1.229784692,1.229784731,1.229784656,3.0,2.0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
