League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
FINLAND - VEIKKAUSLIIGA,2024-06-28,12:00:00,Inter Turku,VPS,2.54,2.58,3.0,3.05,3.55,3.65,1.99,2.02,1.99,2.02,1.76,1.82,2.22,2.3,13.0,14.5,11.5,13.0,18.0,20.0,36.0,48.0,10.5,11.5,7.4,8.0,12.0,13.0,28.0,32.0,15.0,17.0,10.5,11.5,16.0,17.5,36.0,44.0,30.0,36.0,24.0,27.0,32.0,40.0,36.0,90.0,19.0,21.0,24.0,28.0,90.0,980.0,33361351,139505.0,139511.0,58805.0,1.230015958,1.230016005,1.230016046,1.230015968,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
FINLAND - VEIKKAUSLIIGA,2024-06-28,14:00:00,AC Oulu,KuPS,3.95,4.1,2.06,2.1,3.6,3.7,1.9,1.93,2.08,2.12,1.86,1.91,2.1,2.18,12.0,13.5,8.4,9.2,11.0,12.5,22.0,25.0,13.0,14.5,7.4,7.8,10.0,11.0,20.0,22.0,25.0,28.0,15.0,16.5,17.5,24.0,32.0,40.0,55.0,85.0,42.0,50.0,50.0,60.0,90.0,110.0,48.0,55.0,13.5,16.0,100.0,1000.0,33361346,396699.0,139510.0,58805.0,1.230016268,1.230016313,1.230016352,1.230016277,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-28,14:00:00,Helsingborg,Varberg,2.0,2.04,4.2,4.3,3.7,3.8,2.02,2.06,1.94,1.97,1.8,1.87,2.16,2.26,13.0,15.0,14.5,16.0,27.0,32.0,36.0,140.0,9.2,10.5,7.8,8.2,15.0,17.0,36.0,55.0,11.5,13.0,9.6,11.0,16.5,18.0,44.0,980.0,21.0,24.0,18.5,21.0,30.0,36.0,38.0,95.0,12.0,13.5,38.0,50.0,65.0,980.0,33367949,764222.0,6225055.0,58805.0,1.230091403,1.230091448,1.230091487,1.230091412,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-28,14:00:00,Brage,Gefle,1.58,1.59,6.0,6.4,4.6,4.8,2.5,2.58,1.64,1.67,1.74,1.82,2.22,2.36,20.0,22.0,24.0,27.0,28.0,55.0,44.0,180.0,10.0,11.5,10.0,11.0,21.0,23.0,48.0,70.0,9.8,11.0,9.2,10.0,18.0,19.5,40.0,65.0,14.0,17.0,13.5,15.0,25.0,28.0,50.0,90.0,6.0,6.6,50.0,85.0,16.5,980.0,33367948,502308.0,151470.0,58805.0,1.230091493,1.230091538,1.230091577,1.230091502,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
NORWAY - ELITESERIEN,2024-06-28,14:00:00,Sarpsborg 08,Bodo/Glimt,4.8,5.0,1.68,1.7,4.8,5.0,3.15,3.3,1.44,1.46,1.53,1.57,2.76,2.9,30.0,34.0,14.5,16.0,13.0,14.5,17.0,21.0,29.0,34.0,11.0,13.0,9.8,10.5,13.5,14.5,42.0,48.0,18.0,20.0,15.0,16.5,19.5,23.0,90.0,100.0,42.0,48.0,34.0,42.0,44.0,55.0,26.0,32.0,5.3,5.7,75.0,980.0,33335693,778903.0,373549.0,58805.0,1.229752275,1.229752285,1.229752274,1.229752284,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
NORWAY - ELITESERIEN,2024-06-28,14:00:00,Odd,Kristiansund,2.16,2.18,3.5,3.55,3.95,4.0,2.4,2.48,1.68,1.71,1.61,1.66,2.5,2.64,18.0,20.0,16.0,18.5,25.0,28.0,38.0,60.0,12.0,13.0,8.4,9.0,13.5,15.0,30.0,36.0,14.0,16.0,10.0,11.0,14.0,15.5,36.0,40.0,24.0,27.0,18.0,19.5,25.0,28.0,46.0,65.0,10.0,11.5,23.0,29.0,20.0,980.0,33335697,10833201.0,2440424.0,58805.0,1.229752059,1.229752069,1.229752058,1.229752068,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
NORWAY - ELITESERIEN,2024-06-28,14:00:00,Brann,Stromsgodset,1.38,1.4,8.6,9.0,6.0,6.2,3.05,3.2,1.46,1.48,1.75,1.8,2.26,2.34,30.0,34.0,36.0,44.0,70.0,85.0,80.0,240.0,11.5,13.5,12.5,14.0,29.0,34.0,90.0,110.0,9.8,11.0,9.6,10.5,20.0,23.0,70.0,85.0,11.5,13.0,12.0,13.0,23.0,28.0,75.0,95.0,4.0,4.4,70.0,90.0,65.0,980.0,33335698,31317.0,31319.0,58805.0,1.229751951,1.229751961,1.22975195,1.22975196,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
ESTONIA - MEISTRILIIGA,2024-06-28,14:00:00,Parnu JK Vaprus,Tallinna Kalev,2.4,2.68,2.86,3.25,3.45,3.8,2.02,2.28,1.79,1.98,1.72,1.8,2.24,2.4,12.5,980.0,11.0,15.0,17.0,980.0,6.4,980.0,10.0,13.0,6.8,9.0,10.0,980.0,6.2,980.0,14.5,980.0,9.8,13.0,13.5,980.0,6.2,980.0,6.0,980.0,6.0,980.0,6.4,980.0,6.6,980.0,5.4,980.0,5.7,980.0,7.2,1000.0,33370883,12395256.0,5924203.0,58805.0,1.230122112,1.230122157,1.230122196,1.230122121,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
IRELAND - PREMIER DIVISION,2024-06-28,15:45:00,Dundalk,Waterford,2.32,2.36,3.7,3.75,3.25,3.35,1.67,1.7,2.42,2.48,2.06,2.18,1.85,1.93,8.6,10.0,9.6,12.0,19.0,25.0,7.8,85.0,7.4,8.6,6.4,7.6,14.5,17.5,7.4,980.0,11.5,14.5,10.0,12.5,17.5,980.0,7.8,980.0,26.0,38.0,24.0,36.0,7.4,980.0,8.2,980.0,4.8,29.0,5.3,980.0,8.6,1000.0,33354986,198746.0,364470.0,58805.0,1.229962731,1.229962776,1.229962815,1.22996274,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
IRELAND - PREMIER DIVISION,2024-06-28,15:45:00,Shelbourne,Galway,2.38,2.4,3.8,3.95,3.05,3.1,1.51,1.53,2.9,2.98,2.26,2.36,1.74,1.8,7.2,7.8,9.4,10.5,22.0,25.0,14.0,980.0,6.6,7.2,6.6,7.2,16.0,18.0,13.5,70.0,11.0,12.5,11.5,12.5,24.0,27.0,14.5,100.0,29.0,34.0,30.0,36.0,13.5,70.0,15.5,220.0,11.5,38.0,14.5,100.0,17.0,1000.0,33354989,46928.0,318841.0,58805.0,1.229962641,1.229962686,1.229962725,1.22996265,2.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
IRELAND - PREMIER DIVISION,2024-06-28,15:45:00,Sligo Rovers,Shamrock Rovers,9.0,9.4,1.42,1.43,5.3,5.4,2.18,2.24,1.81,1.84,2.14,2.22,1.82,1.87,16.0,17.5,7.8,8.2,7.4,8.0,10.5,11.5,25.0,30.0,10.5,11.5,9.4,10.5,14.0,15.5,17.0,80.0,30.0,34.0,25.0,28.0,32.0,38.0,20.0,340.0,18.5,150.0,18.5,140.0,19.0,180.0,19.5,200.0,6.2,6.6,21.0,1000.0,33354996,387040.0,184325.0,58805.0,1.229962551,1.229962596,1.229962635,1.22996256,2.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
IRELAND - PREMIER DIVISION,2024-06-28,15:45:00,St. Patricks,Bohemians,2.0,2.04,4.1,4.2,3.75,3.8,2.02,2.06,1.95,1.98,1.83,1.88,2.14,2.22,13.0,15.0,14.5,16.0,28.0,32.0,10.5,100.0,9.0,9.8,7.8,8.2,15.0,19.5,44.0,55.0,11.0,13.0,9.6,11.5,17.0,19.0,36.0,65.0,21.0,24.0,18.5,21.0,32.0,36.0,48.0,110.0,11.5,13.5,10.0,55.0,11.5,1000.0,33354998,364471.0,3814.0,58805.0,1.229962461,1.229962506,1.229962545,1.22996247,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
IRELAND - PREMIER DIVISION,2024-06-28,15:45:00,Derry City,Drogheda,1.31,1.33,12.5,13.5,6.0,6.2,2.3,2.36,1.73,1.76,2.22,2.3,1.77,1.82,17.5,19.5,32.0,38.0,15.0,120.0,14.0,980.0,7.6,9.2,12.0,13.0,36.0,46.0,13.5,220.0,7.0,8.0,9.4,10.5,27.0,34.0,13.5,180.0,9.2,10.5,13.0,15.0,34.0,40.0,13.5,210.0,5.0,5.5,15.0,300.0,14.5,1000.0,33354979,298592.0,184329.0,58805.0,1.229962821,1.229962866,1.229962905,1.22996283,5.0,1.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
NORWAY - ELITESERIEN,2024-06-28,16:15:00,Tromso,Molde,3.35,3.4,2.26,2.28,3.8,3.85,2.24,2.28,1.78,1.8,1.67,1.72,2.4,2.5,16.0,18.0,11.5,12.5,14.0,15.5,26.0,29.0,14.5,16.0,8.0,8.8,10.0,11.0,19.0,22.0,22.0,26.0,13.0,14.0,14.5,16.0,28.0,32.0,48.0,60.0,30.0,34.0,34.0,44.0,55.0,70.0,24.0,27.0,12.5,14.0,19.0,600.0,33335699,50046.0,31321.0,58805.0,1.229751843,1.229751853,1.229751842,1.229751852,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ESTONIA - MEISTRILIIGA,2024-08-04,11:00:00,Kuressaare,Paide,5.2,6.4,1.6,1.66,4.7,5.1,2.26,2.44,1.7,1.79,1.76,1.93,2.08,2.32,15.5,980.0,4.0,980.0,3.9,980.0,4.5,980.0,4.6,980.0,8.6,980.0,8.2,980.0,4.3,980.0,36.0,980.0,18.5,980.0,16.0,980.0,24.0,980.0,40.0,1000.0,40.0,980.0,40.0,980.0,40.0,980.0,4.8,980.0,3.3,980.0,5.5,1000.0,33460528,5407305.0,5407316.0,58805.0,1.231314591,1.231314636,1.231314675,1.2313146,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
