League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
BULGARIA - PARVA LIGA,2024-03-29,11:30:00,Arda,Krumovgrad,1.95,2.08,4.6,5.9,3.15,3.65,1.54,1.74,2.34,2.84,2.08,2.5,1.67,1.92,7.6,980.0,11.0,980.0,1.5,1000.0,4.1,1000.0,5.7,980.0,6.4,980.0,5.4,980.0,6.4,1000.0,8.4,980.0,9.0,980.0,5.6,980.0,6.6,980.0,3.7,980.0,5.6,980.0,1.5,1000.0,6.8,1000.0,1.55,980.0,1.55,1000.0,15.0,1000.0,33117100,20731976.0,41731605.0,58805.0,1.226288125,1.22628817,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
ESTONIA - MEISTRILIIGA,2024-03-30,09:30:00,Narva,Nomme Utd,1.81,980.0,2.22,980.0,2.42,330.0,1.27,55.0,1.05,4.6,1.71,1000.0,1.01,2.4,1.49,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33119898,46983.0,10443529.0,58805.0,1.226352081,1.226352127,0.0,0.0,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
BOLIVIA - DIVISION PROFESIONAL,2024-03-30,16:00:00,SA Bulo Bulo,Tomayapo,1.7,980.0,2.96,980.0,3.15,6.6,1.27,21.0,1.05,4.6,1.01,1000.0,1.01,1000.0,1.38,1000.0,2.36,1000.0,2.86,1000.0,3.7,1000.0,2.44,1000.0,2.68,1000.0,6.0,1000.0,7.6,1000.0,3.65,1000.0,3.85,1000.0,8.6,1000.0,6.4,1000.0,3.35,1000.0,5.8,1000.0,14.0,1000.0,9.4,1000.0,1.55,1000.0,1.55,1000.0,15.0,1000.0,33149645,10992747.0,25238903.0,58805.0,1.226846957,1.226847002,1.226847041,1.226846966,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
DENMARK - 1ST DIVISION,2024-04-05,14:00:00,Horsens,Hillerod,3.4,3.7,2.12,2.26,3.65,3.95,2.08,2.16,1.87,1.93,1.75,1.85,2.18,2.34,13.0,17.0,8.8,11.5,12.5,15.0,6.8,30.0,13.0,16.0,7.0,8.8,10.0,11.5,6.4,24.0,20.0,28.0,12.0,16.5,14.0,19.5,7.2,980.0,7.8,980.0,7.4,980.0,7.6,980.0,8.8,980.0,7.0,36.0,5.6,15.0,9.0,1000.0,33157301,195583.0,12820384.0,58805.0,1.226999018,1.226999063,0.0,0.0,3.0,2.0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
IRELAND - PREMIER DIVISION,2024-04-15,15:45:00,Bohemians,Dundalk,1.95,1.99,4.5,4.7,3.6,3.75,1.86,1.9,2.12,2.16,1.92,2.04,1.98,2.1,11.0,12.5,13.0,16.0,25.0,36.0,9.4,110.0,7.8,8.6,7.4,8.4,15.5,19.0,44.0,70.0,9.8,12.0,9.4,11.0,17.0,21.0,48.0,80.0,19.5,24.0,18.5,22.0,29.0,46.0,28.0,150.0,9.8,17.0,23.0,80.0,34.0,1000.0,33188270,3814.0,198746.0,58805.0,1.227522774,1.227522819,1.227522858,1.227522783,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
SWITZERLAND - CHALLENGE LEAGUE,2024-05-09,13:00:00,Stade Nyonnais,Bellinzona,2.14,2.22,3.45,3.85,3.65,3.85,2.12,2.18,1.85,1.89,1.71,1.81,2.24,2.42,14.0,15.5,14.0,17.5,24.0,27.0,40.0,70.0,10.0,11.5,7.6,8.4,13.5,15.5,34.0,980.0,12.5,14.0,9.6,11.5,15.5,17.0,11.0,48.0,23.0,28.0,19.0,22.0,29.0,36.0,11.5,85.0,13.0,15.0,19.5,36.0,13.0,1000.0,33245367,2597350.0,457840.0,58805.0,1.228486189,1.228486234,1.228486273,1.228486198,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SOUTH KOREA - K LEAGUE 1,2024-05-29,07:30:00,Gangwon,Jeonbuk,2.42,2.58,2.94,3.15,3.5,3.7,2.02,2.14,1.87,1.99,1.7,1.85,2.18,2.44,12.0,15.5,11.5,13.5,17.0,23.0,8.0,60.0,10.0,12.0,7.6,8.4,12.0,15.0,26.0,36.0,14.5,17.5,10.0,12.0,15.0,18.0,32.0,48.0,26.0,42.0,19.5,26.0,28.0,42.0,34.0,100.0,6.4,21.0,7.0,30.0,9.2,980.0,33305463,5348606.0,2224159.0,58805.0,1.229382922,1.229382967,1.229383006,1.229382931,4.0,2.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
SOUTH KOREA - K LEAGUE 1,2024-06-23,07:00:00,Jeju Utd,Ulsan HD,4.0,4.2,1.97,2.0,3.85,4.1,2.1,2.16,1.86,1.91,1.76,1.82,2.22,2.34,13.5,20.0,8.8,11.5,9.8,16.0,17.0,28.0,12.0,20.0,7.4,9.4,8.6,11.5,17.0,24.0,25.0,38.0,14.0,20.0,14.5,22.0,5.0,40.0,5.2,95.0,5.0,55.0,5.1,65.0,5.7,110.0,5.0,50.0,3.9,13.0,5.5,980.0,33352428,5342583.0,5352229.0,58805.0,1.229937521,1.229937566,1.229937605,1.22993753,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
DENMARK - SUPERLIGA,2024-07-26,14:00:00,Sonderjyske,Lyngby,1.61,2.48,3.25,5.0,3.45,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33435455,2364082.0,28218.0,58805.0,1.230959028,0.0,0.0,0.0,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ROMANIA - LIGA 1,2024-07-26,15:30:00,FCSB,Otelul,1.27,1.8,1.04,980.0,2.26,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33425648,12819357.0,866238.0,58805.0,1.230812014,0.0,0.0,0.0,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
