League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
JAPAN - J1 LEAGUE,2024-06-23,02:00:00,Hokkaido Consadole Sapporo,Yokohama F. Marinos,3.25,3.3,2.1,2.14,4.3,4.5,2.8,3.0,1.5,1.56,1.51,1.55,2.82,2.96,23.0,27.0,14.0,17.0,15.0,17.5,24.0,27.0,19.0,22.0,9.4,11.0,10.0,11.0,17.0,18.5,26.0,30.0,13.5,15.0,13.5,15.5,22.0,25.0,42.0,60.0,27.0,34.0,29.0,36.0,36.0,55.0,16.0,18.5,8.2,9.0,14.5,980.0,33353975,2245760.0,441087.0,58805.0,1.2299501,1.229950145,1.229950184,1.229950109,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-23,02:00:00,Blaublitz,Shimizu S-Pulse,4.2,5.0,1.96,2.08,3.45,3.6,1.74,1.85,2.18,2.36,1.96,2.22,1.83,2.06,9.0,12.5,6.8,8.6,8.8,12.0,19.5,980.0,11.5,15.5,6.6,8.0,8.8,12.0,18.5,25.0,8.4,980.0,15.5,20.0,19.0,24.0,7.2,980.0,7.8,980.0,7.4,980.0,7.6,980.0,8.0,980.0,7.6,980.0,5.7,18.0,8.2,1000.0,33352313,5852914.0,441086.0,58805.0,1.229936776,1.229936821,1.22993686,1.229936785,3.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
SOUTH KOREA - K LEAGUE 1,2024-06-23,06:00:00,Incheon,Pohang,2.74,2.84,2.86,2.94,3.3,3.45,1.78,1.83,2.2,2.28,1.9,1.97,2.02,2.12,10.0,12.0,9.8,11.5,16.0,18.5,34.0,50.0,9.4,11.0,7.0,7.6,12.0,13.5,29.0,42.0,15.0,18.0,11.5,13.0,17.0,21.0,40.0,65.0,32.0,46.0,28.0,36.0,36.0,55.0,34.0,150.0,23.0,34.0,24.0,36.0,110.0,1000.0,33352309,5348609.0,1363823.0,58805.0,1.229937703,1.229937748,1.229937787,1.229937712,1.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
JAPAN - J2 LEAGUE,2024-06-23,07:00:00,Tokushima,Mito,2.46,2.56,3.35,3.6,3.1,3.25,1.65,1.75,2.34,2.54,1.99,2.2,1.84,2.02,8.2,12.0,8.8,13.0,17.5,27.0,5.4,75.0,7.6,9.6,6.6,8.0,13.5,18.5,34.0,55.0,13.0,17.5,10.0,15.0,17.0,25.0,5.3,80.0,27.0,42.0,25.0,38.0,5.3,65.0,4.9,140.0,4.5,34.0,4.8,65.0,5.2,1000.0,33352396,5026012.0,3455677.0,58805.0,1.229936236,1.229936281,1.22993632,1.229936245,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SOUTH KOREA - K LEAGUE 1,2024-06-23,07:00:00,Jeju Utd,Ulsan HD,4.0,4.2,1.97,2.0,3.85,4.1,2.1,2.16,1.86,1.91,1.76,1.82,2.22,2.34,13.5,20.0,8.8,11.5,9.8,16.0,17.0,28.0,12.0,20.0,7.4,9.4,8.6,11.5,17.0,24.0,25.0,38.0,14.0,20.0,14.5,22.0,5.0,40.0,5.2,95.0,5.0,55.0,5.1,65.0,5.7,110.0,5.0,50.0,3.9,13.0,5.5,980.0,33352428,5342583.0,5352229.0,58805.0,1.229937521,1.229937566,1.229937605,1.22993753,2.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
SOUTH KOREA - K LEAGUE 2,2024-06-23,07:00:00,Ansan Greeners,Cheonan City,2.8,3.15,2.64,2.98,3.2,3.45,1.66,1.88,2.12,2.52,1.89,2.06,1.94,2.12,9.4,11.5,8.2,11.0,5.7,19.5,5.9,980.0,8.8,11.5,6.2,8.2,11.0,14.5,6.6,980.0,15.0,20.0,11.0,15.0,16.0,22.0,6.0,980.0,6.0,980.0,6.6,980.0,6.0,980.0,6.4,980.0,5.7,980.0,5.7,980.0,6.6,1000.0,33352399,12765833.0,14164093.0,58805.0,1.229938063,1.229938108,1.229938147,1.229938072,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SOUTH KOREA - K LEAGUE 2,2024-06-23,07:00:00,Gimpo FC,Busan,4.3,4.9,1.96,2.14,3.25,3.65,1.67,1.81,2.22,2.48,2.0,2.2,1.84,2.0,8.6,11.0,6.8,8.2,9.4,12.5,6.2,980.0,10.5,14.5,6.4,14.0,5.1,12.0,6.2,980.0,6.6,980.0,5.9,980.0,6.0,980.0,7.0,980.0,7.6,980.0,7.4,980.0,7.4,980.0,7.8,980.0,5.3,980.0,5.9,980.0,8.0,1000.0,33352395,19825802.0,16224040.0,58805.0,1.229938153,1.229938198,1.229938237,1.229938162,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-23,10:00:00,Ostersund,Utsikten,2.4,2.46,3.2,3.3,3.45,3.55,1.92,1.98,2.02,2.08,1.81,1.84,2.2,2.24,12.0,13.5,11.5,13.0,19.5,22.0,38.0,55.0,9.4,11.0,7.0,8.2,12.5,14.0,29.0,42.0,13.5,16.0,10.5,12.0,16.0,20.0,32.0,55.0,25.0,34.0,21.0,27.0,32.0,42.0,28.0,980.0,8.2,21.0,25.0,34.0,11.5,990.0,33352670,502427.0,2382931.0,58805.0,1.229940185,1.22994023,1.229940269,1.229940194,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-23,10:00:00,Brage,Sundsvall,1.68,1.71,5.5,5.8,4.2,4.3,2.16,2.2,1.83,1.86,1.84,1.91,2.1,2.2,15.5,17.5,19.0,22.0,40.0,46.0,42.0,150.0,8.8,9.6,8.8,9.6,19.0,25.0,50.0,75.0,9.4,10.5,9.2,10.5,18.5,20.0,50.0,75.0,15.0,17.0,15.5,17.5,29.0,32.0,38.0,110.0,8.2,8.8,42.0,75.0,14.5,1000.0,33354267,502308.0,30680.0,58805.0,1.22995404,1.229954085,1.229954124,1.229954049,5.0,0.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
SWEDEN - SUPERETTAN,2024-06-23,10:00:00,Oddevold,Degerfors,3.2,3.3,2.42,2.48,3.45,3.55,1.9,1.94,2.06,2.12,1.82,1.9,2.1,2.22,11.5,13.5,9.2,10.5,13.5,16.0,25.0,36.0,11.0,13.0,7.2,8.2,10.5,12.0,22.0,28.0,19.5,24.0,12.5,14.5,16.5,21.0,32.0,44.0,28.0,60.0,27.0,40.0,34.0,55.0,28.0,140.0,27.0,36.0,16.0,22.0,10.0,1000.0,33352934,778918.0,784612.0,58805.0,1.229943475,1.22994352,1.229943559,1.229943484,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
