,League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
10,FINLAND - VEIKKAUSLIIGA,2024-09-20,14:00:00,VPS,HJK,5.3,5.5,1.7,1.71,4.4,4.5,2.4,2.44,1.69,1.72,1.73,1.79,2.28,2.36,18.0,23.0,10.0,10.5,10.0,11.0,15.0,17.0,20.0,24.0,9.2,9.8,9.2,9.8,14.5,16.0,38.0,44.0,18.0,19.5,17.0,18.0,25.0,28.0,38.0,130.0,50.0,65.0,46.0,60.0,50.0,85.0,46.0,55.0,7.2,8.0,23.0,980.0,33589527,139511.0,6390.0,58805.0,1.233042151,1.233042196,1.233042235,1.23304216,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
11,DENMARK - SUPERLIGA,2024-09-20,14:00:00,Viborg,Nordsjaelland,3.0,3.05,2.38,2.42,3.9,4.0,2.66,2.68,1.6,1.61,1.53,1.57,2.76,2.9,21.0,23.0,15.0,18.0,17.5,18.5,29.0,34.0,16.5,18.5,9.0,9.6,10.5,11.5,19.5,21.0,22.0,24.0,12.0,13.5,13.5,14.5,25.0,27.0,40.0,48.0,25.0,30.0,28.0,32.0,38.0,55.0,16.0,17.0,11.0,12.0,26.0,980.0,33593221,10780.0,466299.0,58805.0,1.233086521,1.233086566,1.233086605,1.23308653,3.0,2.0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
12,TURKEY - SUPER LIG,2024-09-20,14:00:00,Hatayspor,Bodrumspor,2.7,2.76,3.15,3.25,3.1,3.15,1.58,1.59,2.68,2.72,2.12,2.22,1.82,1.9,8.0,9.2,8.6,9.2,17.0,19.0,50.0,60.0,7.8,9.4,6.4,6.8,13.5,14.5,40.0,46.0,14.5,15.5,12.0,13.0,21.0,23.0,60.0,75.0,38.0,44.0,34.0,38.0,55.0,70.0,15.5,170.0,12.5,44.0,40.0,55.0,16.5,1000.0,33593588,965417.0,42091241.0,58805.0,1.233091542,1.233091545,1.233091589,1.23309159,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
13,DENMARK - 1ST DIVISION,2024-09-20,14:00:00,Koge,Vendsyssel,5.1,5.5,1.63,1.67,4.7,5.1,2.92,3.05,1.5,1.52,1.61,1.68,2.48,2.64,25.0,30.0,12.0,14.5,11.5,13.5,15.5,18.0,25.0,30.0,10.5,12.0,9.6,10.5,13.5,15.0,42.0,50.0,19.0,21.0,15.5,17.5,21.0,25.0,13.5,130.0,36.0,55.0,27.0,50.0,32.0,65.0,27.0,38.0,5.4,5.9,14.5,980.0,33589711,3981030.0,7431787.0,58805.0,1.233042421,1.233042466,1.233042505,1.23304243,0.0,2.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
14,GERMANY - 3. LIGA,2024-09-20,14:00:00,Unterhaching,Aue,2.9,3.05,2.5,2.62,3.55,3.85,2.16,2.22,1.82,1.87,1.67,1.79,2.26,2.5,15.0,18.5,11.0,13.5,14.5,19.0,20.0,40.0,12.5,15.0,7.2,9.0,10.0,12.5,20.0,29.0,17.5,24.0,11.0,14.0,14.0,17.5,23.0,38.0,6.6,55.0,18.0,34.0,23.0,40.0,7.0,200.0,6.0,27.0,5.5,19.0,7.6,980.0,33592522,64371.0,476499.0,58805.0,1.233076144,1.233076189,1.233076228,1.233076153,2.0,2.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
15,FRANCE - NATIONAL,2024-09-20,14:30:00,Rouen,Chateauroux,2.28,2.5,3.65,4.2,2.94,3.3,1.61,1.68,2.46,2.64,2.02,2.06,1.94,1.98,7.8,11.0,4.3,14.0,5.0,980.0,5.7,980.0,7.0,8.2,6.2,14.0,4.6,18.5,5.5,980.0,4.4,16.5,4.2,13.5,4.8,980.0,5.7,980.0,5.2,980.0,5.1,980.0,5.5,980.0,5.9,980.0,5.2,980.0,5.3,980.0,6.0,1000.0,33589668,473964.0,70469.0,58805.0,1.233042511,1.233042556,1.233042595,1.23304252,4.0,0.0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
16,FRANCE - NATIONAL,2024-09-20,14:30:00,Nimes,Versailles,2.68,2.96,2.82,3.2,3.05,3.4,1.63,1.71,2.4,2.6,1.96,2.18,1.85,2.04,8.0,10.5,8.0,10.5,5.6,980.0,6.6,980.0,7.8,10.5,6.2,8.0,11.0,980.0,6.2,980.0,13.5,980.0,10.5,980.0,5.6,980.0,6.6,980.0,6.4,980.0,6.2,980.0,6.6,980.0,7.2,980.0,6.2,980.0,6.4,980.0,7.4,1000.0,33593388,77586.0,18201074.0,58805.0,1.233088872,1.233088917,1.233088956,1.233088881,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
17,SWITZERLAND - CHALLENGE LEAGUE,2024-09-20,14:30:00,Schaffhausen,Xamax,2.96,3.2,2.36,2.5,3.65,3.95,2.28,2.36,1.73,1.78,1.58,1.74,2.36,2.72,14.5,24.0,10.0,15.5,14.5,21.0,4.8,40.0,11.0,17.5,7.2,9.6,9.8,14.0,20.0,29.0,18.5,25.0,8.8,14.5,13.0,19.0,4.7,38.0,4.9,980.0,20.0,34.0,4.8,980.0,5.1,980.0,4.4,24.0,4.2,19.0,5.4,980.0,33586274,328835.0,65779.0,58805.0,1.232996187,1.232996232,1.232996271,1.232996196,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
18,FRANCE - NATIONAL,2024-09-20,14:30:00,Valenciennes,Concarneau,2.34,2.54,3.2,3.6,3.2,3.6,1.7,1.81,2.22,2.42,1.92,2.08,1.93,2.1,8.0,13.5,3.6,14.0,12.0,980.0,4.4,980.0,3.45,11.0,3.2,8.0,3.75,18.0,4.3,980.0,3.9,17.0,3.6,14.5,4.0,25.0,5.0,980.0,4.2,980.0,20.0,980.0,4.4,980.0,4.6,980.0,4.1,980.0,4.4,980.0,4.7,1000.0,33599947,669343.0,2250008.0,58805.0,1.233165448,1.233165493,1.233165532,1.233165457,3.0,3.0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
19,FRANCE - NATIONAL,2024-09-20,14:30:00,Orleans,Villefranche,1.92,2.0,4.8,5.6,3.25,3.6,1.66,1.77,2.28,2.52,2.04,2.2,1.84,1.97,7.8,12.5,3.9,18.0,4.5,980.0,4.8,980.0,3.25,8.8,6.6,980.0,4.1,980.0,4.7,980.0,3.6,13.0,3.6,13.0,4.2,980.0,10.0,980.0,4.1,980.0,4.2,980.0,4.6,980.0,5.1,980.0,4.0,60.0,4.8,980.0,4.9,1000.0,33593391,2225922.0,19932524.0,58805.0,1.233088782,1.233088827,1.233088866,1.233088791,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
