Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,pjqawOWp,04/11/2024,05:00,AUSTRALIA - A-LEAGUE,Western United,Melbourne City,ROUND 3,3.4,3.7,2.05,1.29,3.5,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.53,2.38,3.3,1.33,1.84,2.06,15.0,10.0,12.0,19.0,13.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,34.0,126.0
2,Wb9psKsp,04/11/2024,05:30,INDONESIA - LIGA 1,Persita,Malut United,ROUND 10,2.72,2.92,2.62,1.47,2.32,1.04,6.55,1.45,2.37,2.32,1.47,3.95,1.17,9.7,1.02,1.93,1.7,,,,,6.7,6.7,12.0,30.0,6.8,5.8,10.25,26.0,12.5,10.5,17.0,45.0,32.0,28.0,45.0,100.0,67.0
3,l2QKAxdR,04/11/2024,09:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Pathum United,ROUND 12,2.95,3.55,2.18,1.35,2.92,1.05,8.0,1.24,3.7,1.72,2.05,2.67,1.42,4.55,1.16,1.62,2.18,,,1.65,2.15,8.0,9.25,11.75,21.0,10.75,6.9,8.75,16.0,16.0,10.5,12.5,23.0,35.0,23.0,28.0,50.0,300.0
4,SQ2gubCd,04/11/2024,09:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,ROUND 10,1.62,3.5,5.4,1.4,2.73,1.01,8.0,1.31,2.87,1.91,1.7,3.1,1.27,6.15,1.05,1.9,1.72,,,,,9.0,13.5,32.0,110.0,6.0,6.9,17.5,60.0,7.0,8.0,17.0,60.0,11.75,14.0,30.0,90.0,800.0
5,WzZ8UtgJ,04/11/2024,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,Shirak Gyumri,ROUND 15,2.12,3.0,3.25,1.42,2.35,1.02,7.4,1.35,2.65,2.15,1.55,4.1,1.15,9.0,1.03,1.92,1.84,,,,,7.3,6.9,13.0,35.0,5.5,5.2,9.75,26.0,8.0,7.6,13.0,35.0,16.0,15.5,26.0,65.0,500.0
6,Sh7dDkxK,04/11/2024,11:00,ITALY - SERIE C,Sorrento,Casertana,GROUP C ,2.6,2.67,2.95,1.62,2.22,1.14,5.0,1.6,2.27,2.67,1.42,4.85,1.14,8.25,1.04,2.12,1.65,2.35,1.55,,,5.0,6.5,13.5,40.0,6.2,5.5,11.5,35.0,11.5,10.5,18.0,55.0,30.0,28.0,50.0,120.0,700.0
7,dM2MNKYP,04/11/2024,11:00,INDIA - ISL,Jamshedpur,Chennaiyin,ROUND 7,2.9,3.7,2.1,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.0,1.22,1.5,2.5,2.85,1.4,1.7,2.1,17.0,11.0,13.0,21.0,13.0,7.5,9.0,15.0,19.0,11.0,12.0,21.0,34.0,21.0,23.0,34.0,101.0
8,CpL6NMzi,04/11/2024,12:30,BULGARIA - PARVA LIGA,Septemvri Sofia,Botev Plovdiv,ROUND 14,7.0,4.0,1.5,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,2.25,1.57,6.4,1.12,2.5,1.5,8.5,5.5,6.0,10.0,13.0,8.0,9.0,15.0,34.0,21.0,23.0,34.0,81.0,51.0,51.0,81.0,201.0
9,KlZCtGXp,04/11/2024,12:30,SERBIA - SUPER LIGA,Mladost,Sp. Subotica,ROUND 14,1.8,3.35,4.05,1.39,2.77,1.07,7.0,1.32,3.1,1.98,1.78,3.25,1.29,5.7,1.11,1.85,1.87,1.78,1.95,,,7.0,11.0,23.0,65.0,6.7,6.6,13.5,40.0,8.25,8.25,15.5,45.0,14.5,15.0,28.0,75.0,600.0
10,CzEBrXLa,04/11/2024,13:00,POLAND - DIVISION 1,Polonia Warszawa,S. Rzeszow,ROUND 15,2.4,3.4,2.63,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,2.43,1.53,1.48,2.6,15.0,12.0,15.0,29.0,12.0,7.0,11.0,19.0,15.0,10.0,11.0,23.0,23.0,17.0,23.0,34.0,101.0
