Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
07/06/2023,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,Fiorentina,West Ham,PLAY OFFS ,2.75,3.1,2.8,2.15,1.67,1.83,1.83
07/06/2023,19:00,BRAZIL - SERIE B,Novorizontino,Guarani,ROUND 11,1.8,3.44,4.82,2.41,1.58,2.19,1.64
07/06/2023,19:00,BRAZIL - SERIE B,Sampaio Correa,Londrina,ROUND 11,1.84,3.44,4.54,2.32,1.62,2.09,1.7
07/06/2023,19:00,BRAZIL - SERIE B,Sport Recife,Avai,ROUND 11,1.4,4.54,8.4,1.97,1.85,2.27,1.6
07/06/2023,21:30,BRAZIL - SERIE B,CRB,Mirassol,ROUND 11,2.73,3.2,2.64,2.32,1.62,1.95,1.81
07/06/2023,12:45,BULGARIA - PARVA LIGA,Cherno More,Ludogorets,CHAMPIONSHIP GROUP ,8.0,4.5,1.4,1.9,1.95,2.1,1.67
07/06/2023,12:45,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Lok. Plovdiv,CHAMPIONSHIP GROUP ,1.5,3.75,8.5,2.4,1.53,2.5,1.5
07/06/2023,12:45,BULGARIA - PARVA LIGA,Levski Sofia,CSKA Sofia,CHAMPIONSHIP GROUP ,2.7,3.3,2.63,2.25,1.62,1.91,1.8
07/06/2023,13:00,EGYPT - PREMIER LEAGUE,Ghazl El Mahallah,Al Masry,ROUND 31,3.92,2.99,2.14,2.56,1.51,2.12,1.69
07/06/2023,15:30,EGYPT - PREMIER LEAGUE,Smouha,Ceramica Cleopatra,ROUND 31,2.86,2.85,2.78,2.48,1.54,1.99,1.78
07/06/2023,12:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Narva,ROUND 16,2.63,3.34,2.46,1.89,1.89,1.67,2.14
07/06/2023,12:00,ESTONIA - MEISTRILIIGA,Tammeka,Harju JK Laagri,ROUND 16,1.76,3.66,4.2,1.85,1.93,1.74,2.04
07/06/2023,13:00,ESTONIA - MEISTRILIIGA,Flora,Paide,ROUND 16,1.41,4.44,6.85,1.74,2.07,1.88,1.88
07/06/2023,12:00,FINLAND - VEIKKAUSLIIGA,Haka,Ilves,-,2.4,3.3,2.63,2.02,1.82,1.8,1.95
07/06/2023,12:00,FINLAND - VEIKKAUSLIIGA,Honka,Mariehamn,-,1.55,3.75,5.5,1.98,1.88,1.95,1.8
