Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
17,WIJzt2Ud,12/06/2024,13:00,FINLAND - VEIKKAUSLIIGA,Gnistan,HJK,-,4.33,4.0,1.7,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.25,1.33,6.0,1.13,1.8,1.95,4.25,1.21,2.15,1.68,12.0,7.5,8.0,13.0,12.0,7.5,8.5,13.0,23.0,15.0,17.0,26.0,51.0,34.0,41.0,51.0,251.0
18,xhhxYvnB,12/06/2024,13:30,NIGERIA - NPFL,Shooting,Enugu Rangers,ROUND 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SjIxOZoH,12/06/2024,14:00,NORWAY - OBOS-LIGAEN,Stabaek,Mjondalen,ROUND 4,1.55,4.5,4.75,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.57,2.25,1.55,2.38,1.2,4.4,19.0,19.0,29.0,51.0,10.0,9.5,15.0,34.0,9.5,8.5,15.0,34.0,13.0,11.0,19.0,41.0,126.0
20,AqJkaX4s,12/06/2024,15:00,NETHERLANDS - TWEEDE DIVISIE,Excelsior Maassluis,Genemuiden,RELEGATION ,1.82,4.0,3.45,,,,,,,1.47,2.35,2.12,1.57,3.3,1.24,1.47,2.32,1.78,1.93,,,17.5,15.5,23.0,50.0,11.0,8.5,12.0,26.0,11.25,8.5,12.5,27.0,16.5,12.5,18.5,40.0,200.0
21,I9WKqwWD,12/06/2024,15:10,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,Chacarita Juniors,ROUND 19,2.3,3.1,3.4,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.2,1.65,1.33,3.3,6.0,7.5,15.0,41.0,5.5,6.0,13.0,34.0,9.0,10.0,21.0,51.0,21.0,23.0,41.0,81.0,201.0
22,bTa7XEr2,12/06/2024,16:00,SPAIN - LALIGA2,Eibar,R. Oviedo,PROMOTION ,1.9,3.4,4.2,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,2.0,1.73,1.93,1.93,1.24,3.9,8.0,10.0,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,34.0,67.0,351.0
23,QwSxAOh9,12/06/2024,17:00,ARGENTINA - LIGA PROFESIONAL,Godoy Cruz,Rosario Central,ROUND 5,2.1,3.1,3.9,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.38,1.53,2.08,1.73,1.28,3.55,6.0,7.5,17.0,41.0,5.0,6.5,15.0,41.0,8.5,10.0,21.0,51.0,19.0,23.0,41.0,101.0,201.0
24,xIorlsWk,12/06/2024,19:00,ARGENTINA - LIGA PROFESIONAL,Argentinos Jrs,Central Cordoba,ROUND 5,1.44,4.1,8.5,1.4,2.75,1.07,9.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,2.1,1.67,1.43,2.75,1.11,6.8,9.0,17.0,41.0,101.0,6.0,7.5,23.0,51.0,6.5,8.5,21.0,67.0,9.5,13.0,29.0,67.0,501.0
25,O4I2NY2b,12/06/2024,21:00,USA - USL CHAMPIONSHIP,Memphis,Rhode Island,-,1.75,3.65,3.9,1.37,2.85,1.05,7.9,1.26,3.5,1.8,1.95,2.87,1.37,4.9,1.14,1.75,1.98,1.75,2.0,,,7.9,12.0,22.0,60.0,7.6,7.3,13.5,35.0,8.5,8.25,15.0,40.0,14.0,13.5,25.0,65.0,500.0
26,QymJkf7f,12/06/2024,21:15,ARGENTINA - LIGA PROFESIONAL,Gimnasia L.P.,Barracas Central,ROUND 5,1.7,3.6,5.0,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.95,1.8,1.68,2.15,1.18,4.8,9.5,12.0,26.0,51.0,6.5,7.0,17.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
27,bkoRmYy7,12/06/2024,21:15,ARGENTINA - LIGA PROFESIONAL,Independiente,Banfield,ROUND 5,2.0,3.0,4.1,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,1.99,1.74,1.24,3.9,6.0,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,451.0
