Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
25/06/2023,15:30,ARGENTINA - LIGA PROFESIONAL,Arsenal Sarandi,Platense,ROUND 21,3.0,2.88,2.75,2.88,1.4,2.2,1.62
25/06/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Rosario Central,Colon Santa Fe,ROUND 21,2.05,3.3,3.8,2.15,1.67,1.95,1.8
25/06/2023,20:30,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Atl. Tucuman,ROUND 21,2.55,2.88,3.25,2.6,1.48,2.1,1.67
25/06/2023,12:00,ARGENTINA - PRIMERA NACIONAL,Brown Adrogue,Dep. Riestra,ROUND 19,2.4,3.1,3.25,2.7,1.44,2.2,1.62
25/06/2023,15:00,ARGENTINA - PRIMERA NACIONAL,CA Estudiantes,Racing Cordoba,ROUND 19,2.05,3.1,4.0,2.7,1.44,2.25,1.57
25/06/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Guillermo Brown,Deportivo Moron,ROUND 22,2.6,2.7,3.3,3.1,1.36,2.38,1.53
25/06/2023,15:10,ARGENTINA - PRIMERA NACIONAL,San Martin T.,Nueva Chicago,ROUND 22,1.8,3.0,6.5,2.88,1.4,2.75,1.4
25/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Maipu,CA Mitre,ROUND 19,2.0,3.1,4.33,2.5,1.5,2.2,1.62
25/06/2023,16:00,ARGENTINA - PRIMERA NACIONAL,Aldosivi,Gimnasia Jujuy,ROUND 19,2.2,3.1,3.6,2.4,1.53,2.1,1.67
25/06/2023,19:10,ARGENTINA - PRIMERA NACIONAL,Atl. Rafaela,Atletico Atlanta,ROUND 19,2.0,3.2,4.2,2.4,1.53,2.1,1.67
25/06/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Blooming,ROUND 17,1.18,6.5,13.0,1.4,2.88,2.0,1.73
25/06/2023,18:30,BOLIVIA - DIVISION PROFESIONAL,Bolivar,Santa Cruz,ROUND 17,1.2,5.25,12.0,1.5,2.5,2.0,1.73
