Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,rq4xlJyo,19/08/2024,05:30,INDONESIA - LIGA 1,PSS Sleman,Persik Kediri,ROUND 2,2.07,3.4,3.2,1.3,3.22,10.9,1.01,1.22,3.4,1.65,1.98,2.55,1.39,4.55,1.15,1.57,2.12,,,,,12.0,11.5,18.5,45.0,9.0,6.8,11.0,26.0,11.25,8.5,12.5,29.0,20.0,15.5,22.0,45.0,300.0
2,6gD05705,19/08/2024,09:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Chiangrai Utd,ROUND 2,1.33,4.9,8.25,1.31,3.15,1.03,9.0,1.18,4.25,1.57,2.27,2.35,1.52,3.9,1.22,1.9,1.82,,,,,9.0,23.0,55.0,200.0,7.8,9.75,25.0,90.0,6.7,8.5,20.0,75.0,8.5,10.75,25.0,90.0,600.0
3,AkdOBMTi,19/08/2024,09:00,INDONESIA - LIGA 1,Dewa United,Persib Bandung,ROUND 2,2.62,3.3,2.47,1.4,2.52,1.01,11.4,1.22,3.45,1.65,1.98,2.55,1.4,4.7,1.14,1.53,2.18,,,,,12.0,10.25,14.0,28.0,10.25,6.6,9.25,18.5,15.0,9.75,11.75,23.0,30.0,20.0,25.0,45.0,250.0
4,p65O2IoJ,19/08/2024,10:00,ARMENIA - PREMIER LEAGUE,Noah,West Armenia,ROUND 3,1.27,4.75,8.75,1.29,3.25,1.02,15.0,1.17,4.5,1.6,2.07,2.62,1.44,4.5,1.17,1.78,1.99,,,,,12.5,18.0,50.0,175.0,6.0,8.5,23.0,90.0,5.3,7.4,19.0,75.0,6.5,9.25,23.0,90.0,450.0
5,25fOhUDl,19/08/2024,11:00,ROMANIA - LIGA 2,Chindia Targoviste,Selimbar,ROUND 3,2.45,2.95,3.0,1.53,2.4,1.11,5.7,1.47,2.5,2.37,1.52,4.25,1.18,7.4,1.06,2.0,1.72,2.37,1.55,1.6,2.25,5.7,7.3,14.0,37.0,6.4,5.8,11.25,30.0,10.75,9.75,16.5,45.0,26.0,24.0,40.0,100.0,900.0
6,4jEsHwtS,19/08/2024,11:30,UZBEKISTAN - SUPER LEAGUE,Navbahor Namangan,Bunyodkor,ROUND 16,1.35,4.45,8.25,1.38,2.6,1.01,9.6,1.27,3.1,1.85,1.87,2.85,1.32,5.65,1.09,2.15,1.55,1.78,1.93,,,10.25,18.0,55.0,250.0,5.9,9.0,27.0,120.0,5.7,8.75,26.0,110.0,7.9,12.5,35.0,150.0,800.0
7,Uo1lpmbt,19/08/2024,11:30,RUSSIA - PREMIER LEAGUE,Akron Togliatti,Rubin Kazan,ROUND 5,3.11,3.48,2.46,1.44,2.73,1.03,8.3,1.33,3.04,2.14,1.82,3.56,1.25,6.8,1.06,1.83,1.93,,,,,,,,,,,,,,,,,,,,,
8,UJj8okig,19/08/2024,12:00,ALBANIA - SUPERLIGA,Laci,KF Tirana,ROUND 1,2.4,2.8,3.0,1.52,2.12,1.07,6.9,1.44,2.52,2.25,1.5,4.75,1.13,8.4,1.04,1.97,1.79,,,,,6.7,6.5,11.75,30.0,5.6,4.9,9.0,23.0,9.0,7.9,12.5,32.0,20.0,18.0,28.0,60.0,500.0
9,QPQcHH0C,19/08/2024,12:00,ARMENIA - PREMIER LEAGUE,Urartu,Ararat-Armenia,ROUND 3,4.2,3.5,1.72,1.37,2.5,1.02,8.6,1.3,3.08,1.91,1.7,3.42,1.25,6.5,1.06,1.88,1.88,,,1.91,1.7,9.25,5.5,6.5,10.75,9.25,6.0,7.1,11.75,18.0,11.75,13.5,23.0,50.0,32.0,37.0,65.0,450.0
10,x0OJQACe,19/08/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Iberia 1999,Samtredia,ROUND 21,1.26,4.85,9.0,1.28,3.34,1.03,12.4,1.18,4.3,1.57,2.1,2.12,1.57,4.25,1.17,2.05,1.73,,,,,12.5,18.5,50.0,200.0,6.1,8.75,23.0,90.0,5.3,7.5,19.5,75.0,6.4,9.0,23.0,90.0,500.0
11,Umt9hYGs,19/08/2024,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Septemvri Sofia,ROUND 5,1.9,3.3,4.2,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,2.0,1.73,1.95,1.9,1.24,3.9,7.5,10.0,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,34.0,67.0,1250.0
12,KvlP3QHa,19/08/2024,13:00,NORWAY - OBOS-LIGAEN,Raufoss,Egersund,ROUND 19,3.1,3.6,1.95,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.53,2.38,3.3,1.33,1.83,2.03,15.0,10.0,11.0,19.0,13.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,41.0,126.0
13,dnE97D9d,19/08/2024,13:00,ROMANIA - LIGA 1,U. Cluj,Sepsi Sf. Gheorghe,ROUND 6,2.2,3.2,3.25,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,2.2,1.65,1.35,3.1,8.0,9.0,15.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,19.0,34.0,51.0,351.0
14,E1mT2pX5,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Sandnes,Stabaek,ROUND 19,3.5,4.33,1.7,1.18,4.5,1.01,26.0,1.07,9.0,1.29,3.6,1.73,2.0,2.63,1.44,1.33,3.25,3.7,1.26,2.03,1.83,34.0,17.0,15.0,19.0,23.0,11.0,9.5,12.0,29.0,15.0,12.0,15.0,41.0,23.0,21.0,26.0,67.0
15,G65tClAJ,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Bryne,Kongsvinger,ROUND 19,1.95,3.7,3.1,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.57,2.25,2.03,1.83,1.35,3.1,15.0,13.0,19.0,34.0,10.0,7.5,12.0,23.0,11.0,9.0,13.0,26.0,19.0,15.0,21.0,41.0,126.0
16,pMeC6SXt,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Lyn,Start,ROUND 19,1.44,4.5,5.25,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,2.0,1.73,3.4,1.3,1.57,2.25,1.48,2.6,1.17,5.0,21.0,21.0,34.0,51.0,11.0,10.0,17.0,41.0,9.5,8.5,15.0,34.0,12.0,11.0,19.0,41.0,126.0
17,fT2V1tt3,19/08/2024,14:00,POLAND - EKSTRAKLASA,Stal Mielec,Piast Gliwice,ROUND 5,4.33,3.1,1.91,1.44,2.63,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.95,1.8,4.25,1.21,1.93,1.93,8.0,6.5,8.5,15.0,11.0,6.0,9.0,17.0,21.0,15.0,17.0,34.0,41.0,41.0,41.0,51.0,351.0
18,KQADvfpo,19/08/2024,14:00,POLAND - DIVISION 1,Wisla,Arka Gdynia,ROUND 5,2.88,3.4,2.2,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.62,2.2,2.85,1.4,1.63,2.25,13.0,9.5,12.0,21.0,11.0,7.0,9.5,17.0,17.0,11.0,12.0,23.0,29.0,21.0,29.0,41.0,151.0
19,tlkL462g,19/08/2024,14:00,NORWAY - OBOS-LIGAEN,Ranheim,Mjondalen,ROUND 19,1.53,4.2,4.75,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,2.0,1.73,3.4,1.3,1.5,2.5,1.55,2.38,1.17,5.0,21.0,21.0,34.0,51.0,12.0,9.0,17.0,34.0,10.0,9.0,13.0,34.0,13.0,11.0,19.0,34.0,101.0
