Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
24/07/2023,16:30,ARGENTINA - LIGA PROFESIONAL,Talleres Cordoba,Gimnasia L.P.,ROUND 26,1.53,4.0,7.0,2.05,1.8,2.1,1.67
24/07/2023,16:30,ARGENTINA - LIGA PROFESIONAL,Velez Sarsfield,Union de Santa Fe,ROUND 26,2.25,2.9,3.8,2.88,1.4,2.25,1.57
24/07/2023,18:30,ARGENTINA - LIGA PROFESIONAL,Banfield,Godoy Cruz,ROUND 26,2.3,3.1,3.4,2.5,1.5,2.1,1.67
24/07/2023,19:30,ARGENTINA - LIGA PROFESIONAL,Racing Club,Central Cordoba,ROUND 26,1.91,3.4,4.33,2.2,1.65,2.0,1.75
24/07/2023,20:45,ARGENTINA - LIGA PROFESIONAL,Boca Juniors,Newells Old Boys,ROUND 26,1.95,3.2,4.5,2.88,1.4,2.38,1.53
24/07/2023,18:00,ARGENTINA - PRIMERA NACIONAL,Aldosivi,Brown Adrogue,ROUND 23,2.5,3.1,3.1,2.5,1.5,2.1,1.67
24/07/2023,21:15,ARGENTINA - PRIMERA NACIONAL,San Martin S.J.,Def. de Belgrano,ROUND 26,2.1,3.1,4.0,2.88,1.4,2.5,1.5
24/07/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Vaca Diez,ROUND 20,1.17,8.0,14.0,1.4,2.88,1.91,1.8
24/07/2023,19:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,Blooming,ROUND 20,1.91,3.6,4.0,1.98,1.83,1.8,1.91
24/07/2023,21:00,BOLIVIA - DIVISION PROFESIONAL,Independiente Petrolero,Oriente Petrolero,ROUND 20,1.8,3.5,4.75,2.0,1.8,1.83,1.83
24/07/2023,19:00,BRAZIL - SERIE A,Coritiba,Fluminense,ROUND 16,3.3,3.2,2.3,2.2,1.67,1.95,1.8
24/07/2023,19:00,BRAZIL - SERIE B,Londrina,Botafogo SP,ROUND 19,2.47,3.04,3.12,2.57,1.43,2.16,1.66
24/07/2023,19:00,BRAZIL - SERIE B,Vitoria,Chapecoense-SC,ROUND 19,1.8,3.44,4.82,2.43,1.57,2.19,1.64
24/07/2023,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Slavia Sofia,ROUND 2,4.0,3.3,2.0,2.1,1.7,1.83,1.83
24/07/2023,15:15,BULGARIA - PARVA LIGA,Beroe,Arda,ROUND 2,3.6,3.3,2.1,2.15,1.67,1.83,1.83
24/07/2023,21:30,CHILE - PRIMERA DIVISION,A. Italiano,Curico Unido,ROUND 18,1.91,3.6,4.0,1.9,1.95,1.73,2.0
24/07/2023,21:00,COLOMBIA - PRIMERA A,Jaguares de Cordoba,Chico,CLAUSURA ,2.25,3.0,3.6,2.4,1.53,2.0,1.73
24/07/2023,14:00,DENMARK - SUPERLIGA,Nordsjaelland,Viborg,ROUND 1,2.4,3.5,2.8,1.7,2.1,1.57,2.25
24/07/2023,07:00,JAPAN - J2 LEAGUE,Kumamoto,Okayama,ROUND 27,2.38,3.3,3.1,2.1,1.7,1.8,1.91
24/07/2023,14:00,LITHUANIA - A LYGA,FK Panevezys,Siauliai FA,ROUND 23,1.93,3.34,3.82,2.16,1.68,1.9,1.86
24/07/2023,14:00,NORWAY - ELITESERIEN,Viking,Aalesund,ROUND 15,1.33,5.25,9.0,1.4,2.88,1.67,2.1
24/07/2023,20:00,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,Guairena FC,CLAUSURA ,1.3,4.75,9.0,1.7,2.1,2.1,1.67
24/07/2023,15:00,PERU - LIGA 1,Binacional,Dep. Municipal,CLAUSURA ,1.44,4.75,7.0,1.7,2.1,1.91,1.8
24/07/2023,14:00,POLAND - EKSTRAKLASA,Korona Kielce,Slask Wroclaw,ROUND 1,2.45,3.3,2.6,2.0,1.85,1.75,2.0
24/07/2023,12:30,ROMANIA - LIGA 1,FC Botosani,Petrolul,ROUND 2,2.2,3.3,2.9,2.25,1.62,2.0,1.73
24/07/2023,15:30,ROMANIA - LIGA 1,Univ. Craiova,Otelul,ROUND 2,1.36,4.75,6.5,2.1,1.7,2.63,1.44
24/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Ansan Greeners,ROUND 23,1.67,3.5,4.5,2.05,1.75,1.91,1.8
24/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Busan,Anyang,ROUND 23,2.55,3.25,2.5,2.1,1.7,1.83,1.83
24/07/2023,14:00,SWEDEN - ALLSVENSKAN,Sirius,Mjallby,ROUND 16,2.1,3.5,3.4,1.95,1.9,1.75,2.0
24/07/2023,14:00,SWEDEN - SUPERETTAN,GAIS,Vasteras SK,ROUND 15,1.95,3.4,3.5,1.75,2.05,1.67,2.1
24/07/2023,14:00,SWEDEN - SUPERETTAN,Helsingborg,Trelleborg,ROUND 15,1.91,3.4,3.5,1.98,1.88,1.8,1.95
24/07/2023,19:00,URUGUAY - PRIMERA DIVISION,CA Cerro,Plaza Colonia,TORNEO INTERMEDIO ,1.91,3.4,3.6,2.2,1.65,2.0,1.73
