Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,z9aVfCwC,28/01/2025,04:30,INDIA - I-LEAGUE,Namdhari,Sreenidi Deccan,ROUND 11,2.8,3.45,2.25,,,,,1.21,3.5,1.65,2.0,2.47,1.42,,,1.55,2.15,,,1.8,1.91,12.5,10.0,13.0,23.0,10.75,6.9,9.0,16.5,16.0,10.25,12.0,22.0,35.0,22.0,26.0,45.0,300.0
2,tMUVhj8O,28/01/2025,07:00,INDIA - I-LEAGUE,Rajasthan United,Inter Kashi,ROUND 11,3.3,3.8,1.91,,,,,1.2,3.65,1.6,2.07,2.42,1.44,3.45,1.22,1.57,2.12,,,1.83,1.88,13.5,9.25,10.5,17.0,12.5,7.5,8.5,14.0,19.5,11.5,13.0,22.0,45.0,26.0,30.0,50.0,300.0
3,jDFNvyFF,28/01/2025,09:00,INDONESIA - LIGA 1,Bali United,Borneo,ROUND 20,2.22,3.25,3.0,,,,,1.23,3.35,1.7,1.93,2.57,1.39,,,1.55,2.15,,,,,11.0,10.5,17.0,40.0,9.5,6.4,10.5,25.0,12.5,8.75,11.75,29.0,24.0,16.5,22.0,45.0,300.0
4,bLB1v09E,28/01/2025,11:00,INDIA - ISL,Punjab,Jamshedpur,ROUND 19,2.1,3.4,3.25,1.36,3.0,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.67,2.1,2.08,1.73,1.33,3.3,12.0,12.0,17.0,34.0,8.5,6.5,12.0,26.0,11.0,9.0,13.0,29.0,19.0,17.0,23.0,41.0,151.0
5,zLZ0eX5M,28/01/2025,11:00,EGYPT - PREMIER LEAGUE,National Bank Egypt,Petrojet,ROUND 10,2.18,2.87,3.65,1.53,2.35,1.12,5.4,1.5,2.4,2.5,1.47,4.45,1.17,7.7,1.05,2.05,1.7,2.15,1.65,1.27,3.2,5.4,8.25,18.0,55.0,5.6,5.7,12.5,40.0,9.0,9.25,17.0,55.0,21.0,22.0,40.0,110.0,101.0
6,vgthcgyA,28/01/2025,14:00,EGYPT - PREMIER LEAGUE,Smouha,ZED,ROUND 10,2.65,2.72,2.95,1.57,2.25,1.13,5.1,1.53,2.32,2.57,1.45,4.6,1.16,7.9,1.05,2.05,1.7,2.57,1.47,1.39,2.85,5.1,6.9,14.0,40.0,6.3,5.4,11.0,32.0,11.75,10.5,16.5,50.0,32.0,28.0,45.0,110.0,101.0
7,G6BOZJem,28/01/2025,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Genk U23,ROUND 17,2.2,3.5,2.8,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.53,2.38,2.2,1.65,1.4,2.85,15.0,12.0,17.0,29.0,10.0,7.0,11.0,21.0,13.0,9.5,12.0,26.0,21.0,17.0,21.0,41.0,126.0
8,hC6mUFPO,28/01/2025,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,K. Lierse S.K.,ROUND 17,2.75,3.4,2.35,1.36,3.0,1.04,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,2.75,1.43,1.58,2.35,12.0,10.0,13.0,23.0,11.0,6.5,9.5,19.0,15.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
9,pn3uWyeC,28/01/2025,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Lokeren-Temse,Eupen,ROUND 17,2.45,3.4,2.5,1.4,2.75,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,1.67,2.1,2.43,1.53,1.5,2.5,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
10,YBPelzQO,28/01/2025,16:00,NETHERLANDS - EREDIVISIE,Heracles,Groningen,ROUND 17,2.3,3.4,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.75,2.0,2.25,1.63,1.38,3.0,10.0,10.0,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,13.0,34.0,21.0,19.0,26.0,41.0,201.0
11,KMKsLBoQ,28/01/2025,16:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Linfield,Crusaders,ROUND 6,1.36,4.6,7.9,1.36,2.9,1.05,8.0,1.24,3.65,1.72,2.0,2.75,1.4,4.7,1.15,2.05,1.7,,,,,8.0,19.5,50.0,200.0,6.5,9.0,25.0,100.0,6.1,8.5,22.0,90.0,8.25,11.5,30.0,110.0,1000.0
12,4v8CDhsg,28/01/2025,16:45,ENGLAND - LEAGUE TWO,Bradford City,Morecambe,ROUND 29,1.45,4.33,6.5,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,2.0,1.73,1.45,2.68,1.12,6.25,12.0,15.0,34.0,81.0,6.5,8.5,21.0,51.0,6.5,8.5,21.0,51.0,10.0,12.0,26.0,67.0,351.0
