Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,AqDkOIkJ,05/08/2023,00:00,FIJI - PREMIER LEAGUE,Ba,Labasa,ROUND 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,YPYCht8G,05/08/2023,02:00,MONGOLIA - PREMIER LEAGUE,Deren,Tuv Buganuud,ROUND 1,1.21,6.0,11.0,,,,,1.03,9.0,1.2,4.33,1.6,2.2,2.4,1.5,1.4,2.75,,,,,36.0,46.0,61.0,67.0,12.0,13.0,23.0,51.0,9.5,7.5,13.0,34.0,9.5,8.0,12.0,26.0,67.0
3,lGqLDD9i,05/08/2023,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,Selimbar,ROUND 1,1.99,3.28,3.67,1.45,2.56,1.05,8.0,1.36,2.79,2.19,1.66,3.88,1.2,8.1,1.04,1.91,1.85,,,,,7.0,9.0,15.0,41.0,6.0,5.5,11.0,29.0,8.0,7.5,13.0,41.0,15.0,15.0,29.0,76.0,101.0
4,QmBW53TM,05/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Barito Putera,ROUND 6,2.47,3.48,2.54,1.32,3.1,1.01,11.5,1.21,3.74,1.74,2.07,2.71,1.38,4.9,1.12,1.57,2.34,,,,,10.0,9.0,12.0,21.0,9.0,6.0,8.5,15.0,12.0,8.0,10.0,19.0,23.0,15.0,21.0,41.0,67.0
5,SORLjKxT,05/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Khaan Khuns-Erchim,Khovd,ROUND 1,2.19,4.05,2.66,,,,,1.05,8.0,1.2,4.33,1.67,2.02,2.58,1.49,1.26,3.69,,,,,29.0,17.0,17.0,23.0,19.0,8.5,9.0,13.0,19.0,10.0,8.5,12.0,29.0,15.0,13.0,15.0,61.0
6,8r9naEfb,05/08/2023,05:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Concordia,ROUND 1,2.2,3.28,3.13,1.41,2.69,1.03,9.0,1.3,3.08,2.01,1.78,3.42,1.25,6.9,1.07,1.77,2.0,,,,,8.5,8.5,13.0,31.0,7.0,5.5,9.5,21.0,9.5,7.5,11.0,26.0,19.0,15.0,23.0,61.0,101.0
7,r11adCvH,05/08/2023,05:00,ROMANIA - LIGA 2,CSM Resita,Unirea Slobozia,ROUND 1,2.76,3.25,2.4,1.41,2.69,1.03,8.8,1.31,3.04,2.04,1.76,3.48,1.24,7.0,1.06,1.77,2.0,,,,,8.0,7.5,11.0,21.0,8.0,5.5,8.5,17.0,12.0,9.0,11.0,23.0,23.0,19.0,29.0,61.0,101.0
8,MoDjbY94,05/08/2023,05:00,ROMANIA - LIGA 2,Progresul Spartac,CSC Dumbravita,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,M9iZkAHp,05/08/2023,05:00,ROMANIA - LIGA 2,Tunari,CSM Slatina,ROUND 1,2.57,3.24,2.57,1.41,2.69,1.03,8.8,1.31,3.04,2.04,1.76,3.48,1.24,7.0,1.07,1.76,2.01,,,,,8.0,7.5,11.0,23.0,7.5,5.5,9.0,19.0,11.0,8.5,11.0,26.0,21.0,17.0,26.0,61.0,101.0
10,S6rPCXOc,05/08/2023,05:00,ROMANIA - LIGA 2,Unirea Dej,CSM Alexandria,ROUND 1,2.03,3.34,3.47,1.42,2.66,1.04,8.4,1.32,2.98,2.05,1.75,3.48,1.24,7.5,1.05,1.82,1.94,,,,,8.0,9.0,15.0,36.0,6.5,5.5,10.0,23.0,9.0,7.5,13.0,34.0,15.0,15.0,23.0,67.0,101.0
11,xxG2eWgN,05/08/2023,05:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,FC Arges,ROUND 1,5.02,3.85,1.61,1.35,2.94,1.02,10.0,1.24,3.48,1.85,1.93,2.98,1.32,5.9,1.1,1.82,1.94,,,,,9.5,6.0,6.5,11.0,12.0,6.5,6.5,11.0,23.0,13.0,13.0,21.0,67.0,36.0,46.0,67.0,101.0
12,xKtNbE4C,05/08/2023,07:00,VIETNAM - V.LEAGUE 1,Da Nang,Song Lam Nghe An,RELEGATION GROUP ,1.73,3.5,4.65,1.44,2.59,1.04,7.8,1.35,2.84,2.16,1.68,3.74,1.21,7.3,1.05,1.98,1.79,,,,,7.5,10.0,20.0,61.0,5.5,5.5,12.0,34.0,6.5,7.0,13.0,51.0,11.0,12.0,23.0,67.0,201.0
13,bTsJafk6,05/08/2023,07:00,VIETNAM - V.LEAGUE 1,Gia Lai,Ho Chi Minh,RELEGATION GROUP ,2.35,3.24,2.9,1.42,2.66,1.03,8.3,1.32,2.98,2.07,1.74,3.48,1.24,6.8,1.06,1.78,1.99,,,,,7.5,7.0,10.0,23.0,7.0,5.0,8.0,18.0,10.0,8.0,11.0,26.0,21.0,17.0,26.0,51.0,201.0
14,6goRcYJI,05/08/2023,07:00,VIETNAM - V.LEAGUE 1,Binh Duong,Khanh Hoa,RELEGATION GROUP ,1.73,3.62,4.45,1.39,2.77,1.02,8.8,1.28,3.2,1.95,1.83,3.28,1.27,6.2,1.07,1.83,1.93,,,,,8.0,10.0,19.0,51.0,5.5,5.5,12.0,36.0,6.5,6.5,12.0,41.0,11.0,11.0,21.0,61.0,201.0
15,KMIwcqbM,05/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Suwon Bluewings,Suwon FC,ROUND 25,2.05,3.4,3.5,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,3.0,1.36,6.0,1.13,1.67,2.1,2.05,1.75,1.3,3.45,11.0,12.0,19.0,41.0,8.5,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,23.0,41.0,151.0
16,S05xfqQB,05/08/2023,07:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Bucheon FC 1995,ROUND 25,2.38,3.3,2.7,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.73,2.0,2.38,1.55,1.45,2.68,11.0,9.5,15.0,29.0,9.0,6.5,11.0,21.0,12.0,9.5,13.0,29.0,23.0,19.0,29.0,41.0,201.0
17,Um45Xvlp,05/08/2023,07:00,SINGAPORE - PREMIER LEAGUE,Tanjong Pagar,Young Lions,-,1.4,5.25,4.5,1.14,5.5,1.01,34.0,1.05,11.0,1.2,4.33,1.5,2.5,2.1,1.67,1.3,3.4,,,,,34.0,34.0,41.0,51.0,21.0,15.0,19.0,34.0,15.0,10.0,15.0,23.0,15.0,11.0,15.0,26.0,67.0
18,EqIsd3DS,05/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Daegu,Ulsan Hyundai,ROUND 25,4.0,3.4,1.91,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.73,2.0,3.55,1.28,1.85,2.0,11.0,8.0,10.0,17.0,12.0,6.5,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,201.0
19,6i4tg3uI,05/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Busan,Cheonan City,ROUND 25,1.5,3.75,6.0,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.93,3.25,1.33,6.0,1.13,1.91,1.8,1.5,2.5,1.13,6.0,11.0,15.0,34.0,67.0,6.5,7.5,19.0,51.0,7.0,8.5,17.0,51.0,11.0,13.0,26.0,51.0,301.0
20,Kx3VxqEn,05/08/2023,08:00,SWEDEN - SUPERETTAN,AFC Eskilstuna,Oster,ROUND 17,4.0,3.6,1.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,3.8,1.25,2.03,1.83,13.0,8.5,9.5,15.0,13.0,7.5,8.5,13.0,23.0,13.0,13.0,23.0,41.0,34.0,34.0,41.0,151.0
21,p0xHi0NM,05/08/2023,08:00,MONGOLIA - PREMIER LEAGUE,Khangarid,FC Ulaanbaatar,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YDzwhNfO,05/08/2023,08:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Anyang,ROUND 25,3.2,3.1,2.1,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.91,1.8,3.45,1.3,1.73,2.08,8.0,7.0,9.5,19.0,9.0,6.0,9.5,19.0,17.0,12.0,17.0,34.0,41.0,29.0,41.0,51.0,351.0
23,zoXZm37m,05/08/2023,08:30,SCOTLAND - PREMIERSHIP,Celtic,Ross County,ROUND 1,1.11,9.5,17.0,1.17,5.0,1.01,29.0,1.08,8.0,1.29,3.75,1.73,2.1,2.63,1.5,2.0,1.75,1.12,6.4,,,29.0,41.0,81.0,251.0,12.0,19.0,41.0,101.0,8.0,12.0,29.0,67.0,7.0,11.0,29.0,81.0,351.0
24,ryIXMUgM,05/08/2023,08:35,CHINA - SUPER LEAGUE,Dalian Pro,Shanghai Shenhua,ROUND 20,3.0,3.0,2.6,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,3.75,1.25,9.0,1.07,1.8,1.95,2.75,1.43,1.5,2.5,8.0,8.0,12.0,26.0,8.5,5.5,10.0,21.0,13.0,11.0,13.0,34.0,29.0,23.0,34.0,51.0,251.0
25,4pJTNAvG,05/08/2023,08:35,CHINA - SUPER LEAGUE,Cangzhou,Shenzhen,ROUND 20,1.09,8.5,26.0,1.22,4.0,1.03,17.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,2.63,1.44,1.11,6.8,,,17.0,41.0,101.0,501.0,8.5,17.0,51.0,201.0,6.0,12.0,41.0,151.0,6.0,12.0,41.0,126.0,501.0
26,4vAz5NrT,05/08/2023,09:00,INDONESIA - LIGA 1,Madura United,PSIS Semarang,ROUND 6,1.87,3.66,3.69,1.32,3.1,10.5,1.01,1.21,3.74,1.74,2.07,2.71,1.38,4.95,1.12,1.63,2.22,,,,,11.0,12.0,19.0,36.0,7.5,6.0,11.0,23.0,8.5,7.0,11.0,29.0,13.0,12.0,17.0,46.0,67.0
27,0rPSa31c,05/08/2023,09:00,FINLAND - VEIKKAUSLIIGA,HJK,Mariehamn,-,1.45,4.2,7.0,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,2.0,1.75,1.48,2.6,1.12,6.25,11.0,17.0,34.0,81.0,7.0,8.0,21.0,51.0,6.5,8.5,19.0,51.0,9.5,12.0,29.0,67.0,351.0
28,fe7AM2GR,05/08/2023,09:00,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,FK Rostov,ROUND 3,2.49,3.52,3.03,1.41,2.79,1.02,8.6,1.3,3.14,2.08,1.87,3.4,1.26,6.45,1.07,1.78,1.99,,,,,,,,,,,,,,,,,,,,,
29,nBeCP5bE,05/08/2023,10:00,POLAND - EKSTRAKLASA,Rakow,Warta Poznan,ROUND 3,1.4,4.2,8.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,2.2,1.62,1.4,2.85,,,9.5,17.0,41.0,101.0,6.0,8.0,23.0,67.0,6.0,9.0,21.0,67.0,9.0,13.0,34.0,81.0,501.0
30,EDsrIrxf,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Mjondalen,Hodd,ROUND 16,2.0,3.5,3.75,1.36,3.0,1.04,12.0,1.25,3.75,1.83,2.03,3.0,1.36,5.5,1.14,1.67,2.1,2.0,1.8,1.3,3.45,12.0,12.0,19.0,41.0,8.5,7.0,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
31,4QAgOF6o,05/08/2023,10:00,SWEDEN - ALLSVENSKAN,Brommapojkarna,Varnamo,ROUND 18,2.2,3.5,3.2,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.05,2.75,1.4,5.5,1.14,1.67,2.1,2.15,1.68,1.38,3.0,12.0,11.0,17.0,34.0,9.0,6.5,11.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
