Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
14/07/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Godoy Cruz,Defensa y Justicia,ROUND 25,2.25,3.2,3.4,2.2,1.65,1.95,1.8
14/07/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Velez Sarsfield,ROUND 25,2.75,2.9,2.8,2.88,1.4,2.25,1.57
14/07/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Huracan,Talleres Cordoba,ROUND 25,2.88,3.1,2.6,2.5,1.5,2.0,1.75
14/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Nueva Chicago,Almagro,ROUND 25,2.4,2.8,3.4,3.5,1.3,2.5,1.5
14/07/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Alvarado,ROUND 25,1.95,3.0,4.75,3.1,1.36,2.5,1.5
14/07/2023,21:10,ARGENTINA - PRIMERA NACIONAL,San Martin T.,San Telmo,ROUND 25,1.5,4.0,7.0,2.4,1.53,2.5,1.5
14/07/2023,19:00,BRAZIL - SERIE B,Botafogo SP,Chapecoense-SC,ROUND 17,2.17,3.14,3.65,2.65,1.49,2.18,1.65
14/07/2023,19:00,BRAZIL - SERIE B,CRB,Avai,ROUND 17,1.82,3.48,4.59,2.33,1.62,2.11,1.69
14/07/2023,21:30,BRAZIL - SERIE B,Atletico GO,Sport Recife,ROUND 17,2.41,3.18,3.08,2.39,1.59,2.0,1.77
14/07/2023,21:30,BRAZIL - SERIE B,Sampaio Correa,Ituano,ROUND 17,1.98,3.26,4.13,2.53,1.53,2.18,1.65
14/07/2023,12:45,BULGARIA - PARVA LIGA,Pirin Blagoevgrad,Beroe,ROUND 1,2.45,3.3,2.9,2.2,1.65,1.83,1.83
14/07/2023,15:00,BULGARIA - PARVA LIGA,Krumovgrad,Ludogorets,ROUND 1,9.5,6.0,1.29,1.7,2.1,2.25,1.57
14/07/2023,20:30,CANADA - CANADIAN PREMIER LEAGUE,York Utd,Pacific FC,-,3.33,3.3,2.1,1.89,1.89,1.69,2.11
14/07/2023,18:00,CHILE - PRIMERA DIVISION,Cobresal,Huachipato,ROUND 17,1.95,3.4,4.0,1.85,2.0,1.67,2.1
14/07/2023,18:00,COLOMBIA - PRIMERA A,Envigado,Bucaramanga,CLAUSURA ,2.25,3.2,3.3,2.15,1.67,1.83,1.83
14/07/2023,21:40,COLOMBIA - PRIMERA A,Huila,U. Magdalena,CLAUSURA ,2.05,3.3,3.8,2.08,1.73,1.83,1.83
14/07/2023,14:30,EGYPT - PREMIER LEAGUE,Aswan SC,El Daklyeh,ROUND 34,2.1,2.88,4.31,2.5,1.53,2.09,1.71
14/07/2023,14:30,EGYPT - PREMIER LEAGUE,Haras El Hodood,Ghazl El Mahallah,ROUND 34,5.3,3.45,1.73,2.5,1.53,2.29,1.59
14/07/2023,14:30,EGYPT - PREMIER LEAGUE,National Bank Egypt,Future FC,ROUND 34,2.94,3.15,2.5,2.38,1.58,1.98,1.79
14/07/2023,14:30,EGYPT - PREMIER LEAGUE,Pyramids,El Gaish,ROUND 34,1.68,3.7,5.25,2.15,1.7,2.06,1.73
14/07/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Bohemians,ROUND 24,2.45,3.1,2.9,2.5,1.5,2.05,1.7
14/07/2023,15:45,IRELAND - PREMIER DIVISION,UC Dublin,Drogheda,ROUND 24,6.5,4.5,1.4,1.75,2.05,1.95,1.8
14/07/2023,13:00,LITHUANIA - A LYGA,Banga,Dziugas Telsiai,ROUND 22,1.9,3.4,3.86,2.05,1.75,1.84,1.92
14/07/2023,00:00,MEXICO - LIGA MX,Guadalajara Chivas,Necaxa,APERTURA ,2.05,3.3,3.8,2.2,1.65,1.95,1.8
14/07/2023,22:00,MEXICO - LIGA MX,Mazatlan FC,Monterrey,APERTURA ,5.0,4.0,1.67,1.73,2.08,1.7,2.05
14/07/2023,17:30,PERU - LIGA 1,Cajamarca,Alianza Atl.,CLAUSURA ,1.62,3.8,5.75,1.85,2.0,1.83,1.83
14/07/2023,23:00,PERU - LIGA 1,U. de Deportes,Union Comercio,CLAUSURA ,1.25,6.0,11.0,1.57,2.35,2.1,1.67
14/07/2023,12:30,ROMANIA - LIGA 1,Otelul,UTA Arad,ROUND 1,3.1,3.2,2.2,2.4,1.53,2.1,1.67
14/07/2023,15:30,ROMANIA - LIGA 1,FC Rapid Bucuresti,Sepsi Sf. Gheorghe,ROUND 1,1.91,3.1,3.8,2.1,1.7,1.91,1.8
14/07/2023,14:00,SWEDEN - SUPERETTAN,Oster,Skovde AIK,ROUND 14,1.3,4.75,9.0,1.67,2.15,1.95,1.8
14/07/2023,20:00,URUGUAY - PRIMERA DIVISION,Defensor Sp.,Danubio,TORNEO INTERMEDIO ,1.8,3.5,4.0,2.2,1.65,2.1,1.67
14/07/2023,22:00,USA - USL CHAMPIONSHIP,Colorado Springs,San Diego Loyal,-,1.98,3.54,3.42,1.77,2.03,1.63,2.22
