Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_1-0,Odd_CS_2-0,Odd_CS_2-1,Odd_CS_3-0,Odd_CS_3-1,Odd_CS_3-2,Odd_CS_0-0,Odd_CS_1-1,Odd_CS_2-2,Odd_CS_3-3,Odd_CS_4-4,Odd_CS_0-1,Odd_CS_0-2,Odd_CS_1-2,Odd_CS_0-3,Odd_CS_1-3,Odd_CS_2-3
OrVrFqj8,06/06/2023,15:00,NETHERLANDS - EREDIVISIE,Almere City,FC Emmen,RELEGATION ,2.45,3.25,2.88,1.93,1.93,1.75,2.0,8.5,12.0,9.5,23.0,19.0,29.0,10.0,6.0,13.0,41.0,201.0,9.5,15.0,11.0,29.0,23.0,29.0
WYPe5SL6,06/06/2023,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,Pyunik Yerevan,ROUND 36,3.36,3.18,2.13,2.14,1.69,1.83,1.93,8.0,14.0,10.0,36.0,26.0,34.0,7.0,5.0,11.0,71.0,201.0,6.0,8.0,7.0,15.0,14.0,23.0
QePa4nyD,06/06/2023,12:00,ARMENIA - PREMIER LEAGUE,Urartu,Ararat Yerevan,ROUND 36,1.37,4.5,7.8,1.85,1.93,2.07,1.72,5.0,5.0,6.5,7.0,9.5,23.0,9.5,7.5,17.0,101.0,201.0,17.0,41.0,21.0,151.0,81.0,81.0
6saOeUCg,06/06/2023,19:00,BRAZIL - SERIE B,Chapecoense-SC,Vila Nova FC,ROUND 11,2.68,3.13,2.74,2.46,1.56,2.02,1.76,7.0,11.0,10.0,26.0,23.0,41.0,7.0,5.5,15.0,101.0,201.0,7.5,12.0,10.0,31.0,26.0,41.0
fT01tkD6,06/06/2023,19:00,BRAZIL - SERIE B,Ponte Preta,ABC,ROUND 11,1.7,3.64,5.2,2.23,1.67,2.11,1.69,5.5,7.0,8.0,12.0,14.0,31.0,8.0,7.0,18.0,101.0,201.0,12.0,26.0,17.0,91.0,56.0,76.0
Kp3SflSa,06/06/2023,19:00,BRAZIL - SERIE B,Tombense,Vitoria,ROUND 11,2.61,3.18,2.78,2.34,1.61,1.96,1.8,7.5,10.0,8.5,26.0,21.0,34.0,8.0,5.5,13.0,67.0,,7.5,12.0,9.0,29.0,23.0,34.0
xhj6u9SC,06/06/2023,21:30,BRAZIL - SERIE B,Atletico GO,Ceara,ROUND 11,2.05,3.44,3.62,2.09,1.76,1.87,1.89,7.0,10.0,8.5,19.0,17.0,26.0,8.5,6.0,13.0,71.0,201.0,9.5,15.0,11.0,36.0,26.0,36.0
4brh3CKJ,06/06/2023,21:30,BRAZIL - SERIE B,Botafogo SP,Ituano,ROUND 11,2.06,3.24,3.84,2.48,1.55,2.12,1.69,6.0,8.5,8.5,17.0,18.0,36.0,7.0,6.0,15.0,101.0,201.0,9.5,18.0,13.0,56.0,41.0,51.0
CpBaK8Jt,06/06/2023,13:30,BULGARIA - PARVA LIGA,Botev Plovdiv,Arda,CONFERENCE LEAGUE GROUP ,13.0,8.0,1.17,1.5,2.5,2.38,1.53,26.0,51.0,34.0,201.0,81.0,67.0,17.0,15.0,34.0,101.0,201.0,8.0,6.0,11.0,6.5,12.0,34.0
tKF3JSYn,06/06/2023,13:30,BULGARIA - PARVA LIGA,Slavia Sofia,Lok. Sofia,CONFERENCE LEAGUE GROUP ,1.6,3.8,6.5,2.3,1.6,2.38,1.53,5.0,6.0,9.0,11.0,17.0,41.0,7.5,7.5,23.0,81.0,201.0,12.0,29.0,21.0,67.0,51.0,67.0
UqQNCLdr,06/06/2023,13:00,EGYPT - PREMIER LEAGUE,El Daklyeh,Haras El Hodood,ROUND 31,2.0,3.08,4.3,2.5,1.53,2.14,1.67,6.0,9.0,9.0,18.0,19.0,36.0,6.5,6.0,15.0,101.0,201.0,9.0,17.0,13.0,51.0,36.0,51.0
8zPRBuCl,06/06/2023,13:00,EGYPT - PREMIER LEAGUE,Pharco,Pyramids,ROUND 31,4.98,3.24,1.83,2.59,1.5,2.27,1.6,10.0,23.0,15.0,81.0,56.0,81.0,6.5,6.5,20.0,126.0,201.0,5.0,7.0,8.5,13.0,17.0,36.0
