Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,lOBlpczj,14/03/2024,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Zacatecas Mineros,CLAUSURA ,2.75,3.4,2.37,1.36,2.87,1.05,8.0,1.24,3.7,1.72,2.05,2.67,1.42,4.55,1.16,1.57,2.25,2.25,1.6,1.57,2.32,8.0,9.5,13.0,25.0,10.75,6.7,9.25,18.0,16.0,10.0,11.75,24.0,32.0,21.0,25.0,45.0,300.0
2,dvEHjWWk,14/03/2024,05:00,AUSTRALIA - A-LEAGUE,Western United,Melbourne Victory,ROUND 21,4.75,4.0,1.7,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.5,1.53,4.33,1.22,1.62,2.2,4.5,1.19,2.25,1.63,15.0,9.5,9.5,13.0,17.0,8.0,8.5,12.0,29.0,15.0,13.0,21.0,51.0,34.0,34.0,41.0,126.0
3,h0hyJHlG,14/03/2024,08:15,MONGOLIA - PREMIER LEAGUE,Khoromkhon,Bayanzurkh Sporting,ROUND 12,1.31,5.5,6.24,,,,,,,1.2,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,fwjqR1Uk,14/03/2024,10:30,INDONESIA - LIGA 1,PSS Sleman,Borneo,ROUND 29,3.65,3.25,1.98,1.35,2.94,1.01,9.7,1.25,3.2,1.8,1.9,2.75,1.34,5.5,1.1,1.62,2.02,,,1.78,1.93,10.5,7.7,9.75,18.0,12.0,6.4,8.25,15.5,22.0,12.0,12.5,24.0,55.0,30.0,32.0,50.0,350.0
5,zeONvsGo,14/03/2024,10:30,INDIA - I-LEAGUE,Gokulam,Aizawl,ROUND 20,1.32,4.9,7.7,1.27,3.4,1.02,12.8,1.19,3.75,1.55,2.15,2.32,1.47,3.65,1.19,1.88,1.72,,,,,14.5,22.0,55.0,200.0,7.7,10.0,24.0,90.0,6.6,8.75,21.0,75.0,8.25,10.75,27.0,100.0,700.0
6,tfOxnJi6,14/03/2024,10:45,UZBEKISTAN - SUPER LEAGUE,Lok. Tashkent,Pakhtakor,ROUND 3,4.05,3.4,1.83,1.47,2.35,1.04,7.5,1.38,2.6,2.1,1.57,3.55,1.21,7.8,1.04,1.98,1.65,,,1.91,1.8,8.0,5.8,7.6,14.5,9.5,6.7,8.75,16.5,20.0,14.5,19.0,35.0,65.0,45.0,60.0,110.0,
7,hG2pZYxT,14/03/2024,11:00,INDIA - ISL,Goa,Bengaluru FC,-,1.67,3.5,4.75,1.36,3.0,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.83,1.83,1.68,2.15,1.18,4.8,10.0,13.0,26.0,51.0,7.0,7.0,17.0,41.0,8.0,8.5,15.0,41.0,13.0,13.0,26.0,51.0,251.0
8,lASEHjnt,14/03/2024,12:00,GHANA - PREMIER LEAGUE,Real Tamale,Bibiani Gold Stars,ROUND 21,2.93,2.94,2.41,1.54,2.32,1.07,6.4,1.49,2.48,2.45,1.46,4.75,1.13,9.1,1.03,2.04,1.74,,,,,,,,,,,,,,,,,,,,,
9,GMc0bToI,14/03/2024,12:00,GHANA - PREMIER LEAGUE,Bofoakwa Tano,Heart of Lions,ROUND 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,APfh0kH5,14/03/2024,12:00,GHANA - PREMIER LEAGUE,Legon Cities,Nations FC,ROUND 21,1.95,3.05,3.75,1.55,2.07,1.08,5.85,1.52,2.2,2.64,1.4,5.3,1.11,9.1,1.03,2.23,1.62,1.87,1.75,,,6.1,6.6,14.5,45.0,4.45,5.4,11.75,35.0,6.5,7.9,17.0,50.0,13.0,16.0,35.0,110.0,
11,S0RIGA1n,14/03/2024,12:00,GHANA - PREMIER LEAGUE,Medeama,Bechem United,ROUND 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,YL8ULyUN,14/03/2024,12:45,SLOVENIA - PRVA LIGA,Koper,Celje,ROUND 26,3.9,3.35,1.91,1.42,2.67,1.06,7.3,1.29,3.3,1.87,1.87,3.05,1.33,5.3,1.12,1.72,2.0,,,1.87,1.87,7.3,7.2,9.0,16.5,12.0,6.5,8.25,15.0,22.0,12.5,13.5,25.0,60.0,35.0,37.0,60.0,450.0
