Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
18/06/2023,13:10,ARGENTINA - PRIMERA NACIONAL,Patronato,Defensores Unidos,ROUND 21,1.73,3.25,4.5,2.25,1.62,2.1,1.67
18/06/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Def. de Belgrano,San Telmo,ROUND 21,1.83,3.2,5.5,2.4,1.53,2.2,1.62
18/06/2023,15:10,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,San Martin S.J.,ROUND 21,2.38,3.1,3.3,2.7,1.44,2.2,1.62
18/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,CA Mitre,Villa Dalmine,ROUND 18,1.53,3.75,7.5,2.35,1.57,2.5,1.5
18/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Guillermo Brown,ROUND 21,2.15,3.1,3.6,2.6,1.48,2.2,1.62
18/06/2023,17:10,ARGENTINA - PRIMERA NACIONAL,Ferro,Gimnasia Jujuy,ROUND 18,2.3,3.1,3.4,2.5,1.5,2.1,1.67
18/06/2023,19:10,ARGENTINA - PRIMERA NACIONAL,All Boys,San Martin T.,ROUND 21,3.75,2.9,2.25,2.7,1.44,2.2,1.62
18/06/2023,18:00,BRAZIL - SERIE B,Sport Recife,Vila Nova FC,ROUND 2,1.74,3.65,4.88,2.14,1.72,2.02,1.75
18/06/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Pacific FC,York Utd,-,1.73,3.68,4.35,1.87,1.91,1.77,2.0
18/06/2023,17:30,ECUADOR - LIGA PRO,Dep. Cuenca,Emelec,FIRST STAGE ,2.7,3.25,2.7,1.95,1.85,1.73,2.0
18/06/2023,20:00,ECUADOR - LIGA PRO,Barcelona SC,U. Catolica,FIRST STAGE ,1.95,3.75,3.75,1.8,2.0,1.73,2.0
18/06/2023,02:00,JAPAN - J2 LEAGUE,Renofa Yamaguchi,Vegalta Sendai,ROUND 21,4.33,3.6,1.83,1.98,1.88,1.83,1.83
18/06/2023,04:00,JAPAN - J2 LEAGUE,Iwaki,Chiba,ROUND 21,3.3,3.1,2.38,2.2,1.65,1.83,1.83
18/06/2023,06:00,JAPAN - J2 LEAGUE,Tochigi SC,Machida,ROUND 21,5.25,2.9,1.95,3.4,1.33,2.63,1.44
18/06/2023,06:00,JAPAN - J2 LEAGUE,Verdy,Kusatsu,ROUND 21,1.6,3.6,6.0,2.3,1.6,2.25,1.57
18/06/2023,10:00,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Plaza Colonia,TORNEO INTERMEDIO ,2.1,3.1,3.4,2.3,1.6,2.0,1.73
18/06/2023,15:30,URUGUAY - PRIMERA DIVISION,Penarol,River Plate,TORNEO INTERMEDIO ,1.5,3.6,6.0,2.0,1.8,2.1,1.67
18/06/2023,18:00,URUGUAY - PRIMERA DIVISION,Defensor Sp.,Wanderers,TORNEO INTERMEDIO ,1.67,3.5,4.5,2.1,1.7,2.1,1.67
18/06/2023,00:00,USA - USL CHAMPIONSHIP,Sacramento Republic,Monterey Bay,-,1.51,4.1,5.77,1.82,1.96,1.85,1.91
