Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,6mYftFOb,30/11/2024,01:00,AUSTRALIA - A-LEAGUE,Auckland FC,Newcastle Jets,ROUND 6,1.57,4.2,5.5,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.8,1.95,1.55,2.38,1.16,5.25,13.0,15.0,29.0,51.0,8.0,8.0,17.0,41.0,8.0,8.5,17.0,41.0,12.0,12.0,23.0,51.0,201.0
2,zHaBDeEE,30/11/2024,03:00,AUSTRALIA - A-LEAGUE,Melbourne City,WS Wanderers,ROUND 6,1.67,4.1,4.5,1.29,3.5,1.03,17.0,1.17,5.0,1.5,2.63,2.3,1.62,4.0,1.25,1.57,2.25,1.68,2.15,1.22,4.15,17.0,17.0,26.0,51.0,10.0,8.5,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
3,zVlsXN2e,30/11/2024,04:00,PHILIPPINES - PFL,Maharlika,Mendiola FC 1991,ROUND 7,1.44,4.75,4.5,1.18,4.3,,,1.06,5.8,1.33,3.25,1.8,2.0,2.51,1.39,1.42,2.77,,,,,26.0,23.0,34.0,51.0,13.0,11.0,19.0,34.0,11.0,10.0,15.0,34.0,12.0,12.0,21.0,34.0,81.0
4,SIduq0M9,30/11/2024,05:30,INDIA - I-LEAGUE,Namdhari,Rajasthan United,ROUND 2,1.8,3.6,3.95,1.34,2.99,1.01,8.0,1.23,3.4,1.7,1.93,2.57,1.38,4.4,1.12,1.62,2.02,,,,,11.75,12.5,23.0,60.0,8.25,7.1,13.0,35.0,9.25,8.25,13.5,37.0,15.5,13.5,22.0,55.0,400.0
5,SEvj6D6l,30/11/2024,05:35,AUSTRALIA - A-LEAGUE,Macarthur FC,Brisbane Roar,ROUND 6,1.73,4.0,4.5,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.63,2.1,1.73,3.75,1.29,1.5,2.5,1.73,2.08,1.23,4.0,19.0,19.0,26.0,41.0,11.0,8.0,15.0,29.0,11.0,8.5,12.0,29.0,15.0,12.0,19.0,34.0,101.0
6,8rmkV1X7,30/11/2024,06:45,PHILIPPINES - PFL,Philippines U20,Davao Aguilas,ROUND 7,7.0,5.0,1.3,1.2,4.0,,,,,1.4,2.75,1.93,1.7,3.02,1.27,1.69,2.11,,,,,19.0,11.0,8.5,9.0,26.0,11.0,10.0,12.0,41.0,23.0,19.0,23.0,67.0,51.0,41.0,41.0,250.0
7,QHGh0nU7,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Termez Surkhon,Olympic,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,xr5x4UUr,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Navbahor Namangan,Andijan,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6DguOkME,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Nasaf Qarshi,Metallurg Bekabad,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,EwcmMTjR,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Lok. Tashkent,Neftchi Fargona,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,YNwKG7El,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Din. Samarkand,Sogdiana,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tCJ69j7L,30/11/2024,07:00,UZBEKISTAN - SUPER LEAGUE,Bunyodkor,Pakhtakor,ROUND 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
