Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,ngWYYWMA,07/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Atletico La Paz,Tapatio,APERTURA ,2.25,3.52,2.93,1.34,3.1,10.2,1.05,1.21,3.74,1.77,2.04,2.79,1.36,5.05,1.12,1.6,2.27,,,,,9.5,9.5,12.0,26.0,7.5,5.5,8.5,17.0,10.0,7.0,9.5,21.0,17.0,13.0,19.0,36.0,201.0
2,88Ee0sip,07/08/2023,05:00,INDONESIA - LIGA 1,Persita,PSM Makassar,ROUND 7,2.53,3.25,2.61,1.41,2.69,1.03,8.4,1.31,3.04,2.05,1.75,3.48,1.24,6.7,1.06,1.77,2.0,,,,,8.5,7.5,11.0,23.0,7.5,5.5,8.5,17.0,11.0,9.0,11.0,26.0,21.0,17.0,26.0,56.0,67.0
3,2TEjBpen,07/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Cheongju,ROUND 25,3.0,3.25,2.15,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.73,2.0,3.1,1.35,1.68,2.15,11.0,8.5,11.0,21.0,10.0,6.5,9.0,17.0,17.0,11.0,13.0,26.0,34.0,23.0,34.0,41.0,201.0
4,naDaa16j,07/08/2023,09:00,INDONESIA - LIGA 1,Bali United,Persik Kediri,ROUND 7,1.58,4.25,4.72,1.25,3.56,1.02,13.9,1.13,4.75,1.49,2.38,2.33,1.59,3.74,1.21,1.56,2.36,,,,,15.0,15.0,26.0,67.0,8.0,7.5,13.0,34.0,7.5,6.5,12.0,31.0,11.0,9.5,15.0,41.0,67.0
5,CtFx7MBs,07/08/2023,11:00,ARMENIA - PREMIER LEAGUE,West Armenia,Alashkert,ROUND 2,7.17,4.45,1.4,1.33,3.04,10.2,1.03,1.22,3.65,1.78,2.01,2.79,1.36,5.15,1.11,1.93,1.83,,,,,10.0,5.5,5.5,7.5,15.0,7.5,6.5,9.0,36.0,19.0,15.0,21.0,126.0,71.0,67.0,91.0,201.0
6,YeNzbsW9,07/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,Lahti,Honka,-,4.2,3.5,1.85,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.95,1.8,3.55,1.28,1.88,1.98,9.0,6.5,8.5,15.0,11.0,6.5,8.5,15.0,21.0,15.0,17.0,29.0,41.0,34.0,41.0,51.0,301.0
7,IwYdqHSi,07/08/2023,12:00,NORTH MACEDONIA - 1. MFL,Rabotnicki,Shkupi,ROUND 1,5.65,3.76,1.57,1.42,2.66,1.04,8.6,1.33,2.93,2.08,1.73,3.56,1.23,7.2,1.06,2.05,1.73,,,,,8.0,5.0,6.0,10.0,12.0,6.5,7.0,12.0,23.0,15.0,15.0,26.0,76.0,61.0,67.0,81.0,101.0
8,f5OWbNG3,07/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,KTP,Inter Turku,-,3.3,3.5,2.15,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,1.7,2.05,3.1,1.35,1.7,2.1,12.0,8.5,11.0,19.0,11.0,6.5,9.0,17.0,17.0,12.0,13.0,23.0,34.0,26.0,29.0,41.0,151.0
9,YDpTlLLh,07/08/2023,12:30,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,Otelul,ROUND 4,1.53,4.0,5.75,1.44,2.63,1.06,10.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.25,1.57,1.5,2.5,1.13,5.9,8.5,12.0,29.0,67.0,5.5,8.0,19.0,51.0,6.0,9.0,23.0,51.0,10.0,15.0,34.0,81.0,201.0
10,Ol8x89Ln,07/08/2023,12:30,SLOVENIA - PRVA LIGA,Bravo,Celje,ROUND 3,2.84,3.34,2.45,1.43,2.7,1.03,8.4,1.31,3.04,2.06,1.76,3.48,1.24,6.7,1.06,1.79,1.98,,,,,7.5,6.5,9.0,17.0,8.0,5.5,7.5,14.0,13.0,9.0,11.0,21.0,26.0,21.0,26.0,56.0,201.0
11,EcPnadPR,07/08/2023,13:00,BELARUS - VYSSHAYA LIGA,BATE,FC Gomel,ROUND 16,1.51,4.4,6.35,1.33,3.0,1.04,11.0,1.25,3.95,1.82,1.98,2.9,1.4,5.3,1.16,1.98,1.82,,,,,,,,,,,,,,,,,,,,,
12,2aREMbUj,07/08/2023,13:00,POLAND - DIVISION 1,Arka Gdynia,Polonia Warszawa,ROUND 3,1.5,4.2,6.0,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.8,1.91,1.48,2.6,1.13,5.9,13.0,19.0,34.0,67.0,8.0,8.0,19.0,41.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,201.0
