Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,zuz7oQoT,16/07/2024,15:00,EGYPT - PREMIER LEAGUE,Modern Sport,Al Ahly,ROUND 17,6.7,3.55,1.52,1.4,2.55,1.04,7.7,1.35,2.7,2.05,1.62,3.35,1.23,7.1,1.05,2.1,1.57,,,,,8.0,5.2,6.1,10.25,14.5,7.2,8.5,14.0,40.0,21.0,21.0,35.0,175.0,90.0,80.0,120.0,900.0
2,8jmO5oXG,16/07/2024,17:00,DOMINICAN REPUBLIC - LDF,Cibao,Atlantico,WINNERS STAGE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C075UK6D,16/07/2024,17:00,VENEZUELA - LIGA FUTVE,Zamora,Inter de Barinas,CLAUSURA ,2.15,2.95,3.45,1.42,2.47,1.04,7.6,1.37,2.62,2.07,1.6,3.4,1.22,7.6,1.04,1.8,1.8,1.93,1.78,,,7.5,8.5,17.5,50.0,6.8,5.8,12.0,37.0,10.25,8.75,14.5,45.0,21.0,18.5,30.0,75.0,700.0
4,jLPcgGs2,16/07/2024,18:00,COLOMBIA - PRIMERA A,Envigado,La Equidad,CLAUSURA ,2.75,3.1,2.7,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.8,1.91,2.68,1.45,1.45,2.68,8.5,8.5,13.0,26.0,8.5,6.0,11.0,21.0,13.0,11.0,13.0,34.0,26.0,23.0,34.0,51.0,251.0
5,xxvAzCJI,16/07/2024,19:00,BRAZIL - SERIE A,Juventude,Atletico-MG,ROUND 17,4.2,3.25,1.95,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.65,4.0,1.25,8.0,1.08,1.95,1.8,4.0,1.23,1.91,1.99,8.0,6.5,8.5,17.0,10.0,6.0,9.0,17.0,21.0,15.0,17.0,34.0,41.0,41.0,41.0,51.0,401.0
6,xj1iwudM,16/07/2024,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Huachipato (Chi),Racing Montevideo (Uru),PLAY OFFS ,1.9,3.25,4.33,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,1.93,1.93,1.23,4.1,8.5,11.0,21.0,41.0,6.5,6.5,15.0,41.0,8.5,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
7,bHVnsbjJ,16/07/2024,19:45,VENEZUELA - LIGA FUTVE,Estudiantes Merida,Dep. Tachira,CLAUSURA ,3.15,2.9,2.32,1.47,2.32,1.05,6.95,1.42,2.47,2.2,1.53,3.65,1.19,8.6,1.02,1.85,1.75,,,,,7.0,6.6,10.75,25.0,7.9,5.7,9.25,21.0,15.5,11.5,15.5,35.0,45.0,32.0,45.0,90.0,800.0
8,I7RkexDk,16/07/2024,20:10,COLOMBIA - PRIMERA A,Aguilas,America De Cali,CLAUSURA ,2.4,3.1,3.1,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,2.38,1.55,1.38,3.0,8.0,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
9,8dngvfKg,16/07/2024,21:00,BRAZIL - SERIE A,Corinthians,Criciuma,ROUND 17,1.85,3.4,4.5,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.7,4.0,1.25,8.0,1.08,1.95,1.8,1.89,2.01,1.22,4.15,8.5,11.0,21.0,51.0,6.5,6.5,15.0,41.0,8.0,8.5,17.0,41.0,15.0,17.0,29.0,51.0,351.0
10,I9MQivBF,16/07/2024,21:30,SOUTH AMERICA - COPA SUDAMERICANA,Rosario Central (Arg),Internacional (Bra),PLAY OFFS ,2.6,3.0,3.0,1.57,2.25,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.2,1.62,2.6,1.48,1.43,2.75,6.0,7.0,12.0,29.0,6.5,6.0,12.0,29.0,11.0,11.0,19.0,41.0,26.0,26.0,41.0,81.0,201.0
