Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,Oxx3mZy9,20/08/2024,11:00,ROMANIA - LIGA 2,FC Bihor,FC Arges,ROUND 3,3.55,3.05,2.12,1.55,2.35,1.1,5.9,1.45,2.57,2.32,1.55,4.1,1.2,7.1,1.06,2.0,1.72,2.27,1.6,1.7,2.07,5.9,6.0,9.0,19.5,8.5,5.9,9.0,20.0,17.5,12.5,17.0,37.0,50.0,37.0,50.0,100.0,800.0
2,Qw29gOQ6,20/08/2024,11:30,UZBEKISTAN - SUPER LEAGUE,Neftchi Fargona,Sogdiana,ROUND 14,1.95,3.0,4.05,1.45,2.37,1.05,7.2,1.4,2.52,2.15,1.55,3.6,1.2,8.2,1.03,1.9,1.72,1.91,1.8,,,7.2,9.25,21.0,70.0,6.1,5.9,14.0,45.0,8.75,8.5,16.5,55.0,17.5,17.0,32.0,90.0,900.0
3,ngjIi2eJ,20/08/2024,12:00,UZBEKISTAN - SUPER LEAGUE,Olympic,Nasaf Qarshi,ROUND 14,4.25,2.95,1.95,1.52,2.22,1.07,6.35,1.5,2.27,2.4,1.44,4.1,1.16,9.6,1.01,2.07,1.6,,,1.8,1.9,6.3,5.3,8.0,17.0,8.75,6.0,9.0,19.0,22.0,15.5,19.5,40.0,80.0,55.0,75.0,120.0,
4,UaxEeEpe,20/08/2024,12:30,FINLAND - YKKONEN,JJK Jyvaskyla,KuPS Akatemia,-,1.38,4.33,5.75,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,1.62,2.2,1.4,2.85,1.12,6.4,19.0,23.0,41.0,67.0,10.0,9.5,21.0,41.0,8.5,9.0,15.0,41.0,11.0,11.0,21.0,41.0,151.0
5,8pClt7Lk,20/08/2024,13:00,POLAND - DIVISION 1,Kotwica Kolobrzeg,Polonia Warszawa,ROUND 6,2.25,3.1,2.88,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,3.25,1.33,6.5,1.11,1.73,2.0,2.35,1.58,1.4,2.85,10.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,34.0,23.0,19.0,29.0,41.0,201.0
6,zHe8RiFk,20/08/2024,13:00,ROMANIA - LIGA 2,Steaua Bucuresti,CSM Resita,ROUND 3,1.78,3.55,4.2,1.44,2.6,1.07,7.0,1.33,3.05,2.0,1.75,3.3,1.29,5.8,1.1,1.88,1.82,1.75,2.0,,,7.0,10.75,22.0,65.0,6.6,6.8,14.0,45.0,8.0,8.25,16.5,50.0,14.0,14.5,29.0,80.0,700.0
7,S4iX14nC,20/08/2024,14:00,NORWAY - OBOS-LIGAEN,Asane,Aalesund,ROUND 19,3.1,3.9,1.91,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.5,2.5,3.1,1.35,1.85,2.0,19.0,12.0,12.0,19.0,15.0,8.5,9.0,13.0,21.0,12.0,12.0,19.0,34.0,23.0,23.0,34.0,101.0
8,6oHnp7ET,20/08/2024,15:00,PERU - LIGA 1,Cajamarca,AD Tarma,CLAUSURA ,2.8,3.2,2.4,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.83,1.83,2.75,1.43,1.55,2.38,9.0,8.0,12.0,23.0,8.5,6.0,10.0,21.0,13.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
9,d6hq2lr9,20/08/2024,15:30,POLAND - DIVISION 1,Chrobry Glogow,S. Rzeszow,ROUND 6,2.55,3.4,2.45,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,2.6,1.48,1.53,2.43,13.0,10.0,13.0,26.0,11.0,7.0,10.0,19.0,15.0,10.0,12.0,26.0,26.0,21.0,26.0,41.0,151.0
10,tbAdvoj2,20/08/2024,15:30,POLAND - DIVISION 1,Warta Poznan,LKS Lodz,ROUND 6,2.3,3.25,2.7,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,2.35,1.58,1.43,2.75,11.0,9.5,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,26.0,41.0,201.0
