Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
09/06/2023,15:30,ARGENTINA - LIGA PROFESIONAL,Barracas Central,Rosario Central,ROUND 20,2.75,3.1,2.45,2.35,1.57,2.0,1.75
09/06/2023,20:00,ARGENTINA - LIGA PROFESIONAL,Independiente,Sarmiento Junin,ROUND 20,2.15,3.2,3.4,2.4,1.53,2.1,1.67
09/06/2023,19:00,ARGENTINA - PRIMERA NACIONAL,Nueva Chicago,All Boys,ROUND 20,1.8,3.3,5.1,2.79,1.45,2.45,1.52
09/06/2023,21:30,ARGENTINA - PRIMERA NACIONAL,San Martin S.J.,Alvarado,ROUND 20,1.62,3.6,4.75,2.5,1.5,2.63,1.44
09/06/2023,21:30,BRAZIL - SERIE B,ABC,Chapecoense-SC,ROUND 12,2.32,3.22,3.2,2.3,1.63,1.95,1.81
09/06/2023,13:00,BULGARIA - PARVA LIGA,Beroe,Svoge,RELEGATION,1.43,4.5,7.5,1.9,1.92,2.11,1.69
09/06/2023,20:30,CANADA - CANADIAN PREMIER LEAGUE,York Utd,Atl. Ottawa,-,2.38,3.22,2.88,2.11,1.71,1.81,1.95
09/06/2023,06:30,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Zhejiang Professional,ROUND 12,3.1,3.4,2.25,2.0,1.85,1.75,2.0
09/06/2023,08:35,CHINA - SUPER LEAGUE,Dalian Pro,Beijing Guoan,ROUND 12,4.5,4.0,1.73,1.82,2.02,1.8,1.95
09/06/2023,08:35,CHINA - SUPER LEAGUE,Meizhou Hakka,Cangzhou,ROUND 12,2.25,3.4,3.1,2.0,1.85,1.75,2.0
09/06/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Nantong Zhiyun,ROUND 12,1.22,6.0,11.0,1.7,2.1,2.38,1.53
09/06/2023,08:35,CHINA - SUPER LEAGUE,Wuhan Three Towns,Shandong Taishan,ROUND 12,2.6,3.6,2.5,1.8,2.0,1.67,2.1
09/06/2023,14:00,DENMARK - SUPERLIGA,Viborg,Midtjylland,CONFERENCE LEAGUE ,2.4,3.5,2.8,1.7,2.1,1.57,2.25
09/06/2023,21:00,ECUADOR - LIGA PRO,U. Catolica,Mushuc Runa,FIRST STAGE ,1.53,4.0,5.25,1.73,2.08,1.83,1.83
09/06/2023,14:00,EGYPT - PREMIER LEAGUE,Al Ahly,Zamalek,ROUND 31,,,,,,,
09/06/2023,14:00,EGYPT - PREMIER LEAGUE,Al Ittihad,National Bank Egypt,ROUND 31,2.94,3.15,2.5,2.38,1.58,1.96,1.8
09/06/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,Dundalk,ROUND 20,2.6,3.3,2.45,2.05,1.75,1.8,1.95
09/06/2023,15:45,IRELAND - PREMIER DIVISION,Derry City,Bohemians,ROUND 20,1.7,3.4,5.0,2.1,1.7,2.0,1.75
09/06/2023,15:45,IRELAND - PREMIER DIVISION,Drogheda,St. Patricks,ROUND 20,3.8,3.3,1.91,1.82,2.02,1.7,2.05
09/06/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Sligo Rovers,ROUND 20,2.1,3.2,3.2,2.3,1.6,2.0,1.75
09/06/2023,16:00,IRELAND - PREMIER DIVISION,Shamrock Rovers,UC Dublin,ROUND 20,1.06,11.0,29.0,1.3,3.5,2.5,1.5
09/06/2023,18:00,PARAGUAY - PRIMERA DIVISION,Guairena FC,Sp. Luqueno,APERTURA ,2.8,3.0,2.38,2.08,1.73,1.8,1.91
09/06/2023,20:30,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,Ameliano,APERTURA ,1.29,5.0,7.5,1.73,2.08,2.2,1.62
09/06/2023,21:00,PERU - LIGA 1,Cienciano,Sport Boys,APERTURA ,1.33,4.75,7.0,1.57,2.35,1.83,1.83
09/06/2023,14:00,SWEDEN - ALLSVENSKAN,Hammarby,Brommapojkarna,ROUND 12,1.65,4.33,4.5,1.67,2.15,1.75,2.0
09/06/2023,20:00,USA - USL CHAMPIONSHIP,Loudoun,FC Tulsa,-,2.34,3.48,2.69,1.72,2.1,1.56,2.36
09/06/2023,23:00,USA - USL CHAMPIONSHIP,San Diego Loyal,Sacramento Republic,-,2.34,3.44,2.77,1.78,2.01,1.6,2.27
