Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,6uj1vXl5,07/11/2023,07:30,ARMENIA - PREMIER LEAGUE,Van,West Armenia,ROUND 16,2.15,3.35,2.9,1.32,3.1,1.01,11.7,1.2,3.88,1.65,1.98,2.67,1.39,4.85,1.13,1.57,2.34,,,,,12.0,9.75,14.0,29.0,7.8,5.9,8.75,18.0,9.75,7.5,10.0,21.0,17.5,13.5,18.5,35.0,200.0
2,MBQnUOk1,07/11/2023,08:00,INDIA - I-LEAGUE,Sreenidi Deccan,Aizawl,ROUND 3,1.38,4.55,7.0,1.25,3.6,1.01,14.5,1.14,4.7,1.5,2.25,2.18,1.53,3.4,1.22,1.7,1.91,,,,,15.0,21.0,50.0,175.0,8.5,9.25,22.0,75.0,7.6,8.25,17.5,60.0,9.75,10.5,22.0,70.0,450.0
3,C0VVJwAr,07/11/2023,10:00,BULGARIA - PARVA LIGA,Cherno More,Arda,ROUND 16,1.57,3.6,6.5,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.2,1.62,1.63,2.35,1.15,5.5,8.0,13.0,29.0,67.0,5.5,7.0,19.0,51.0,6.5,9.0,21.0,51.0,11.0,15.0,34.0,81.0,351.0
4,UyQjTr57,07/11/2023,10:30,INDIA - I-LEAGUE,Mohammedan,TRAU FC,ROUND 3,1.65,3.9,4.45,1.3,3.34,1.01,12.5,1.19,3.7,1.57,2.1,2.37,1.45,3.75,1.19,1.6,2.07,,,,,13.5,15.0,28.0,75.0,8.75,7.8,14.5,40.0,9.0,8.0,14.0,40.0,13.5,12.0,21.0,55.0,350.0
5,ADdhtgKh,07/11/2023,11:00,ARMENIA - PREMIER LEAGUE,Noah,Ararat-Armenia,ROUND 16,3.1,3.35,2.05,1.33,3.04,10.5,1.04,1.21,3.74,1.7,1.93,2.78,1.36,5.05,1.12,1.61,2.25,,,,,11.5,7.4,9.25,16.0,9.75,5.9,7.3,13.0,15.0,9.25,10.25,18.5,32.0,19.5,22.0,37.0,200.0
6,bLmEZm0S,07/11/2023,11:30,INDIA - ISL,Punjab,Hyderabad,-,3.5,3.6,1.8,1.36,3.0,1.05,11.0,1.29,3.5,1.88,1.93,3.25,1.33,6.5,1.11,1.8,1.91,3.7,1.26,1.98,1.83,11.0,7.5,9.0,15.0,11.0,7.5,8.5,15.0,19.0,13.0,15.0,26.0,41.0,29.0,34.0,51.0,251.0
7,tIv0PanL,07/11/2023,12:30,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Levski Sofia,ROUND 16,3.75,3.1,2.15,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.2,1.62,3.7,1.26,1.73,2.08,6.5,5.5,9.0,19.0,8.5,6.0,10.0,21.0,17.0,15.0,19.0,41.0,41.0,41.0,51.0,81.0,301.0
8,lSibyEka,07/11/2023,13:30,SENEGAL - LIGUE 1,Ouakam,Teungueth,ROUND 2,2.9,2.75,2.5,1.65,2.02,1.11,5.2,1.6,2.07,2.88,1.34,5.85,1.08,10.0,1.02,2.28,1.6,,,,,5.4,4.8,8.5,22.0,5.4,5.0,9.0,23.0,10.5,9.75,16.0,40.0,28.0,26.0,45.0,100.0,
9,AqyO78TR,07/11/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Dep. Riestra,Quilmes,PROMOTION ,1.83,3.25,4.33,1.5,2.5,1.08,7.5,1.4,2.75,2.25,1.62,4.33,1.2,10.0,1.06,2.1,1.67,1.88,1.98,1.22,4.15,7.5,10.0,21.0,51.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,201.0
10,fPhEphMn,07/11/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Independiente Petrolero,ROUND 25,1.3,5.25,9.0,1.29,3.5,1.03,15.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.91,1.8,1.3,3.45,,,15.0,23.0,41.0,101.0,8.5,10.0,23.0,51.0,7.0,9.5,21.0,51.0,8.5,11.0,26.0,51.0,301.0
