Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,8vq3GEog,24/08/2023,00:00,MEXICO - LIGA MX,Atl. San Luis,Club Leon,APERTURA ,3.2,3.5,2.2,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,3.1,1.35,1.68,2.15,15.0,10.0,12.0,21.0,13.0,7.0,9.0,17.0,17.0,11.0,12.0,21.0,34.0,23.0,26.0,41.0,126.0
2,0zNmnscR,24/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Alebrijes Oaxaca,APERTURA ,1.61,4.05,4.98,1.32,3.2,1.01,11.4,1.19,3.92,1.72,2.12,2.64,1.4,4.8,1.13,1.71,2.08,,,,,10.0,13.0,23.0,61.0,6.0,6.0,13.0,34.0,6.5,6.5,11.0,36.0,10.0,10.0,18.0,51.0,201.0
3,neqVoAlj,24/08/2023,11:30,NORTH MACEDONIA - 1. MFL,Brera Strumica,Tikves,ROUND 4,1.93,3.32,3.84,1.46,2.53,1.04,8.2,1.36,2.79,2.21,1.65,3.9,1.2,7.7,1.05,1.93,1.83,,,,,7.0,9.0,15.0,46.0,6.0,5.5,12.0,31.0,8.0,7.5,13.0,46.0,15.0,15.0,26.0,76.0,101.0
4,8K0LIImF,24/08/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taee,Al Wehda,ROUND 3,2.15,3.2,3.2,1.4,2.75,1.06,8.0,1.3,3.4,2.0,1.8,3.4,1.3,6.5,1.1,1.73,2.0,2.2,1.65,1.35,3.1,9.5,10.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,41.0,201.0
5,pfklAUu5,24/08/2023,12:30,FINLAND - YKKONEN,TPS,HIFK,-,1.44,4.33,7.5,1.3,3.4,1.04,13.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.8,1.91,1.45,2.68,1.11,6.6,13.0,19.0,41.0,81.0,8.0,8.0,21.0,51.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,201.0
6,zVp0Bztk,24/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Al Ittihad,ROUND 3,10.0,6.5,1.18,1.29,3.5,1.01,15.0,1.17,4.5,1.57,2.35,2.38,1.53,4.0,1.22,2.38,1.53,,,4.4,1.2,15.0,7.5,6.0,7.0,26.0,13.0,10.0,12.0,51.0,34.0,29.0,34.0,151.0,81.0,67.0,101.0,201.0
7,MN4PHx3L,24/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Raed,Al Hilal,ROUND 3,10.0,7.0,1.18,1.25,3.75,1.02,12.0,1.14,5.0,1.48,2.6,2.1,1.67,3.5,1.29,2.2,1.62,,,4.4,1.2,19.0,8.5,6.5,7.0,26.0,15.0,10.0,11.0,51.0,29.0,29.0,29.0,151.0,67.0,67.0,81.0,201.0
8,Gp4TGdIR,24/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Khaleej,ROUND 3,1.57,4.0,5.0,1.33,3.25,1.04,9.0,1.22,4.0,1.73,2.08,2.75,1.4,4.5,1.17,1.8,1.91,1.6,2.3,1.18,4.65,13.0,15.0,29.0,51.0,8.0,8.0,17.0,41.0,8.0,8.5,17.0,41.0,12.0,13.0,23.0,51.0,151.0
9,IgjeCGQr,24/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Akhdoud,ROUND 3,1.2,7.0,10.0,1.29,3.5,1.02,11.0,1.17,4.5,1.57,2.35,2.38,1.53,4.0,1.22,2.38,1.53,1.2,4.4,,,15.0,23.0,51.0,151.0,7.5,15.0,29.0,81.0,6.0,10.0,34.0,67.0,7.0,12.0,34.0,101.0,201.0
10,UyhEgjbQ,24/08/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Independiente Petrolero,ROUND 25,1.4,4.0,8.0,1.33,3.25,1.04,12.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.83,1.83,,,,,12.0,21.0,41.0,81.0,7.5,8.0,23.0,51.0,7.0,8.5,17.0,51.0,9.5,12.0,26.0,51.0,251.0
