Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
11/06/2023,15:45,ITALY - SERIE A,Spezia,Verona,ADDITIONAL MATCH ,2.9,3.0,2.63,2.4,1.53,2.0,1.75
11/06/2023,13:00,NETHERLANDS - EREDIVISIE,FC Emmen,Almere City,RELEGATION ,1.8,4.0,4.2,1.73,2.08,1.7,2.05
11/06/2023,09:30,NETHERLANDS - EREDIVISIE,Twente,Sparta Rotterdam,CONFERENCE LEAGUE ,1.4,4.75,7.5,1.62,2.25,1.8,1.95
11/06/2023,12:00,AUSTRIA - BUNDESLIGA,Austria Vienna,A. Lustenau,CONFERENCE LEAGUE ,1.55,4.75,5.25,1.57,2.35,1.67,2.1
11/06/2023,20:30,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Libertad Gran Mamore,ROUND 14,1.44,4.33,8.0,1.7,2.1,1.8,1.91
11/06/2023,11:00,BRAZIL - SERIE A,America MG,Athletico-PR,ROUND 10,2.55,3.3,2.8,2.05,1.75,1.8,1.95
11/06/2023,16:00,BRAZIL - SERIE A,Internacional,Vasco,ROUND 10,1.91,3.6,4.0,2.1,1.7,1.95,1.8
11/06/2023,16:00,BRAZIL - SERIE A,Sao Paulo,Palmeiras,ROUND 10,3.1,3.4,2.3,2.08,1.73,1.8,1.95
11/06/2023,18:30,BRAZIL - SERIE A,Flamengo RJ,Gremio,ROUND 10,1.6,4.2,5.25,1.73,2.08,1.8,1.95
11/06/2023,18:30,BRAZIL - SERIE A,Goias,Fluminense,ROUND 10,3.6,3.4,2.05,2.25,1.62,1.95,1.8
11/06/2023,11:00,BRAZIL - SERIE B,Londrina,Mirassol,ROUND 12,3.05,3.16,2.44,2.41,1.58,2.0,1.77
11/06/2023,11:00,BRAZIL - SERIE B,Ponte Preta,Sport Recife,ROUND 12,3.12,3.13,2.42,2.51,1.54,2.06,1.73
11/06/2023,15:30,BRAZIL - SERIE B,Avai,Botafogo SP,ROUND 12,2.12,3.25,3.64,2.41,1.58,2.05,1.73
11/06/2023,18:00,BRAZIL - SERIE B,Vitoria,Criciuma,ROUND 12,1.98,3.3,4.07,2.46,1.56,2.12,1.69
11/06/2023,18:15,BRAZIL - SERIE B,Juventude,Tombense,ROUND 12,1.66,3.74,5.42,2.19,1.69,2.12,1.69
11/06/2023,13:00,BULGARIA - PARVA LIGA,Levski Sofia,Arda,CONFERENCE LEAGUE ,1.57,3.8,6.5,2.0,1.85,2.0,1.73
11/06/2023,18:00,CANADA - CANADIAN PREMIER LEAGUE,Cavalry,Vancouver FC,-,1.59,3.82,5.31,1.93,1.85,1.91,1.85
11/06/2023,20:30,COLOMBIA - PRIMERA A,Chico,Millonarios,APERTURA ,2.7,3.0,2.88,2.6,1.48,2.1,1.67
11/06/2023,15:00,ECUADOR - LIGA PRO,Delfin,Aucas,FIRST STAGE ,2.25,3.3,3.3,1.93,1.88,1.67,2.1
11/06/2023,17:30,ECUADOR - LIGA PRO,Guayaquil City,Barcelona SC,FIRST STAGE ,5.5,3.8,1.62,1.82,1.98,1.83,1.83
11/06/2023,20:00,ECUADOR - LIGA PRO,Orense,Ind. del Valle,FIRST STAGE ,4.0,3.5,1.95,1.98,1.82,1.8,1.91
11/06/2023,08:30,ESTONIA - MEISTRILIIGA,Harju JK Laagri,Paide,ROUND 17,6.98,4.5,1.4,1.7,2.13,1.86,1.9
11/06/2023,11:00,ESTONIA - MEISTRILIIGA,Levadia,Tallinna Kalev,ROUND 17,1.24,5.6,10.5,1.63,2.25,2.09,1.71
11/06/2023,13:00,ESTONIA - MEISTRILIIGA,Narva,Tammeka,ROUND 17,2.1,3.18,3.47,2.13,1.7,1.84,1.92
11/06/2023,10:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,Inter Turku,-,2.63,3.2,2.45,1.9,1.95,1.7,2.05
11/06/2023,10:00,FINLAND - VEIKKAUSLIIGA,Ilves,Honka,-,2.8,2.9,2.55,2.3,1.6,1.95,1.8
11/06/2023,12:30,FINLAND - VEIKKAUSLIIGA,HJK,KTP,-,1.3,5.0,7.5,1.65,2.2,2.05,1.7
