Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,rkZ4RBM8,10/01/2025,05:30,INDONESIA - LIGA 1,Malut United,Madura United,ROUND 18,1.62,3.55,5.2,1.4,2.52,,,1.29,3.0,1.85,1.75,2.95,1.29,,,1.85,1.75,,,,,9.5,13.0,30.0,100.0,6.4,7.0,16.5,55.0,7.3,8.0,17.0,60.0,12.0,13.5,28.0,80.0,700.0
2,G2XCPkiL,10/01/2025,05:30,INDONESIA - LIGA 1,Barito Putera,Persija Jakarta,ROUND 18,3.5,3.2,2.05,1.4,2.5,,,1.28,3.0,1.83,1.78,2.9,1.31,,,1.65,1.98,,,,,9.5,7.9,10.5,20.0,10.0,6.2,8.25,16.0,18.5,11.75,13.0,24.0,50.0,32.0,37.0,60.0,450.0
3,W2HWf5K8,10/01/2025,05:35,AUSTRALIA - A-LEAGUE,Melbourne Victory,Western United,ROUND 13,1.73,4.0,4.33,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.57,2.25,1.7,2.1,1.23,4.1,17.0,17.0,26.0,41.0,10.0,8.0,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
4,QDdRxJ0T,10/01/2025,07:00,INDIA - I-LEAGUE,Dempo,Inter Kashi,ROUND 7,4.1,3.5,1.78,1.39,2.57,,,1.22,3.45,1.65,1.98,2.52,1.4,,,1.6,2.07,,,1.95,1.75,12.0,8.0,9.25,15.0,14.5,7.0,8.0,13.5,27.0,13.5,13.0,22.0,70.0,35.0,35.0,50.0,300.0
5,x02ga39l,10/01/2025,09:00,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Prachuap,ROUND 16,3.05,3.4,2.18,1.34,3.0,1.04,8.25,1.22,3.85,1.65,2.1,2.55,1.45,4.3,1.18,1.55,2.32,,,1.65,2.15,8.25,9.25,12.0,22.0,12.5,6.8,8.75,16.0,19.0,10.5,11.5,22.0,40.0,23.0,25.0,40.0,250.0
6,Gf5d9mTO,10/01/2025,10:15,QATAR - QSL,Umm-Salal,Al Rayyan,ROUND 12,3.85,4.05,1.75,1.29,3.25,1.03,9.25,1.18,4.35,1.55,2.32,2.3,1.55,3.8,1.23,1.57,2.27,3.55,1.22,2.05,1.72,9.25,9.75,10.0,14.5,15.0,8.25,8.25,12.5,24.0,13.0,13.5,19.5,55.0,30.0,30.0,45.0,250.0
7,pbwbXdOj,10/01/2025,10:30,INDIA - I-LEAGUE,Lajong,Real Kashmir,ROUND 7,2.25,3.2,3.0,1.39,2.57,,,1.27,3.1,1.82,1.8,2.87,1.31,,,1.65,2.0,,,,,10.0,9.75,16.0,37.0,8.25,6.3,10.5,25.0,11.5,8.75,13.0,32.0,23.0,17.5,26.0,55.0,400.0
8,zRWR0gLh,10/01/2025,11:00,INDIA - ISL,North East Utd,Punjab,ROUND 16,1.91,3.5,3.7,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,1.98,1.83,1.3,3.45,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,13.0,29.0,17.0,15.0,23.0,41.0,151.0
9,r5cgJIy8,10/01/2025,11:00,EGYPT - PREMIER LEAGUE,Petrojet,Enppi,ROUND 8,2.47,2.65,3.4,1.62,2.15,1.15,4.75,1.6,2.18,2.77,1.39,5.0,1.13,8.5,1.04,2.15,1.62,2.4,1.53,1.31,2.9,4.75,6.9,16.0,50.0,5.7,5.4,12.5,40.0,10.5,10.0,18.5,60.0,28.0,27.0,50.0,120.0,101.0
10,p8G7kTjR,10/01/2025,11:40,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Kholood,ROUND 14,1.75,3.4,4.75,1.44,2.63,1.06,8.0,1.3,3.4,2.0,1.8,3.4,1.3,6.5,1.1,1.91,1.8,1.75,2.05,1.2,4.4,9.0,12.0,23.0,51.0,6.5,6.5,17.0,41.0,8.0,9.0,17.0,41.0,13.0,15.0,29.0,51.0,900.0
11,4IWt4S5K,10/01/2025,12:05,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Raed,Damac,ROUND 14,3.0,3.3,2.35,1.4,2.75,1.05,8.5,1.25,3.75,1.85,1.95,3.0,1.36,5.5,1.13,1.73,2.0,3.0,1.38,1.63,2.25,11.0,9.0,12.0,21.0,10.0,6.5,9.5,19.0,15.0,12.0,13.0,26.0,29.0,23.0,29.0,41.0,151.0
12,0ph35vSj,10/01/2025,12:30,QATAR - QSL,Al Arabi,Al-Shahaniya,ROUND 12,1.91,3.65,3.55,1.3,3.25,1.03,9.0,1.18,4.35,1.55,2.3,2.3,1.55,3.75,1.23,1.5,2.42,1.88,1.87,1.26,3.2,9.0,15.5,24.0,55.0,10.0,7.5,12.0,27.0,11.25,8.25,11.5,26.0,18.0,13.5,19.0,37.0,200.0
13,fThgrZ2l,10/01/2025,13:00,BAHRAIN - PREMIER LEAGUE,Al Khalidiyah,Bahrain SC,ROUND 8,1.32,4.35,10.75,1.34,3.0,1.05,8.0,1.22,3.85,1.65,2.1,2.57,1.44,4.35,1.18,1.98,1.75,1.47,2.55,,,8.0,28.0,90.0,400.0,6.7,9.0,32.0,150.0,6.2,8.25,20.0,90.0,8.25,11.0,27.0,90.0,700.0
14,00Em2ffK,10/01/2025,13:00,BAHRAIN - PREMIER LEAGUE,Al Riffa,Al-Muharraq,ROUND 8,2.47,3.25,2.75,1.4,2.7,1.07,6.8,1.34,3.0,2.0,1.72,3.4,1.28,5.9,1.1,1.78,1.93,2.4,1.53,1.45,2.65,6.8,8.5,13.5,32.0,7.7,6.2,10.0,23.0,11.75,9.5,14.0,32.0,26.0,21.0,32.0,70.0,600.0
15,UROpN0xq,10/01/2025,14:00,EGYPT - PREMIER LEAGUE,El Gaish,Ceramica Cleopatra,ROUND 8,4.4,2.95,1.95,1.5,2.42,1.11,5.6,1.45,2.55,2.32,1.55,4.05,1.2,7.0,1.07,2.0,1.72,3.7,1.21,1.82,1.93,5.6,5.8,8.5,17.5,9.5,5.8,8.5,17.5,23.0,14.5,16.5,35.0,80.0,55.0,60.0,100.0,900.0
16,lMW4V7ae,10/01/2025,14:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Shabab,ROUND 14,1.75,3.6,4.5,1.36,3.0,1.02,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.0,1.14,1.73,2.0,1.78,2.03,1.22,4.15,12.0,15.0,23.0,41.0,8.0,7.0,15.0,34.0,9.0,8.5,15.0,41.0,15.0,15.0,23.0,41.0,151.0
17,xjFkcCCm,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Excelsior,Dordrecht,ROUND 21,1.5,4.33,5.75,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.7,2.0,1.73,3.4,1.3,1.53,2.38,1.53,2.43,1.15,5.5,21.0,23.0,34.0,51.0,11.0,9.0,17.0,41.0,10.0,8.5,13.0,34.0,13.0,11.0,19.0,34.0,101.0
18,pn3uWyeC,10/01/2025,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Lokeren-Temse,Eupen,ROUND 17,2.63,3.25,2.55,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.67,2.1,2.6,1.48,1.53,2.43,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0
19,OWEWXcQa,10/01/2025,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Francs Borains,ROUND 17,1.9,3.4,3.75,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,1.87,1.87,1.26,3.7,13.0,15.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,12.0,34.0,17.0,15.0,21.0,41.0,151.0
20,pxtWixh5,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,FC Volendam,ROUND 21,3.4,3.9,1.95,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.53,4.0,1.22,1.53,2.38,3.3,1.33,1.88,1.98,17.0,11.0,12.0,19.0,15.0,8.0,9.0,13.0,21.0,12.0,13.0,21.0,41.0,23.0,26.0,34.0,126.0
21,rmIcejs0,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Den Bosch,Jong Utrecht,ROUND 21,1.57,4.1,5.5,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.67,2.1,1.58,2.35,1.16,5.25,15.0,19.0,29.0,51.0,9.0,8.0,17.0,41.0,9.0,8.5,13.0,41.0,12.0,12.0,21.0,41.0,151.0
22,YZkqAjno,10/01/2025,16:00,NETHERLANDS - EREDIVISIE,Sittard,G.A. Eagles,ROUND 18,2.7,3.3,2.63,1.4,2.75,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.67,2.1,2.6,1.48,1.5,2.5,11.0,9.5,13.0,26.0,9.5,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0
23,QZPUgbNh,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Oss,Maastricht,ROUND 21,2.75,3.5,2.45,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,2.68,1.45,1.55,2.38,15.0,12.0,15.0,23.0,13.0,7.0,10.0,17.0,17.0,11.0,11.0,21.0,29.0,19.0,23.0,34.0,101.0
24,CS9Ei8tP,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Roda,Cambuur,ROUND 21,2.45,3.6,2.63,1.33,3.25,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.53,2.38,2.38,1.55,1.48,2.6,15.0,12.0,15.0,29.0,11.0,7.0,10.0,19.0,13.0,10.0,12.0,23.0,23.0,17.0,23.0,34.0,126.0
25,I5YI2YlQ,10/01/2025,16:00,NETHERLANDS - EERSTE DIVISIE,De Graafschap,Den Haag,ROUND 21,2.2,3.9,2.8,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,2.2,1.62,3.75,1.25,1.44,2.63,2.2,1.65,1.45,2.68,19.0,15.0,17.0,29.0,12.0,8.0,11.0,19.0,13.0,9.5,12.0,21.0,21.0,15.0,19.0,34.0,101.0
26,EuGOEBW7,10/01/2025,16:30,ITALY - SERIE C,Lucchese,Spal,GROUP B ,2.62,2.62,2.95,1.4,2.7,1.09,6.0,1.36,2.87,2.1,1.65,3.4,1.27,6.0,1.09,1.7,2.05,2.57,1.47,1.38,2.9,6.0,8.75,16.5,45.0,8.0,5.2,10.0,27.0,14.0,9.25,11.5,32.0,35.0,23.0,29.0,55.0,400.0
27,0dM1M2YG,10/01/2025,16:30,ITALY - SERIE C,Perugia,Carpi,GROUP B ,1.72,3.45,4.4,1.4,2.75,1.07,7.1,1.32,3.1,1.95,1.75,3.3,1.29,5.7,1.1,1.9,1.82,1.7,2.07,1.17,4.1,7.1,11.75,25.0,75.0,6.4,6.9,14.5,45.0,7.6,8.25,16.5,50.0,13.5,14.5,29.0,80.0,700.0
28,lvE5D8G5,10/01/2025,16:30,SPAIN - PRIMERA RFEF,Sevilla FC B,Merida AD,GROUP 2 ,2.5,3.0,2.6,1.44,2.63,1.05,7.5,1.33,3.0,2.15,1.67,3.75,1.22,7.0,1.05,1.83,1.83,2.5,1.5,1.45,2.68,8.5,8.5,13.0,26.0,8.5,6.0,11.0,23.0,13.0,11.0,15.0,34.0,26.0,21.0,34.0,51.0,151.0
29,WIyFQepn,10/01/2025,16:30,SPAIN - PRIMERA RFEF,Arenteiro,Andorra,GROUP 1 ,2.4,2.75,2.9,1.57,2.25,1.08,6.0,1.47,2.5,2.63,1.44,4.5,1.13,9.0,1.03,2.2,1.62,2.43,1.53,1.38,3.0,6.0,7.5,13.0,29.0,6.5,6.0,13.0,29.0,11.0,11.0,19.0,41.0,23.0,26.0,41.0,67.0,101.0
30,prcq5rZb,10/01/2025,16:30,SPAIN - LALIGA2,Granada CF,Burgos CF,ROUND 22,1.83,3.4,4.33,1.5,2.5,1.05,9.0,1.37,2.75,2.25,1.62,4.33,1.17,10.0,1.04,2.1,1.67,1.83,2.03,1.21,4.25,8.0,10.0,21.0,51.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,351.0
