Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bHDjT7ql,03/02/2024,00:00,MEXICO - LIGA MX,Puebla,Mazatlan FC,CLAUSURA ,1.91,3.8,3.75,1.29,3.5,1.03,15.0,1.17,5.0,1.6,2.3,2.5,1.5,4.33,1.2,1.53,2.38,1.98,1.88,1.3,3.45,15.0,15.0,21.0,41.0,10.0,7.5,13.0,26.0,11.0,8.5,12.0,29.0,17.0,13.0,21.0,34.0,126.0
2,6m4BOqbJ,04/02/2024,00:10,MEXICO - LIGA MX,Club America,Monterrey,CLAUSURA ,1.8,3.8,4.5,1.4,2.75,1.06,9.5,1.3,3.4,2.05,1.8,3.5,1.29,7.0,1.1,1.95,1.8,1.75,2.05,1.22,4.15,9.5,11.0,21.0,51.0,6.5,7.0,15.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
3,t6zindO6,03/02/2024,03:00,AUSTRALIA - A-LEAGUE,Western United,Sydney FC,ROUND 15,3.8,4.2,1.83,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,2.2,1.67,3.75,1.29,1.44,2.63,3.7,1.26,2.05,1.75,21.0,12.0,12.0,17.0,19.0,8.5,9.0,12.0,26.0,13.0,12.0,17.0,41.0,26.0,26.0,34.0,101.0
4,vkKN8Dlp,04/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Sham Shui Po,Tai Po,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,xzwR7X3j,04/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Resources Capital,Eastern AA,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,zTZfoGwD,03/02/2024,04:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Melbourne Victory,ROUND 15,3.8,3.75,1.91,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.57,4.33,1.22,1.53,2.38,3.55,1.28,1.95,1.95,15.0,10.0,11.0,17.0,15.0,7.5,8.5,13.0,21.0,13.0,12.0,21.0,41.0,26.0,29.0,34.0,126.0
7,fHriEZQM,03/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Hong Kong Rangers,Southern District,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,j1oPCjhr,04/02/2024,05:00,INDONESIA - LIGA 1,Persib Bandung,Persis Solo,ROUND 24,1.55,3.9,5.3,1.31,3.15,1.01,11.5,1.21,3.55,1.62,2.02,2.47,1.42,3.75,1.19,1.7,1.93,,,,,12.5,15.5,32.0,100.0,7.9,7.8,17.0,50.0,8.0,7.9,15.5,50.0,11.75,11.5,22.0,65.0,450.0
9,xf5lJhFE,04/02/2024,05:00,INDONESIA - LIGA 1,PSM Makassar,Persita,ROUND 24,1.57,3.75,5.4,1.34,2.99,1.01,10.0,1.25,3.25,1.78,1.93,2.72,1.35,5.25,1.11,1.78,1.83,1.75,1.98,,,10.75,15.0,35.0,110.0,6.9,7.4,17.0,55.0,7.4,8.0,16.0,55.0,11.5,12.5,25.0,75.0,600.0
10,l8Hs9JVJ,04/02/2024,05:00,AUSTRALIA - A-LEAGUE,Macarthur FC,WS Wanderers,ROUND 15,3.0,3.8,2.2,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,2.2,1.67,3.75,1.29,1.44,2.63,2.85,1.4,1.68,2.15,19.0,13.0,15.0,21.0,15.0,8.0,9.5,15.0,19.0,11.0,11.0,19.0,34.0,21.0,23.0,29.0,81.0
