Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,d8JF9oUc,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,ROUND 6,1.76,3.74,4.11,1.33,3.04,10.5,1.01,1.21,3.74,1.76,2.04,2.78,1.36,5.05,1.12,1.67,2.15,,,,,11.0,13.0,21.0,51.0,7.0,6.5,11.0,26.0,8.0,7.0,12.0,36.0,12.0,12.0,17.0,51.0,67.0
2,IN7O7PbA,04/08/2023,05:00,INDONESIA - LIGA 1,Dewa United,Persis Solo,ROUND 6,2.15,3.54,3.01,1.31,3.15,1.01,11.6,1.19,3.96,1.7,2.13,2.64,1.4,4.7,1.14,1.56,2.36,,,,,12.0,11.0,13.0,29.0,8.5,6.0,9.0,17.0,11.0,7.5,10.0,21.0,17.0,13.0,17.0,36.0,67.0
3,8nFZcPrG,04/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Pohang,ROUND 25,2.38,3.3,2.9,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.8,1.91,2.35,1.58,1.43,2.75,9.5,9.0,15.0,29.0,8.0,6.5,11.0,23.0,11.0,9.5,15.0,34.0,23.0,21.0,29.0,51.0,251.0
4,QNPUb5T9,04/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Daejeon,ROUND 25,2.15,3.3,3.4,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.73,2.0,2.1,1.7,1.33,3.3,10.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
5,EeQGQCfc,04/08/2023,08:35,CHINA - SUPER LEAGUE,Beijing Guoan,Henan Songshan Longmen,ROUND 20,1.5,4.2,6.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.8,1.95,1.5,2.5,1.13,6.0,12.0,19.0,34.0,67.0,7.5,8.0,21.0,41.0,7.5,8.5,17.0,41.0,10.0,12.0,23.0,51.0,251.0
6,8IPKPW93,04/08/2023,08:35,CHINA - SUPER LEAGUE,Qingdao Hainiu,Chengdu Rongcheng,ROUND 20,3.4,3.3,2.2,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.8,1.95,3.1,1.35,1.68,2.15,9.5,8.0,11.0,21.0,10.0,6.0,9.0,17.0,17.0,12.0,13.0,29.0,34.0,26.0,34.0,51.0,251.0
7,MLTOOjP9,04/08/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Meizhou Hakka,ROUND 20,1.22,6.5,13.0,1.25,3.75,1.02,19.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,2.1,1.67,1.22,4.15,,,15.0,29.0,51.0,151.0,8.0,12.0,34.0,81.0,6.5,9.5,26.0,67.0,7.5,11.0,29.0,67.0,451.0
8,YqZwJ0yi,04/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Wuhan Three Towns,ROUND 20,3.3,3.8,2.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.53,2.38,3.1,1.35,1.8,2.0,17.0,10.0,12.0,19.0,13.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,34.0,126.0
9,z5RCRhui,04/08/2023,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Nantong Zhiyun,ROUND 20,1.85,3.75,4.0,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,3.0,1.36,6.0,1.13,1.75,2.0,1.85,2.0,1.25,3.8,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.0,8.5,15.0,34.0,15.0,15.0,23.0,41.0,201.0
10,O6RxxLuT,04/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Tampines,Lion City,-,2.15,4.2,2.45,1.17,5.0,1.01,34.0,1.06,10.0,1.22,4.2,1.57,2.25,2.25,1.57,1.25,3.75,2.2,1.65,1.5,2.5,34.0,23.0,23.0,34.0,21.0,11.0,12.0,17.0,21.0,11.0,11.0,17.0,26.0,15.0,15.0,21.0,51.0
