Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
22/06/2023,17:00,ARGENTINA - LIGA PROFESIONAL,Tigre,Velez Sarsfield,ROUND 21,2.25,3.0,3.5,2.6,1.48,2.1,1.67
22/06/2023,18:00,ARGENTINA - LIGA PROFESIONAL,Racing Club,Barracas Central,ROUND 21,1.75,3.75,4.5,2.08,1.73,2.05,1.7
22/06/2023,19:45,ARGENTINA - LIGA PROFESIONAL,River Plate,Instituto,ROUND 21,1.33,5.0,8.5,1.73,2.08,2.2,1.62
22/06/2023,21:45,ARGENTINA - LIGA PROFESIONAL,Godoy Cruz,Boca Juniors,ROUND 21,2.75,2.9,2.8,2.6,1.48,2.1,1.67
22/06/2023,19:00,BRAZIL - SERIE A,Gremio,America MG,ROUND 11,1.65,3.8,5.0,1.85,2.0,1.91,1.91
22/06/2023,20:00,BRAZIL - SERIE A,Coritiba,Internacional,ROUND 11,3.1,3.0,2.5,2.4,1.53,2.0,1.75
22/06/2023,20:00,BRAZIL - SERIE A,Cuiaba,Botafogo RJ,ROUND 11,3.25,3.2,2.3,2.25,1.62,1.95,1.8
22/06/2023,20:00,BRAZIL - SERIE A,Vasco,Goias,ROUND 11,1.75,3.5,4.75,2.1,1.7,2.0,1.75
22/06/2023,21:30,BRAZIL - SERIE A,Bragantino,Flamengo RJ,ROUND 11,3.25,3.4,2.15,1.88,1.98,1.75,2.0
22/06/2023,21:30,BRAZIL - SERIE B,Sport Recife,Juventude,ROUND 13,1.62,3.78,5.8,2.23,1.67,2.19,1.64
22/06/2023,15:30,EGYPT - PREMIER LEAGUE,Haras El Hodood,Al Ahly,ROUND 16,14.0,6.0,1.22,1.83,1.97,2.72,1.43
22/06/2023,13:00,LITHUANIA - A LYGA,Dziugas Telsiai,Zalgiris,ROUND 19,11.2,5.65,1.23,1.61,2.12,2.21,1.63
22/06/2023,14:00,LITHUANIA - A LYGA,Kauno Zalgiris,Suduva,ROUND 19,1.39,4.33,7.75,1.95,1.83,2.16,1.66
22/06/2023,17:00,PERU - LIGA 1,AD Cantolao,Sporting Cristal,CLAUSURA ,7.0,4.75,1.4,1.7,2.1,1.91,1.8
22/06/2023,20:00,PERU - LIGA 1,FBC Melgar,ADT Tarma,CLAUSURA ,1.45,4.2,5.25,1.9,1.95,2.0,1.73
22/06/2023,21:00,PERU - LIGA 1,Cienciano,U. de Deportes,CLAUSURA ,1.95,3.3,3.4,2.05,1.75,1.83,1.83
