Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,pAkR2Feo,03/08/2023,05:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,ROUND 6,1.46,4.33,6.12,1.3,3.22,1.01,12.0,1.18,4.05,1.68,2.16,2.57,1.42,4.6,1.14,1.78,1.99,,,,,12.0,15.0,36.0,67.0,6.5,7.5,17.0,56.0,6.5,6.5,13.0,56.0,8.5,9.5,19.0,67.0,67.0
2,fgzzKtMp,03/08/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Tianjin Jinmen Tiger,ROUND 20,1.29,5.5,11.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,2.05,1.7,1.28,3.55,,,13.0,21.0,41.0,126.0,7.5,10.0,26.0,67.0,6.0,9.0,23.0,51.0,8.0,11.0,29.0,67.0,451.0
3,A3NYx1QM,03/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Geylang,Albirex Niigata,-,6.5,6.0,1.25,1.17,5.0,1.01,34.0,1.06,10.0,1.25,4.0,1.62,2.2,2.38,1.53,1.5,2.5,,,3.45,1.3,34.0,15.0,11.0,11.0,29.0,15.0,10.0,10.0,41.0,21.0,19.0,17.0,81.0,41.0,34.0,41.0,101.0
4,SYEBAREi,03/08/2023,09:00,INDONESIA - LIGA 1,Persib Bandung,Bali United,ROUND 6,2.15,3.8,2.85,1.23,3.74,1.01,15.0,1.11,5.3,1.42,2.57,2.14,1.69,3.34,1.26,1.39,2.89,,,,,15.0,13.0,15.0,26.0,12.0,7.0,9.0,15.0,13.0,8.5,8.5,15.0,21.0,13.0,13.0,21.0,67.0
5,lrG7B7ao,03/08/2023,09:00,INDONESIA - LIGA 1,Persita,FC Bhayangkara,ROUND 6,1.64,3.92,4.73,1.32,3.1,1.01,11.5,1.2,3.84,1.74,2.07,2.71,1.38,4.9,1.13,1.7,2.1,,,,,11.0,13.0,21.0,56.0,6.5,6.5,12.0,31.0,7.5,7.0,12.0,36.0,12.0,11.0,17.0,56.0,67.0
6,phYoc1zN,03/08/2023,12:55,SERBIA - SUPER LIGA,Radnicki Nis,TSC,ROUND 2,2.95,3.08,2.46,1.47,2.57,1.04,7.5,1.33,2.93,2.11,1.72,3.56,1.23,6.9,1.05,1.79,1.98,,,,,9.0,8.0,11.0,21.0,9.0,6.0,9.0,19.0,14.0,10.0,12.0,26.0,31.0,23.0,34.0,61.0,201.0
7,GA5WORR5,03/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,San Lorenzo (Arg),Sao Paulo (Bra),PLAY OFFS ,2.45,3.0,2.7,1.67,2.1,1.11,6.5,1.62,2.2,2.88,1.4,6.0,1.13,15.0,1.03,2.38,1.53,2.5,1.5,1.43,2.75,6.0,6.0,12.0,34.0,6.0,6.5,12.0,29.0,10.0,11.0,23.0,41.0,26.0,26.0,41.0,101.0,201.0
8,MTZP5Zzk,03/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Atl. Nacional (Col),Racing Club (Arg),PLAY OFFS ,2.3,3.1,3.2,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.95,1.8,2.3,1.6,1.35,3.1,7.5,8.5,15.0,34.0,6.5,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,401.0
9,QNHiKYkr,03/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Flamengo RJ (Bra),Olimpia Asuncion (Par),PLAY OFFS ,1.2,7.0,11.0,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,2.2,1.62,3.75,1.25,2.1,1.67,1.2,4.4,,,19.0,26.0,51.0,151.0,8.5,13.0,29.0,81.0,6.5,10.0,29.0,67.0,7.0,11.0,29.0,81.0,451.0
10,SQYvx9yg,03/08/2023,21:00,SOUTH AMERICA - COPA SUDAMERICANA,America MG (Bra),Bragantino (Bra),PLAY OFFS ,3.1,3.2,2.45,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,1.83,1.83,2.85,1.4,1.58,2.35,8.5,7.5,11.0,23.0,8.5,6.0,10.0,21.0,15.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0
