Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,lWHQVCUj,25/04/2024,00:05,MEXICO - LIGA DE EXPANSION MX,Atletico La Paz,Venados,CLAUSURA ,2.72,3.35,2.35,1.39,2.57,1.02,9.3,1.27,3.1,1.85,1.87,2.85,1.32,6.0,1.09,1.65,1.98,,,,,10.5,8.5,12.0,24.0,9.5,6.5,9.25,19.0,14.5,10.0,13.0,28.0,32.0,22.0,29.0,55.0,400.0
2,IXUI48IB,25/04/2024,05:00,INDONESIA - LIGA 1,Barito Putera,FC Bhayangkara,ROUND 33,1.95,3.55,3.4,1.24,3.65,1.01,9.5,1.12,5.21,1.47,2.35,2.07,1.6,3.25,1.25,1.42,2.47,1.9,1.8,,,16.5,17.0,26.0,55.0,11.0,7.6,11.75,25.0,12.0,8.5,10.75,23.0,19.5,13.5,17.5,32.0,150.0
3,lhw28jJn,25/04/2024,05:00,INDONESIA - LIGA 1,Dewa United,Madura United,ROUND 33,2.22,3.55,2.77,1.26,3.48,1.01,9.45,1.15,4.8,1.47,2.32,2.15,1.55,3.35,1.23,1.42,2.45,,,,,16.0,13.0,18.0,35.0,12.0,7.6,10.25,20.0,14.5,9.0,11.0,22.0,25.0,15.5,18.5,35.0,175.0
4,Srx67AYh,25/04/2024,09:00,INDONESIA - LIGA 1,Arema FC,PSM Makassar,ROUND 33,1.91,3.45,3.6,1.34,2.99,1.01,9.7,1.24,3.3,1.7,1.91,2.65,1.37,5.36,1.12,1.62,2.02,1.88,1.83,,,11.5,12.0,21.0,55.0,8.0,6.8,12.0,30.0,9.75,8.25,13.0,32.0,17.0,14.5,23.0,50.0,350.0
5,OAVE5l35,25/04/2024,09:00,INDONESIA - LIGA 1,Persib Bandung,Borneo,ROUND 33,1.65,3.9,4.35,1.22,3.84,1.01,9.7,1.11,5.6,1.42,2.47,2.0,1.65,3.05,1.28,1.44,2.4,,,,,18.0,19.0,32.0,75.0,11.25,8.5,14.5,35.0,11.0,8.25,12.0,29.0,15.0,11.5,16.5,35.0,175.0
6,lCaCdqXo,25/04/2024,10:00,RUSSIA - PREMIER LEAGUE,Ural,FK Rostov,ROUND 21,2.7,3.39,2.87,1.48,2.6,1.04,7.5,1.38,2.81,2.32,1.71,3.92,1.21,7.6,1.04,1.91,1.85,,,,,,,,,,,,,,,,,,,,,
7,hb50Cp0o,25/04/2024,10:45,ROMANIA - LIGA 1,UTA Arad,Otelul,RELEGATION GROUP ,2.3,3.1,3.2,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.0,1.73,2.35,1.58,1.38,3.0,7.0,8.0,15.0,34.0,6.5,6.0,12.0,29.0,10.0,10.0,17.0,41.0,21.0,21.0,41.0,67.0,1250.0
8,O4IpvT64,25/04/2024,12:00,NIGERIA - NPFL,Rivers United,Katsina Utd,ROUND 28,1.5,3.4,7.8,1.57,2.1,1.08,6.4,1.5,2.25,2.42,1.44,4.2,1.15,,,2.55,1.4,,,,,6.0,13.0,50.0,250.0,4.3,7.5,29.0,150.0,5.4,9.25,30.0,175.0,9.75,16.5,55.0,250.0,
9,GhnAEoz8,25/04/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Taee,ROUND 29,2.15,3.5,3.1,1.36,3.0,1.05,8.5,1.25,3.75,1.83,1.98,3.0,1.36,5.5,1.13,1.67,2.1,2.15,1.68,1.38,3.0,12.0,11.0,17.0,34.0,9.0,7.0,12.0,23.0,11.0,9.5,13.0,29.0,19.0,17.0,26.0,41.0,151.0
10,z9e8cPHu,25/04/2024,12:15,RUSSIA - PREMIER LEAGUE,Fakel Voronezh,Krylya Sovetov,ROUND 21,2.58,3.25,3.13,1.54,2.43,1.06,6.65,1.46,2.53,2.56,1.6,4.65,1.16,9.1,1.02,2.06,1.73,,,,,,,,,,,,,,,,,,,,,
11,6HemGTbc,25/04/2024,13:00,POLAND - DIVISION 1,Motor Lublin,Chrobry Glogow,ROUND 29,1.7,3.75,4.5,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.83,1.83,1.7,2.1,1.2,4.4,11.0,12.0,23.0,51.0,7.0,7.5,15.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,26.0,51.0,301.0
12,IcfCEGNh,25/04/2024,13:00,POLAND - DIVISION 1,Termalica B-B.,Odra Opole,ROUND 29,1.91,3.5,3.8,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.8,1.91,1.93,1.93,1.26,3.7,11.0,12.0,21.0,41.0,7.5,6.5,13.0,34.0,9.0,9.0,15.0,41.0,15.0,15.0,26.0,51.0,201.0
13,zR4MHkgM,25/04/2024,13:00,IVORY COAST - LIGUE 1,Korhogo,ASEC Mimosas,ROUND 22,5.7,3.45,1.55,1.5,2.15,1.07,6.71,1.48,2.47,2.32,1.47,4.51,1.16,9.35,1.01,2.5,1.5,,,,,6.7,4.1,5.0,8.5,9.0,6.2,7.6,13.0,24.0,16.5,21.0,35.0,90.0,65.0,80.0,120.0,101.0
14,xYBFWBZr,25/04/2024,13:00,ROMANIA - LIGA 2,Gloria Buzau,Hunedoara,CHAMPIONSHIP GROUP ,2.12,3.15,3.4,1.5,2.47,1.08,6.4,1.39,2.8,2.15,1.65,3.65,1.24,6.4,1.08,1.88,1.82,2.07,1.7,,,6.4,8.75,16.5,45.0,6.7,6.1,12.0,35.0,9.75,8.75,15.5,45.0,20.0,18.5,32.0,80.0,700.0
