Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,ShVMjpwA,26/10/2024,00:00,MEXICO - LIGA MX,Puebla,Guadalajara Chivas,APERTURA ,4.0,3.4,1.95,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.7,2.05,3.7,1.26,1.88,1.98,11.0,8.0,9.5,17.0,12.0,6.5,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,201.0
2,vyBY8xUN,26/10/2024,02:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Gimcheon Sangmu,CHAMPIONSHIP GROUP ,2.3,3.25,3.1,1.4,2.75,1.05,11.0,1.25,3.75,1.93,1.93,3.25,1.33,6.5,1.11,1.67,2.1,2.3,1.6,1.38,3.0,11.0,10.0,15.0,34.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,21.0,19.0,26.0,41.0,201.0
3,GOGyoI41,26/10/2024,02:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Cheonan City,ROUND 36,1.67,3.9,4.2,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.53,2.38,1.65,2.2,1.21,4.25,17.0,17.0,26.0,51.0,10.0,8.0,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
4,Yy9pYSf5,26/10/2024,03:00,AUSTRALIA - A-LEAGUE,Adelaide United,Central Coast Mariners,ROUND 2,2.2,3.6,3.1,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,2.3,1.62,4.33,1.22,1.5,2.5,2.15,1.68,1.38,3.0,17.0,15.0,19.0,34.0,12.0,7.0,12.0,21.0,13.0,9.0,11.0,23.0,21.0,15.0,21.0,34.0,101.0
5,8I3N8Ld8,26/10/2024,04:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Bucheon FC 1995,ROUND 36,4.33,3.4,1.75,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.91,1.8,4.25,1.21,2.03,1.78,9.0,6.5,8.0,15.0,11.0,6.5,8.5,15.0,23.0,15.0,17.0,29.0,51.0,41.0,41.0,51.0,351.0
6,86Td3Gio,26/10/2024,04:30,SOUTH KOREA - K LEAGUE 1,Suwon FC,Seoul,CHAMPIONSHIP GROUP ,2.8,3.3,2.4,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.67,2.1,2.75,1.43,1.55,2.38,11.0,9.5,13.0,23.0,10.0,6.5,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0
7,fFFupxK7,26/10/2024,04:30,SOUTH KOREA - K LEAGUE 2,Cheongju,Anyang,ROUND 36,3.3,3.3,2.05,1.44,2.63,1.07,9.0,1.4,2.75,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,3.45,1.3,1.75,2.05,8.5,6.5,9.5,19.0,9.0,6.5,9.5,19.0,17.0,12.0,17.0,34.0,41.0,29.0,41.0,51.0,351.0
8,EJdIBGzI,26/10/2024,05:00,PHILIPPINES - PFL,Philippines U20,Mendiola FC 1991,ROUND 4,1.73,5.25,3.1,,,,,,,1.22,4.0,,,2.15,1.55,,,1.95,1.85,,,34.0,23.0,26.0,41.0,19.0,13.0,15.0,21.0,17.0,11.0,13.0,21.0,19.0,13.0,17.0,26.0,51.0
9,rc1uxYam,26/10/2024,05:30,INDONESIA - LIGA 1,Malut United,Barito Putera,ROUND 9,1.9,3.35,3.75,1.4,2.5,1.02,9.65,1.28,3.05,1.88,1.83,2.9,1.31,5.7,1.06,1.7,1.91,1.87,1.83,,,9.75,11.0,21.0,60.0,7.3,6.5,12.5,35.0,9.25,8.25,14.0,40.0,16.5,15.0,26.0,65.0,500.0
10,U32gW6PH,26/10/2024,05:35,AUSTRALIA - A-LEAGUE,Melbourne City,Melbourne Victory,ROUND 2,2.75,3.5,2.45,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.62,2.2,2.68,1.45,1.55,2.38,13.0,10.0,13.0,23.0,11.0,7.0,9.5,19.0,15.0,10.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
