Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
10/06/2023,16:00,EUROPE - CHAMPIONS LEAGUE,Manchester City,Inter,PLAY OFFS ,1.44,4.75,6.5,1.8,2.0,1.95,1.8
10/06/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Platense,Tigre,ROUND 20,2.75,3.0,2.88,2.5,1.5,2.05,1.7
10/06/2023,20:00,ARGENTINA - LIGA PROFESIONAL,Boca Juniors,Lanus,ROUND 20,2.15,3.1,3.75,2.5,1.5,2.2,1.62
10/06/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Talleres Cordoba,Arsenal Sarandi,ROUND 20,1.36,4.5,11.0,1.93,1.93,2.2,1.62
10/06/2023,14:35,ARGENTINA - PRIMERA NACIONAL,San Telmo,Almirante Brown,ROUND 20,3.0,3.2,2.55,2.4,1.53,2.0,1.73
10/06/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Guillermo Brown,Patronato,ROUND 20,2.63,3.0,3.0,2.4,1.53,2.0,1.73
10/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Club A. Guemes,ROUND 20,1.75,3.6,5.0,2.6,1.48,2.5,1.5
10/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Almagro,Deportivo Moron,ROUND 20,2.3,2.88,3.75,3.4,1.33,2.63,1.44
10/06/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Defensores Unidos,Gimnasia Mendoza,ROUND 20,2.63,3.0,3.0,2.88,1.4,2.25,1.57
10/06/2023,16:35,ARGENTINA - PRIMERA NACIONAL,Temperley,Def. de Belgrano,ROUND 20,2.05,3.2,4.0,2.7,1.44,2.25,1.57
10/06/2023,16:00,BRAZIL - SERIE A,Coritiba,Santos,ROUND 10,2.63,3.0,3.0,2.5,1.5,2.05,1.7
10/06/2023,18:30,BRAZIL - SERIE A,Atletico-MG,Bragantino,ROUND 10,1.65,3.5,6.0,2.15,1.67,2.1,1.67
10/06/2023,18:30,BRAZIL - SERIE A,Bahia,Cruzeiro,ROUND 10,2.4,3.3,3.0,2.08,1.73,1.91,1.91
10/06/2023,18:30,BRAZIL - SERIE A,Corinthians,Cuiaba,ROUND 10,1.62,3.5,6.5,2.4,1.53,2.25,1.57
10/06/2023,21:00,BRAZIL - SERIE A,Botafogo RJ,Fortaleza,ROUND 10,2.05,3.3,3.8,2.05,1.75,1.8,1.95
10/06/2023,16:00,BRAZIL - SERIE B,Vila Nova FC,Guarani,ROUND 12,1.67,3.72,5.4,2.21,1.68,2.13,1.68
10/06/2023,17:00,BRAZIL - SERIE B,Ituano,Atletico GO,ROUND 12,2.41,3.24,3.02,2.21,1.68,1.89,1.87
