Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,dSNxC6Pa,03/04/2024,00:05,MEXICO - LIGA DE EXPANSION MX,Dorados de Sinaloa,Alebrijes Oaxaca,CLAUSURA ,2.25,3.25,3.05,1.44,2.62,1.06,7.1,1.31,3.15,1.93,1.8,3.15,1.31,5.5,1.11,1.72,2.0,2.2,1.62,,,7.1,9.25,15.5,37.0,7.9,6.3,10.75,26.0,11.0,9.0,13.5,35.0,22.0,18.0,27.0,60.0,500.0
2,bs30UyD8,03/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Gimcheon Sangmu,ROUND 5,2.1,3.3,3.25,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,2.1,1.7,1.33,3.3,11.0,11.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
3,xY14TeSE,03/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Jeonbuk,ROUND 5,2.88,3.1,2.3,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.85,1.4,1.58,2.35,9.0,7.5,11.0,23.0,9.0,6.0,9.5,21.0,15.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
4,AR9I5hz8,03/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Incheon,ROUND 5,2.2,3.2,3.0,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.91,1.8,2.25,1.63,1.38,3.0,8.5,8.5,15.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,351.0
5,Kdi9SFsL,03/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Gangwon,Daegu,ROUND 5,2.7,2.88,2.55,1.5,2.5,1.08,7.5,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.91,1.8,2.68,1.45,1.45,2.68,7.5,7.5,12.0,29.0,7.5,6.0,11.0,23.0,12.0,11.0,15.0,41.0,29.0,23.0,41.0,51.0,351.0
6,b1iPfTA9,03/04/2024,07:45,AUSTRALIA - A-LEAGUE,Perth Glory,Sydney FC,ROUND 12,4.0,4.2,1.75,1.22,4.0,1.02,19.0,1.13,6.0,1.4,2.88,2.0,1.8,3.4,1.33,1.4,2.75,3.7,1.26,2.03,1.78,23.0,13.0,12.0,17.0,21.0,8.5,9.0,12.0,26.0,15.0,11.0,17.0,41.0,26.0,26.0,29.0,81.0
7,d4TaDou9,03/04/2024,08:00,THAILAND - THAI LEAGUE 1,Chonburi,Chiangrai Utd,ROUND 23,1.83,3.65,3.85,1.36,2.9,1.05,8.0,1.24,3.65,1.72,2.05,2.7,1.4,4.6,1.16,1.65,2.1,1.8,1.93,,,8.0,12.5,22.0,55.0,8.25,7.1,13.0,32.0,9.5,8.25,13.5,37.0,15.5,13.5,22.0,55.0,400.0
8,UcPNgfOi,03/04/2024,08:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Samgurali,ROUND 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,r1PeERP2,03/04/2024,08:30,THAILAND - THAI LEAGUE 1,Khonkaen Utd.,Police Tero,ROUND 23,1.82,3.8,3.75,1.32,3.1,1.04,8.5,1.2,4.0,1.62,2.2,2.5,1.47,4.1,1.2,1.6,2.22,1.8,1.95,,,8.5,13.5,22.0,55.0,9.25,7.5,12.5,30.0,10.0,8.25,13.0,32.0,16.0,13.0,20.0,45.0,300.0
10,W4AE9v2n,03/04/2024,08:30,BULGARIA - PARVA LIGA,Krumovgrad,Hebar,ROUND 27,2.0,3.1,4.33,1.53,2.38,1.11,6.5,1.44,2.63,2.5,1.5,5.0,1.17,11.0,1.05,2.1,1.67,2.03,1.83,1.23,4.0,6.5,9.5,19.0,41.0,5.5,6.0,15.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,1250.0
