Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bZ8mZxpN,18/03/2024,10:30,INDIA - I-LEAGUE,Inter Kashi,Aizawl,ROUND 21,1.85,3.75,3.5,1.26,3.5,1.02,13.3,1.15,4.5,1.55,2.15,2.27,1.5,3.65,1.2,1.52,2.22,1.82,1.88,,,14.5,14.0,22.0,50.0,9.75,7.6,12.0,28.0,10.75,8.5,12.5,29.0,17.0,13.0,19.5,45.0,250.0
2,MDcHoKz0,18/03/2024,12:30,ROMANIA - LIGA 1,UTA Arad,FC Voluntari,RELEGATION GROUP ,1.85,3.1,4.2,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,1.9,1.95,1.22,4.15,8.0,11.0,21.0,41.0,6.5,6.0,15.0,41.0,8.5,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
3,dtJZCS0B,18/03/2024,15:00,GHANA - PREMIER LEAGUE,Hearts of Oak,Heart of Lions,ROUND 22,1.62,3.2,5.7,1.55,2.07,,,1.5,2.25,2.63,1.44,,,,,,,,,,,6.1,8.75,24.0,90.0,3.95,5.9,16.5,65.0,5.1,7.6,20.0,75.0,9.25,14.0,37.0,120.0,
4,GzcLpvj6,18/03/2024,15:30,ROMANIA - LIGA 1,Petrolul,U Craiova 1948,RELEGATION GROUP ,2.1,3.2,3.3,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,2.15,1.68,1.33,3.3,8.5,9.0,17.0,41.0,7.0,6.5,12.0,29.0,9.5,9.5,17.0,41.0,19.0,19.0,34.0,51.0,351.0
5,hfkSxCqc,18/03/2024,16:30,ITALY - SERIE C,Potenza,Picerno,GROUP C ,2.57,3.1,2.72,1.6,2.27,1.11,5.6,1.52,2.37,2.5,1.47,4.55,1.16,7.8,1.05,2.12,1.65,,,1.57,2.3,5.6,6.5,11.75,30.0,6.3,6.1,11.0,29.0,11.0,10.75,19.0,50.0,28.0,27.0,50.0,120.0,1000.0
6,pMTY5vNl,18/03/2024,16:30,SPAIN - LALIGA2,Andorra,Amorebieta,ROUND 31,1.8,3.2,5.25,1.53,2.38,1.1,7.0,1.44,2.63,2.5,1.5,5.0,1.17,11.0,1.05,2.25,1.57,1.8,2.05,1.17,5.0,6.5,10.0,23.0,51.0,5.5,6.5,19.0,51.0,7.0,9.5,21.0,51.0,13.0,19.0,41.0,81.0,1250.0
7,2u3R7H7R,18/03/2024,16:30,URUGUAY - PRIMERA DIVISION,CA Cerro,Cerro Largo,APERTURA ,2.88,2.9,2.7,1.57,2.25,1.07,7.0,1.47,2.5,2.5,1.5,5.0,1.13,11.0,1.03,2.1,1.67,2.85,1.4,1.5,2.5,6.0,6.6,12.5,32.0,7.1,6.2,11.0,29.0,14.0,11.5,18.5,50.0,37.0,30.0,50.0,120.0,1250.0
8,8AFZvCW5,18/03/2024,16:45,ENGLAND - LEAGUE TWO,Crawley,Stockport County,ROUND 39,4.2,3.6,1.85,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,3.9,1.24,1.98,1.88,11.0,7.5,9.0,15.0,12.0,7.0,8.5,15.0,21.0,13.0,15.0,26.0,41.0,34.0,41.0,51.0,201.0
9,rylCKULD,18/03/2024,17:15,PORTUGAL - LIGA PORTUGAL 2,Vilaverdense,Os Belenenses,ROUND 26,2.38,3.1,2.88,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.4,1.3,7.0,1.1,1.8,1.91,2.35,1.58,1.38,3.0,9.5,9.5,15.0,29.0,8.0,6.0,11.0,23.0,12.0,9.5,13.0,34.0,23.0,21.0,29.0,51.0,251.0
10,p4rFTBNP,18/03/2024,18:30,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Atletico Atlanta,ROUND 7,2.25,2.88,3.8,1.62,2.2,1.14,5.5,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.25,1.57,2.2,1.65,1.28,3.55,5.5,8.0,17.0,41.0,5.5,6.0,15.0,41.0,9.0,10.0,19.0,51.0,21.0,23.0,41.0,81.0,201.0
