Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,zwFd5d05,29/11/2024,00:10,MEXICO - LIGA MX,Monterrey,U.N.A.M.- Pumas,APERTURA ,2.05,3.25,3.9,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.95,1.8,2.05,1.8,1.23,3.7,8.0,10.0,19.0,41.0,6.5,6.0,13.0,34.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,351.0
2,bTyqovxi,29/11/2024,05:30,INDIA - I-LEAGUE,Real Kashmir,Gokulam,ROUND 2,2.9,3.45,2.18,1.38,2.6,1.03,6.85,1.28,3.05,1.83,1.78,2.92,1.3,5.05,1.09,1.7,1.91,,,,,10.5,7.9,10.75,21.0,9.5,6.7,9.0,17.5,15.0,10.75,14.5,28.0,35.0,25.0,32.0,65.0,500.0
3,8A7PkhM7,29/11/2024,05:35,AUSTRALIA - A-LEAGUE,Adelaide United,Perth Glory,ROUND 6,1.38,5.25,7.0,1.18,4.5,1.01,23.0,1.08,8.0,1.3,3.5,1.73,2.1,2.75,1.44,1.44,2.63,1.38,3.0,1.12,6.25,29.0,29.0,41.0,67.0,15.0,12.0,21.0,41.0,11.0,9.0,15.0,34.0,12.0,10.0,17.0,34.0,81.0
4,bRGNaaX8,29/11/2024,09:00,AZERBAIJAN - PREMIER LEAGUE,Araz,Turan,ROUND 15,2.47,2.9,2.95,1.5,2.25,1.03,6.95,1.47,2.32,2.35,1.47,4.0,1.16,9.9,1.02,1.98,1.65,,,,,6.6,7.0,13.5,37.0,6.4,5.7,11.25,32.0,11.0,10.0,17.0,50.0,27.0,24.0,40.0,110.0,900.0
5,vV3csVm3,29/11/2024,09:00,THAILAND - THAI LEAGUE 1,Prachuap,Nakhon Ratchasima FC,ROUND 15,1.45,4.05,6.8,1.39,2.77,1.05,7.6,1.27,3.45,1.78,1.93,2.87,1.37,4.9,1.14,1.93,1.78,,,,,7.6,16.0,40.0,150.0,6.6,8.0,21.0,80.0,6.7,8.0,19.0,75.0,9.75,11.75,27.0,100.0,800.0
6,UeO41czg,29/11/2024,09:30,BULGARIA - PARVA LIGA,Spartak Varna,CSKA 1948 Sofia,ROUND 17,2.45,3.2,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.83,1.83,2.35,1.58,1.4,2.85,8.5,8.5,15.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
7,zgRmmLkg,29/11/2024,10:30,SERBIA - SUPER LIGA,Novi Pazar,Vojvodina,ROUND 17,3.25,3.15,2.1,1.44,2.6,1.07,7.1,1.31,3.2,1.91,1.8,3.15,1.32,5.4,1.12,1.72,2.02,3.1,1.32,1.68,2.07,7.1,7.5,10.5,21.0,10.25,6.2,8.5,17.0,18.5,11.25,13.0,27.0,45.0,29.0,35.0,60.0,450.0
8,KhgXpMic,29/11/2024,10:30,INDIA - I-LEAGUE,Aizawl,SC Bengaluru,ROUND 2,2.12,3.25,3.2,1.42,2.47,1.01,7.7,1.24,3.3,1.72,1.9,2.65,1.37,4.55,1.11,1.57,2.1,,,,,11.25,11.75,19.0,45.0,8.25,6.5,10.75,25.0,11.0,8.5,12.0,28.0,21.0,16.5,24.0,45.0,300.0
9,xxIbLO8d,29/11/2024,11:00,INDIA - ISL,East Bengal,North East Utd,ROUND 10,3.1,3.3,2.15,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,3.1,1.35,1.68,2.15,15.0,11.0,13.0,21.0,13.0,7.0,9.5,15.0,19.0,12.0,11.0,21.0,34.0,23.0,26.0,34.0,101.0
10,UPa7e1IO,29/11/2024,11:25,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Qadisiya,Al Khaleej,ROUND 12,1.57,4.0,4.75,1.4,2.75,1.02,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.0,1.11,2.0,1.73,1.6,2.3,1.18,4.65,11.0,13.0,26.0,51.0,6.5,8.0,17.0,41.0,7.5,9.0,19.0,41.0,11.0,13.0,29.0,51.0,800.0
