Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,UyrXSXGd,11/03/2025,10:30,INDONESIA - LIGA 1,PSS Sleman,Persis Solo,ROUND 27,2.05,3.25,3.4,1.4,2.55,,,1.27,3.1,1.8,1.8,2.85,1.32,,,1.65,1.98,,,,,10.0,10.5,18.5,50.0,7.8,6.3,11.5,30.0,10.25,8.5,13.0,35.0,19.5,16.0,25.0,55.0,400.0
2,nDCHzpz3,11/03/2025,10:30,INDONESIA - LIGA 1,Persik Kediri,PSM Makassar,ROUND 27,2.32,3.0,3.1,1.39,2.55,,,1.33,2.77,1.98,1.65,3.2,1.26,,,1.72,1.9,,,,,8.25,8.5,15.5,40.0,7.7,5.8,11.0,30.0,11.5,9.0,13.5,37.0,25.0,19.0,28.0,65.0,500.0
3,rLqPUgnp,11/03/2025,10:30,INDONESIA - LIGA 1,Bali United,PSBS Biak Numfor,ROUND 27,1.7,3.75,4.2,1.38,2.6,,,1.23,3.35,1.7,1.93,2.62,1.37,,,1.7,1.93,1.75,1.95,,,12.0,13.0,24.0,65.0,7.8,7.4,14.0,37.0,8.5,8.25,15.0,40.0,13.5,13.0,24.0,65.0,450.0
4,xn7SOZRH,11/03/2025,11:00,INDIA - ISL,Bengaluru FC,Mumbai City,ROUND 26,2.7,3.2,2.3,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,3.5,1.29,7.0,1.1,1.8,1.91,2.75,1.43,1.58,2.35,10.0,8.0,12.0,23.0,9.0,6.5,9.5,19.0,15.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
5,6FtP9KMj,11/03/2025,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samgurali,FC Gareji Sagarejo,ROUND 3,1.93,3.2,3.6,1.39,2.42,,,,,1.88,1.72,,,,,,,1.85,1.75,,,9.25,8.75,16.0,40.0,6.1,5.5,10.25,26.0,7.8,7.1,11.75,30.0,14.0,12.5,21.0,50.0,350.0
6,vygU5bjf,11/03/2025,13:30,SLOVENIA - PRVA LIGA,Radomlje,Bravo,ROUND 25,4.6,3.45,1.75,1.4,2.7,1.07,6.7,1.35,2.92,2.05,1.7,3.45,1.27,6.0,1.09,1.93,1.78,3.85,1.2,2.05,1.72,6.7,6.1,7.6,13.5,11.25,6.6,8.25,15.0,25.0,15.0,17.0,30.0,80.0,50.0,55.0,90.0,800.0
7,lAMoDSVq,11/03/2025,14:30,ITALY - SERIE C,Arezzo,Carpi,GROUP B ,1.65,3.6,5.2,1.47,2.5,1.08,6.5,1.38,2.8,2.12,1.65,3.7,1.24,6.5,1.08,2.1,1.65,1.62,2.2,1.14,4.6,6.5,11.5,28.0,100.0,5.5,7.0,17.0,60.0,6.7,8.5,20.0,70.0,11.75,15.0,35.0,120.0,1000.0
8,Q5EdVRiS,11/03/2025,14:30,ITALY - SERIE C,Legnago Salus,Rimini,GROUP B ,3.6,3.1,2.1,1.55,2.32,1.1,5.9,1.45,2.57,2.3,1.55,4.1,1.2,7.1,1.06,2.02,1.72,3.35,1.26,1.72,2.05,5.9,6.0,9.0,19.0,8.25,6.0,9.0,19.5,17.5,12.5,17.0,37.0,50.0,37.0,55.0,100.0,101.0
9,YByOomx9,11/03/2025,14:30,ITALY - SERIE C,Perugia,Torres,GROUP B ,3.05,3.1,2.35,1.55,2.3,1.1,5.9,1.47,2.52,2.35,1.53,4.2,1.19,7.3,1.06,2.02,1.7,2.72,1.42,1.57,2.3,5.9,6.2,10.0,23.0,7.5,6.0,9.75,23.0,14.0,11.25,17.5,40.0,37.0,30.0,45.0,100.0,101.0
10,I3gyOqp2,11/03/2025,14:30,ITALY - SERIE C,Pianese,Spal,GROUP B ,2.15,3.15,3.4,1.5,2.42,1.08,6.4,1.38,2.82,2.12,1.65,3.65,1.24,6.4,1.08,1.87,1.85,2.07,1.7,1.28,3.2,6.4,9.25,17.5,45.0,6.6,6.0,11.5,32.0,9.5,9.0,15.0,40.0,20.0,19.0,32.0,75.0,700.0
11,xW2tZ9h3,11/03/2025,14:30,ITALY - SERIE C,Pineto,AC Milan U23,GROUP B ,2.0,3.35,3.55,1.5,2.42,1.08,6.4,1.42,2.67,2.2,1.6,3.85,1.22,6.8,1.07,2.0,1.72,1.95,1.78,1.28,3.25,6.4,8.75,17.5,50.0,6.1,6.5,13.0,37.0,8.5,9.0,18.0,50.0,17.0,18.0,35.0,100.0,1000.0
12,YcdkXmNF,11/03/2025,14:30,ITALY - SERIE C,Pontedera,Pescara,GROUP B ,3.95,3.5,1.85,1.42,2.67,1.06,7.3,1.3,3.2,1.9,1.82,3.15,1.32,5.4,1.12,1.8,1.91,3.7,1.22,1.91,1.83,7.3,7.0,8.75,15.5,11.25,6.7,8.25,15.0,21.0,13.0,15.0,27.0,60.0,37.0,40.0,70.0,600.0
13,2TfVfYL6,11/03/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Jong Ajax,FC Emmen,ROUND 31,3.0,3.6,2.2,1.29,3.5,1.02,15.0,1.13,5.0,1.57,2.35,2.37,1.5,4.33,1.17,1.5,2.5,2.85,1.4,1.65,2.2,17.0,11.0,13.0,21.0,13.0,7.5,9.5,15.0,19.0,11.0,11.0,21.0,34.0,21.0,23.0,34.0,101.0
14,MXReBg6m,11/03/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Roda,Helmond,ROUND 31,2.0,3.6,3.4,1.33,3.25,1.03,13.0,1.17,4.33,1.7,2.1,2.62,1.41,5.0,1.13,1.62,2.2,2.03,1.83,1.33,3.3,13.0,13.0,19.0,34.0,9.5,7.0,12.0,26.0,11.0,9.0,13.0,29.0,19.0,15.0,21.0,41.0,151.0
15,UL7r4xaK,11/03/2025,16:00,NETHERLANDS - EERSTE DIVISIE,Den Haag,Jong AZ,ROUND 31,1.45,4.5,6.0,1.25,3.75,1.01,19.0,1.11,5.5,1.5,2.5,2.2,1.58,3.75,1.22,1.62,2.2,1.45,2.68,1.14,5.75,19.0,21.0,34.0,67.0,10.0,9.0,19.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0
16,tE6Mdfif,11/03/2025,16:00,NETHERLANDS - EERSTE DIVISIE,FC Volendam,Telstar,ROUND 31,1.83,3.75,4.0,1.3,3.4,1.02,15.0,1.15,4.5,1.65,2.2,2.5,1.47,4.5,1.15,1.57,2.25,1.83,2.03,1.25,3.8,15.0,15.0,23.0,41.0,9.5,7.5,13.0,29.0,10.0,8.5,13.0,29.0,17.0,13.0,21.0,41.0,126.0
17,8vwl8a2d,11/03/2025,16:30,EGYPT - PREMIER LEAGUE,Modern Sport,Smouha,RELEGATION GROUP ,2.65,2.57,3.2,1.65,2.12,1.16,4.6,1.62,2.15,2.85,1.37,5.2,1.13,8.75,1.04,2.18,1.6,2.55,1.47,1.35,3.05,4.6,6.4,14.5,45.0,5.9,5.3,12.5,40.0,11.5,10.5,18.5,65.0,32.0,29.0,50.0,120.0,
18,lzGzW2f3,11/03/2025,16:30,EGYPT - PREMIER LEAGUE,El Gouna,Al Ittihad,RELEGATION GROUP ,3.35,2.47,2.65,1.72,2.0,1.19,4.15,1.75,1.98,3.15,1.31,5.9,1.1,9.5,1.03,2.35,1.53,3.15,1.33,1.47,2.57,4.15,5.4,11.25,32.0,6.3,5.3,11.0,32.0,15.5,13.5,21.0,60.0,55.0,45.0,75.0,175.0,
19,G8GqRbjo,11/03/2025,16:30,EGYPT - PREMIER LEAGUE,Zamalek,Al Ahly,CHAMPIONSHIP GROUP ,4.35,3.2,1.85,1.38,2.82,1.07,6.8,1.32,3.1,1.95,1.75,3.25,1.3,5.7,1.11,1.8,1.91,,,1.91,1.83,6.8,6.5,8.5,16.0,12.5,6.2,8.25,15.5,26.0,13.5,14.0,27.0,75.0,40.0,40.0,65.0,500.0
