Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,lW1gIQn8,28/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Bayanzurkh Sporting,Khovd,ROUND 5,3.96,4.2,1.7,1.18,4.3,,,1.07,7.0,1.34,2.88,1.94,1.84,2.93,1.33,1.38,2.94,,,,,21.0,9.5,8.5,11.0,23.0,8.5,6.5,8.5,34.0,15.0,11.0,13.0,67.0,31.0,29.0,31.0,67.0
2,by8l0vd8,28/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Persikabo 1973,ROUND 10,2.11,3.5,3.12,1.33,3.04,10.5,1.01,1.21,3.74,1.76,2.04,2.75,1.37,5.0,1.12,1.6,2.27,,,,,10.0,10.0,15.0,31.0,7.5,6.0,9.5,19.0,9.5,7.5,11.0,26.0,15.0,13.0,19.0,46.0,67.0
3,SM0cHp2E,28/08/2023,08:00,MONGOLIA - PREMIER LEAGUE,FC Ulaanbaatar,Khoromkhon,ROUND 5,1.05,13.0,18.0,,,,,1.01,11.0,1.13,6.0,1.44,2.55,,,1.6,2.2,,,,,56.0,67.0,67.0,67.0,15.0,19.0,56.0,67.0,9.0,9.5,21.0,67.0,7.5,8.0,15.0,61.0,67.0
4,dK5p7zag,28/08/2023,08:30,THAILAND - THAI LEAGUE 1,Uthai Thani,Pathum United,ROUND 3,3.79,3.76,1.85,1.32,3.2,1.01,11.5,1.19,3.96,1.71,2.13,2.64,1.4,4.7,1.14,1.61,2.25,,,1.88,1.85,10.0,7.0,8.5,14.0,10.0,6.0,6.5,11.0,17.0,10.0,10.0,17.0,41.0,23.0,26.0,36.0,201.0
5,rRYPtjem,28/08/2023,09:00,INDONESIA - LIGA 1,PSM Makassar,Persis Solo,ROUND 10,1.57,4.1,5.06,1.3,3.22,12.1,1.01,1.18,4.15,1.66,2.19,2.54,1.43,4.5,1.15,1.68,2.13,,,,,12.0,15.0,31.0,67.0,7.0,6.5,15.0,36.0,7.0,6.5,12.0,41.0,10.0,10.0,17.0,56.0,67.0
6,4MQ5EI6J,28/08/2023,10:00,THAILAND - THAI LEAGUE 1,Muang Thong Utd,Port MTI FC,ROUND 3,2.27,3.6,2.84,1.31,3.26,11.5,1.04,1.17,4.15,1.66,2.21,2.51,1.44,4.5,1.15,1.52,2.46,2.22,1.62,,,10.0,9.5,13.0,26.0,8.0,5.5,8.5,15.0,10.0,7.0,9.0,21.0,19.0,12.0,15.0,31.0,201.0
7,xCxEGiqp,28/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Gent,ROUND 5,2.16,3.59,3.28,1.36,3.0,1.05,9.0,1.29,3.5,1.91,1.91,3.0,1.36,5.5,1.13,1.7,2.1,2.1,1.72,,,10.0,10.0,15.0,34.0,8.0,6.0,11.0,21.0,10.0,8.5,12.0,31.0,21.0,15.0,23.0,51.0,201.0
8,0EPbWyIE,28/08/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Abha,Al Feiha,ROUND 4,2.38,3.2,2.6,1.36,3.0,1.02,11.0,1.25,3.75,1.85,1.95,3.0,1.36,5.5,1.13,1.67,2.1,2.43,1.53,1.45,2.68,11.0,10.0,15.0,26.0,9.5,6.5,11.0,21.0,13.0,10.0,13.0,29.0,23.0,19.0,29.0,41.0,151.0
9,KvIrMhHo,28/08/2023,12:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,West Armenia,ROUND 5,1.05,11.2,28.0,1.14,4.9,23.0,41.0,1.04,7.6,1.23,3.56,1.68,2.16,2.4,1.48,2.28,1.6,,,,,36.0,81.0,201.0,201.0,10.0,20.0,71.0,201.0,6.0,9.0,31.0,151.0,5.5,8.0,23.0,126.0,201.0
10,nHjQ0H5C,28/08/2023,12:30,ROMANIA - LIGA 1,FC Hermannstadt,U. Cluj,ROUND 7,2.15,3.1,3.25,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.1,1.67,2.2,1.65,1.35,3.1,7.0,7.5,15.0,34.0,6.0,6.5,13.0,34.0,9.5,10.0,19.0,41.0,21.0,21.0,41.0,67.0,201.0
