League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Serbian First League,2024-09-16,11:00:00,FK Mladost Novi Sad,FK Sloboda Point,1.26,1000.0,1.17,1000.0,1.24,1000.0,1.06,15.5,1.07,18.0,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591952,40492492.0,15421191.0,58805.0,1.233066333,1.233066378,1.233066417,1.233066342,2.78,3.1,1.48,1.56,9.4,15.5,1.07,1.12,1.14,15.5,1.07,17.5,1.08,7.0,1.01,5.0,1.14,5.2,1.233066334,1.233066336,1.233066337,1.233066381
Lithuanian 1 Lyga,2024-09-16,11:00:00,FK Panevezys II,FK Banga II,1.58,1000.0,1.04,1000.0,1.23,1000.0,1.07,300.0,1.02,21.0,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591665,28609670.0,28616448.0,58805.0,1.233063083,1.233063128,1.233063167,1.233063092,3.4,4.3,1.31,1.41,17.0,55.0,1.02,1.07,1.14,1000.0,1.02,990.0,1.01,1.46,1.01,2.76,1.01,1.46,1.233063084,1.233063086,1.233063087,1.233063131
Norwegian 1st Division,2024-09-16,11:30:00,Egersund,Ranheim IL,2.2,2.36,2.9,3.15,4.1,4.6,2.66,2.96,1.51,1.6,1.53,1.6,2.66,2.9,6.2,980.0,5.7,980.0,6.2,980.0,6.8,980.0,5.4,980.0,4.9,12.0,5.2,15.0,6.2,980.0,5.6,980.0,4.7,980.0,13.0,980.0,6.4,980.0,6.2,980.0,5.9,980.0,6.2,980.0,6.8,980.0,4.7,980.0,5.6,980.0,7.6,1000.0,33540407,3876624.0,22623366.0,58805.0,1.232467151,1.232467199,1.232467239,1.232467162,3.95,5.1,1.24,1.34,19.5,36.0,1.03,1.06,3.15,8.2,1.14,1.46,1.46,1.53,1.73,1.83,1.27,1.33,1.232467153,1.232467155,1.232467156,1.232467202
Romanian Liga I,2024-09-16,12:00:00,UTA Arad,Hermannstadt,2.38,2.56,3.2,3.55,3.2,3.45,1.78,1.88,2.14,2.28,1.86,1.99,2.0,2.16,8.6,14.5,8.6,14.5,16.5,28.0,4.1,980.0,3.35,11.5,6.6,9.0,3.7,17.5,4.1,980.0,11.0,18.5,8.6,14.5,3.7,24.0,4.1,980.0,4.3,980.0,21.0,36.0,4.2,980.0,4.2,980.0,3.8,32.0,4.0,980.0,4.3,1000.0,33571127,2311174.0,13144766.0,58805.0,1.232835955,1.232836,1.232836039,1.232835964,2.98,3.15,1.47,1.51,10.0,12.5,1.09,1.11,3.25,3.65,1.37,1.45,1.39,1.45,1.64,1.73,1.41,1.46,1.232835956,1.232835958,1.232835959,1.232836003
Ukrainian Premier League,2024-09-16,12:00:00,Kolos Kovalyovka,LNZ-Lebedyn,3.0,3.2,2.62,2.88,3.0,3.35,1.63,1.75,2.32,2.6,1.96,2.18,1.84,2.06,7.6,10.5,7.6,10.0,5.5,980.0,6.6,980.0,8.0,10.5,6.0,7.6,4.9,980.0,6.4,980.0,5.7,980.0,5.0,980.0,5.8,980.0,7.0,980.0,6.8,980.0,6.6,980.0,7.0,980.0,7.4,980.0,6.8,980.0,6.6,980.0,7.6,1000.0,33584245,10403841.0,19748479.0,58805.0,1.232975401,1.232975446,1.232975485,1.23297541,2.06,3.0,1.25,1.68,8.0,12.5,1.09,1.15,2.84,3.25,1.44,1.55,1.53,1.62,1.45,1.5,1.43,1.5,1.232975402,1.232975404,1.232975405,1.232975449
Lithuanian 1 Lyga,2024-09-16,12:00:00,FK Kauno Zalgiris 2,Hegelmann Litauen B,1.67,1000.0,2.66,1000.0,1.23,1000.0,1.17,300.0,1.02,21.0,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591671,28612918.0,66839094.0,58805.0,1.233062993,1.233063038,1.233063077,1.233063002,3.3,4.2,1.32,1.44,1.17,55.0,1.02,55.0,1.17,1000.0,1.02,110.0,1.01,1.6,1.01,2.52,1.01,1.45,1.233062994,1.233062996,1.233062997,1.233063041
Norwegian 2nd Division,2024-09-16,12:00:00,Stjordals-Blink,Valerenga II,1.04,1.12,4.5,1000.0,4.5,1000.0,2.2,300.0,1.01,1.82,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591353,2440431.0,5481309.0,58805.0,1.233057616,1.233057661,1.2330577,1.233057625,7.2,15.5,1.07,1.17,3.85,110.0,1.01,1.04,3.85,1000.0,1.01,1.35,1.01,1.06,4.3,36.0,1.01,1.06,1.233057617,1.233057619,1.23305762,1.233057664
Czech 2 Liga,2024-09-16,12:30:00,Prostejov,FC Zbrojovka Brno,1.06,1000.0,1.06,1000.0,1.24,1000.0,1.34,26.0,1.05,3.95,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591423,6607086.0,9833553.0,58805.0,1.233059879,1.233059924,1.233059963,1.233059888,2.96,3.6,1.39,1.51,11.0,26.0,1.05,1.1,1.34,26.0,1.05,3.95,1.01,18.0,1.01,18.0,1.01,5.2,1.23305988,1.233059882,1.233059883,1.233059927
Saudi 1st Division,2024-09-16,12:40:00,Al Bukayriyah,Abha,1.01,2.9,1.01,870.0,1.23,950.0,1.02,300.0,1.01,300.0,0.0,0.0,0.0,0.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591927,25759565.0,10732580.0,58805.0,1.233065682,1.233065678,0.0,1.233065684,1.2,1000.0,1.01,20.0,0.0,0.0,0.0,0.0,1.02,1000.0,1.01,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233065685,0.0,1.233065683
Saudi 1st Division,2024-09-16,12:40:00,Al-Zulfi SC,Al-Adalh,1.01,600.0,1.01,870.0,1.23,950.0,1.02,300.0,1.01,300.0,0.0,0.0,0.0,0.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591930,16660302.0,21070765.0,58805.0,1.233065671,1.233065667,0.0,1.233065673,1.2,1000.0,1.01,20.0,0.0,0.0,0.0,0.0,1.02,1000.0,1.01,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233065674,0.0,1.233065672
