League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
South Korean K League 1,2024-09-21,04:30:00,Suwon FC,Gimcheon Sangmu,2.66,3.0,2.64,2.96,3.5,4.1,2.0,2.4,1.72,2.0,1.59,1.82,2.2,2.7,11.5,18.0,10.5,15.0,12.0,23.0,25.0,50.0,9.6,15.0,7.4,10.0,8.4,15.0,20.0,36.0,14.0,23.0,9.6,15.5,11.0,21.0,25.0,50.0,26.0,55.0,22.0,36.0,25.0,50.0,60.0,110.0,1.01,29.0,1.01,28.0,1.01,1000.0,33591816,7394845.0,41053763.0,58805.0,1.233062184,1.233062229,1.233062268,1.233062193,3.1,3.45,1.41,1.47,12.0,26.0,1.04,1.1,3.9,5.1,1.24,1.35,1.51,1.61,1.5,1.6,1.32,1.4,1.233062185,1.233062187,1.233062188,1.233062232
South Korean K League 2,2024-09-21,04:30:00,Chungnam Asan,Jeonnam Dragons,2.16,1000.0,2.66,1000.0,3.05,1000.0,1.09,26.0,1.04,15.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591825,41061425.0,8349517.0,58805.0,1.233062094,1.233062139,1.233062178,1.233062103,3.1,3.75,1.36,1.48,12.5,26.0,1.04,1.09,1.09,26.0,1.04,15.5,1.05,1.61,1.07,1.87,1.01,1.48,1.233062095,1.233062097,1.233062098,1.233062142
Romanian Liga II,2024-09-21,05:00:00,CS Mioveni,Arges Pitesti,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.15,15.5,1.07,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597504,5525359.0,1557297.0,58805.0,1.233143687,1.233143732,1.233143771,1.233143696,2.74,3.05,1.49,1.57,9.0,15.5,1.07,1.13,1.15,15.5,1.07,10.5,1.01,36.0,1.01,36.0,1.01,110.0,1.233143688,1.23314369,1.233143691,1.233143735
Romanian Liga II,2024-09-21,05:00:00,Concordia Chiajna,Metalul Buzau,1.37,1000.0,1.11,1000.0,1.12,1000.0,1.15,36.0,1.03,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597505,5367199.0,14925624.0,58805.0,1.233143597,1.233143642,1.233143681,1.233143606,3.2,3.95,1.34,1.45,14.5,36.0,1.03,1.08,1.15,36.0,1.03,10.5,1.01,1.29,1.1,3.8,1.01,1.44,1.233143598,1.2331436,1.233143601,1.233143645
Romanian Liga II,2024-09-21,05:00:00,FC Metaloglobus Bucuresti,ACS Viitorul Tg Jiu,1.43,1000.0,1.04,1000.0,1.04,1000.0,1.15,26.0,1.04,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597498,10805935.0,25576591.0,58805.0,1.233143957,1.233144002,1.233144041,1.233143966,2.96,3.6,1.39,1.51,11.5,26.0,1.04,1.1,1.15,26.0,1.04,10.5,1.01,1.31,1.01,3.4,1.01,1.46,1.233143958,1.23314396,1.233143961,1.233144005
Romanian Liga II,2024-09-21,05:00:00,ASA Unirea Ungheni,CS Afumati,2.38,1000.0,2.16,1000.0,2.62,1000.0,1.15,15.5,1.07,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597532,25484745.0,7290083.0,58805.0,1.233143417,1.233143462,1.233143501,1.233143426,2.74,3.05,1.49,1.57,9.2,15.5,1.07,1.13,1.15,15.5,1.07,10.5,1.01,1.85,1.01,1.72,1.01,1.61,1.233143418,1.23314342,1.233143421,1.233143465
Romanian Liga II,2024-09-21,05:00:00,FC Hunedoara,Muscelul Campulung,1.04,1.75,2.34,1000.0,2.34,1000.0,1.15,980.0,1.02,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597534,7223889.0,48127976.0,58805.0,1.233144134,1.233144137,1.233144181,1.233144182,3.4,4.3,1.31,1.41,16.5,55.0,1.02,1.07,1.15,990.0,1.02,10.5,1.01,1.71,2.32,36.0,1.01,1.71,1.233144183,1.233144144,1.233144135,1.233144136
Hong Kong Premier League,2024-09-21,05:00:00,Southern District,Wofoo Tai Po,1.01,9.4,2.02,3.35,1.01,110.0,1.43,3.1,1.47,3.3,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33608298,10268893.0,5204518.0,58805.0,1.233267699,1.233267702,1.233267746,1.233267747,3.15,3.9,1.35,1.46,2.16,36.0,1.03,1.87,2.16,36.0,1.03,1.87,1.42,1.99,1.11,990.0,1.05,110.0,1.233267748,1.233267709,1.2332677,1.233267701
Czech 2 Liga,2024-09-21,05:15:00,MFK Chrudim,MAS Taborsko,1.84,1000.0,2.42,1000.0,2.8,1000.0,1.25,26.0,1.04,5.6,1.12,980.0,1.12,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33603106,5727460.0,6998410.0,58805.0,1.233197457,1.233197502,1.233197541,1.233197466,2.72,3.6,1.38,1.58,1.25,26.0,1.04,5.4,1.25,26.0,1.04,5.6,1.05,1.7,1.07,2.22,1.01,1.55,1.233197458,1.23319746,1.233197461,1.233197505
Czech 2 Liga,2024-09-21,05:30:00,Sparta Prague B,Vyskov,1.8,3.45,2.7,4.1,2.88,1000.0,1.42,3.3,1.43,3.4,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33603094,5964774.0,4940266.0,58805.0,1.233197547,1.233197592,1.233197631,1.233197556,2.6,3.85,1.35,1.62,13.0,36.0,1.03,1.09,2.58,36.0,1.03,1.63,1.32,1.59,1.4,2.6,1.16,1.53,1.233197548,1.23319755,1.233197551,1.233197595
Romanian Liga II,2024-09-21,06:00:00,CSM Focsani,FC U Craiova 1948,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.15,26.0,1.04,10.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33597503,15289429.0,20135214.0,58805.0,1.233143777,1.233143822,1.233143861,1.233143786,2.96,3.45,1.41,1.51,11.0,26.0,1.04,1.1,1.15,26.0,1.04,10.5,1.01,36.0,1.01,36.0,1.01,110.0,1.233143778,1.23314378,1.233143781,1.233143825
