League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Finnish Veikkausliiga,2024-06-07,12:00:00,Haka,IFK Mariehamn,1.94,1.96,4.1,4.4,3.9,4.0,2.02,2.24,1.81,1.98,1.75,1.85,2.18,2.34,14.0,16.5,14.5,16.5,20.0,38.0,36.0,110.0,9.0,10.5,8.0,9.0,15.0,17.5,27.0,60.0,10.5,12.5,9.4,10.5,16.5,19.0,29.0,65.0,19.0,23.0,17.0,19.5,28.0,42.0,38.0,120.0,9.6,12.5,28.0,60.0,120.0,980.0,33317721,516339.0,1099216.0,58805.0,1.229537497,1.229537543,1.229537582,1.229537507
Finnish Veikkausliiga,2024-06-07,12:00:00,Lahti,FC Inter,3.75,3.85,2.02,2.06,3.95,4.0,2.1,2.22,1.83,1.91,1.73,1.81,2.24,2.38,15.5,18.5,9.8,11.0,12.0,14.0,21.0,27.0,14.0,17.5,8.0,9.4,9.6,11.5,17.5,22.0,18.5,32.0,14.0,17.0,16.0,19.5,27.0,36.0,48.0,980.0,32.0,46.0,27.0,55.0,55.0,980.0,23.0,42.0,10.0,14.0,80.0,980.0,33321367,139506.0,139505.0,58805.0,1.229594490,1.229594535,1.229594574,1.229594499
Finnish Veikkausliiga,2024-06-07,12:00:00,VPS,Ilves,2.84,2.96,2.58,2.64,3.6,3.75,2.1,2.26,1.8,1.91,1.68,1.75,2.34,2.48,14.0,980.0,11.0,980.0,13.5,980.0,22.0,980.0,11.0,980.0,7.2,980.0,10.0,980.0,17.5,980.0,15.0,980.0,10.5,980.0,12.0,980.0,28.0,980.0,25.0,980.0,19.0,980.0,23.0,980.0,46.0,980.0,16.5,980.0,14.0,980.0,95.0,1000.0,33321377,139511.0,1229635.0,58805.0,1.229594400,1.229594445,1.229594484,1.229594409
Finnish Veikkausliiga,2024-06-07,14:00:00,HJK Helsinki,SJK,2.04,2.12,3.8,4.1,3.65,3.85,2.04,2.2,1.83,1.97,1.74,1.84,2.2,2.36,14.0,18.5,14.0,19.0,23.0,36.0,50.0,95.0,9.4,12.5,7.6,9.4,14.0,19.5,32.0,55.0,11.5,16.0,9.6,12.0,14.5,22.0,27.0,65.0,21.0,30.0,17.5,26.0,22.0,42.0,36.0,120.0,10.5,16.5,25.0,55.0,100.0,980.0,33317994,6390.0,5418845.0,58805.0,1.229542714,1.229542759,1.229542798,1.229542723
Icelandic 1 Deild,2024-06-07,14:30:00,IR Reykjavik,IBV,1.06,110.0,1.23,1000.0,1.23,950.0,1.25,110.0,1.01,5.6,1.01,1000.0,1.01,1000.0,1.45,1000.0,2.76,1000.0,2.78,1000.0,1.03,1000.0,1.03,1000.0,2.86,1000.0,4.9,1000.0,8.4,1000.0,1.03,1000.0,1.03,1000.0,4.8,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33329442,4742652.0,198705.0,58805.0,1.229679017,1.229679062,1.229679101,1.229679026
Irish Division 1,2024-06-07,15:45:00,Cork City,Longford,1.35,1.4,9.4,13.0,4.9,5.7,2.0,2.2,1.83,2.0,2.2,2.44,1.69,1.82,5.2,980.0,3.45,980.0,3.65,980.0,3.75,1000.0,3.75,980.0,4.7,980.0,3.55,980.0,7.0,1000.0,3.85,8.2,4.5,980.0,3.45,980.0,7.0,1000.0,4.5,980.0,5.1,980.0,3.55,980.0,3.75,1000.0,3.65,7.4,3.75,1000.0,3.8,1000.0,33323939,298594.0,184330.0,58805.0,1.229628410,1.229628455,1.229628494,1.229628419
Irish Division 1,2024-06-07,15:45:00,Athlone Town,Wexford F.C,2.2,1000.0,1.34,1000.0,2.54,15.0,1.27,970.0,1.01,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.68,1000.0,2.42,1000.0,3.95,1000.0,2.76,1000.0,2.8,1000.0,3.45,1000.0,8.8,1000.0,2.84,1000.0,2.92,1000.0,5.2,1000.0,7.4,1000.0,3.65,1000.0,6.8,1000.0,7.2,1000.0,11.5,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33323937,4064631.0,22975264.0,58805.0,1.229628500,1.229628545,1.229628584,1.229628509
Irish Division 1,2024-06-07,15:45:00,Treaty United,Bray Wanderers,3.2,3.7,2.3,2.48,3.3,3.8,1.79,1.95,2.06,2.26,1.83,1.96,2.04,2.22,1.51,980.0,1.47,980.0,1.39,980.0,4.5,1000.0,1.25,980.0,1.4,980.0,1.4,980.0,8.0,980.0,1.36,980.0,3.35,980.0,1.36,980.0,1.4,1000.0,4.9,1000.0,1.4,1000.0,1.36,1000.0,1.35,1000.0,1.36,1000.0,1.36,980.0,4.2,1000.0,33323933,38594512.0,298591.0,58805.0,1.229628680,1.229628725,1.229628764,1.229628689
Irish Division 1,2024-06-07,15:45:00,Cobh Ramblers,Finn Harps,2.84,3.25,2.52,2.82,3.3,4.0,1.71,1.88,2.14,2.42,1.81,2.04,1.98,2.24,1.16,980.0,1.16,980.0,1.15,980.0,1.15,1000.0,1.16,980.0,1.26,980.0,1.16,980.0,1.15,1000.0,1.15,980.0,1.16,980.0,1.15,980.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,1.15,1000.0,33323934,392220.0,385761.0,58805.0,1.229628590,1.229628635,1.229628674,1.229628599
Irish Premier Division,2024-06-07,15:45:00,Drogheda,St Patricks,3.15,3.4,2.28,2.44,3.35,3.75,1.98,2.18,1.85,2.02,1.73,1.9,2.12,2.38,11.5,15.5,8.6,11.5,12.0,16.5,5.9,34.0,11.5,14.5,7.0,8.8,9.8,12.5,20.0,27.0,18.5,25.0,12.0,15.5,14.5,19.5,6.0,42.0,6.4,980.0,6.0,42.0,6.4,55.0,6.8,980.0,6.0,38.0,5.3,21.0,7.2,1000.0,33323984,184329.0,364471.0,58805.0,1.229628969,1.229629014,1.229629053,1.229628978
