League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Thai League 1,2024-08-27,09:00:00,Port FC,Sukhothai,1.05,1.32,1.04,1000.0,1.23,1000.0,2.74,4.2,1.31,1.57,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.92,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33523364,9255164.0,10915417.0,58805.0,1.232222093,1.232222138,1.232222177,1.232222102,1.01,1000.0,1.01,1000.0,34.0,1000.0,1.01,1.04,3.9,12.5,1.08,1.34,1.01,1.1,2.74,18.0,1.01,1.18,1.232222094,1.232222096,1.232222097,1.232222141
Saudi Professional League,2024-08-27,12:45:00,Al-Fateh (KSA),Al Ahli,5.3,6.4,1.58,1.64,4.7,5.2,2.74,3.0,1.5,1.58,1.61,1.71,2.42,2.62,6.2,980.0,5.5,15.0,10.5,13.5,14.5,18.0,6.2,980.0,10.0,12.5,8.4,11.5,11.5,16.0,7.0,980.0,6.0,980.0,5.6,980.0,6.2,980.0,7.6,980.0,7.2,980.0,7.0,980.0,7.2,980.0,6.8,980.0,3.55,6.4,7.8,1000.0,33521904,7196232.0,1252792.0,58805.0,1.232206639,1.232206649,1.232206638,1.232206648,3.75,4.8,1.26,1.36,5.0,36.0,1.03,1.05,5.0,8.8,1.13,1.25,2.56,2.76,1.18,1.24,1.23,1.28,1.23220663,1.232206642,1.232206643,1.232206653
Swedish Division 1,2024-08-27,13:30:00,Torns,Lunds BK,5.1,6.6,1.63,1.72,4.0,4.9,2.12,2.36,1.74,1.9,1.86,2.02,1.99,2.18,5.5,980.0,4.5,980.0,4.6,980.0,5.3,980.0,5.8,980.0,4.7,980.0,4.5,980.0,5.3,980.0,3.2,980.0,5.8,980.0,5.7,980.0,3.1,980.0,3.35,1000.0,3.3,980.0,3.3,980.0,3.3,1000.0,3.3,980.0,4.1,55.0,3.4,1000.0,33523207,6431904.0,4638301.0,58805.0,1.232222739,1.232222784,1.232222823,1.232222748,3.45,3.8,1.36,1.41,4.1,26.0,1.05,1.09,4.1,5.1,1.24,1.32,2.38,2.68,1.22,1.24,1.26,1.31,1.232222740,1.232222742,1.232222743,1.232222787
Faroe Premier League,2024-08-27,13:30:00,B36 Torshavn,Vikingur Gota,7.4,11.5,1.32,1.45,4.7,6.8,2.44,4.8,1.5,1.69,1.93,2.18,1.85,2.08,1.26,1000.0,1.23,980.0,1.28,980.0,2.98,980.0,2.36,1000.0,1.28,980.0,1.15,980.0,1.19,980.0,1.4,1000.0,2.34,1000.0,1.26,1000.0,1.26,1000.0,1.42,1000.0,1.4,1000.0,1.4,1000.0,1.26,1000.0,1.55,1000.0,1.23,980.0,1.26,1000.0,33528422,180563.0,4837320.0,58805.0,1.232305183,1.232305228,1.232305267,1.232305192,2.96,4.8,1.28,1.38,1.27,36.0,1.04,1.31,3.85,36.0,1.04,1.3,3.0,4.2,1.09,1.16,1.17,1.25,1.232305184,1.232305186,1.232305187,1.232305231
Friendly Matches,2024-08-27,14:00:00,SpVg Schonnebeck,Djk Adler Union Frintrop,1.23,1.33,4.5,130.0,5.3,32.0,2.26,990.0,1.24,1.34,1.56,1.73,2.36,2.76,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,1.5,1000.0,1.03,1000.0,1.5,1000.0,1.03,1000.0,1.03,1000.0,1.5,1000.0,1.03,1000.0,1.01,38.0,1.55,1000.0,1.03,1000.0,33531029,14846328.0,26999920.0,58805.0,1.232335094,1.232335139,1.232335178,1.232335103,5.6,8.8,1.14,1.22,1.02,1000.0,1.01,1.05,1.02,36.0,1.03,1.29,1.08,1.12,4.0,5.5,1.1,1.2,1.232335095,1.232335097,1.232335098,1.232335142
Swedish Superettan,2024-08-27,14:00:00,IK Brage,Helsingborgs,2.32,2.36,3.25,3.35,3.65,3.75,2.1,2.14,1.87,1.9,1.72,1.77,2.3,2.4,14.5,16.0,13.0,14.5,21.0,24.0,29.0,55.0,10.5,11.5,7.8,8.2,12.5,14.0,30.0,36.0,14.0,15.5,10.0,11.0,15.0,17.0,38.0,44.0,26.0,30.0,21.0,23.0,30.0,36.0,34.0,80.0,14.5,16.0,26.0,30.0,70.0,980.0,33511380,502308.0,764222.0,58805.0,1.232051658,1.232051703,1.232051742,1.232051667,3.4,3.55,1.39,1.41,14.5,18.0,1.06,1.08,4.2,4.5,1.29,1.31,1.43,1.45,1.74,1.76,1.36,1.38,1.232051659,1.232051661,1.232051662,1.232051706
Norwegian 3rd Division,2024-08-27,14:00:00,OS Turn Fotball,Asane Fotball II,1.14,1.46,3.45,110.0,5.7,32.0,1.83,55.0,1.05,1.74,1.52,1000.0,1.01,2.9,1.48,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,2.58,1000.0,2.68,1000.0,1.02,1000.0,1.02,1000.0,2.84,1000.0,2.98,1000.0,1.02,1000.0,1.02,1000.0,2.96,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.01,42.0,1.55,1000.0,1.02,1000.0,33530936,14466494.0,65894364.0,58805.0,1.232334692,1.232334737,1.232334776,1.232334701,5.5,11.0,1.1,1.23,1.02,1000.0,1.01,1.14,1.02,55.0,1.05,1.74,1.03,1.17,2.6,8.0,1.04,1.22,1.232334693,1.232334695,1.232334696,1.232334740
Spanish La Liga,2024-08-27,14:00:00,Mallorca,Sevilla,2.5,2.54,3.45,3.5,3.15,3.2,1.6,1.62,2.62,2.66,2.14,2.2,1.83,1.88,8.6,9.0,9.6,9.8,20.0,21.0,60.0,70.0,7.4,7.6,6.8,7.0,14.5,15.0,48.0,50.0,13.0,13.5,11.5,12.0,21.0,23.0,65.0,75.0,34.0,36.0,30.0,34.0,55.0,60.0,100.0,180.0,32.0,36.0,60.0,65.0,300.0,1000.0,33506927,10542.0,52480974.0,58805.0,1.231987587,1.231987571,1.231987586,1.231987596,2.56,2.6,1.63,1.64,8.4,8.6,1.13,1.14,2.82,2.86,1.54,1.55,1.4,1.41,1.65,1.67,1.45,1.47,1.231987589,1.231987591,1.231987592,1.231987574
Norwegian 1st Division,2024-08-27,14:00:00,Kongsvinger,Sandnes Ulf,1.32,1.36,8.2,10.5,6.4,7.4,3.35,3.5,1.4,1.43,1.67,1.81,2.24,2.48,5.6,48.0,5.7,60.0,5.9,980.0,16.0,980.0,12.0,18.0,13.0,19.5,5.5,44.0,6.0,980.0,10.0,13.5,10.0,12.5,19.5,29.0,5.9,980.0,11.0,15.0,11.5,14.5,5.5,32.0,5.9,980.0,2.34,3.7,6.0,980.0,6.2,980.0,33512266,774892.0,778909.0,58805.0,1.232064714,1.232064759,1.232064798,1.232064723,5.0,5.4,1.22,1.25,28.0,55.0,1.02,1.04,7.8,11.0,1.11,1.14,1.1,1.13,3.75,4.2,1.16,1.19,1.232064715,1.232064717,1.232064718,1.232064762
Swedish Superettan,2024-08-27,14:00:00,Utsiktens,Orebro,2.76,2.82,2.64,2.72,3.65,3.75,2.12,2.2,1.84,1.89,1.7,1.75,2.34,2.44,14.5,16.0,11.5,13.0,17.0,18.5,34.0,38.0,12.0,13.5,7.8,8.2,11.0,12.0,24.0,27.0,17.5,19.0,11.5,12.5,15.0,16.5,32.0,38.0,36.0,42.0,25.0,29.0,34.0,38.0,34.0,75.0,19.5,22.0,18.0,20.0,75.0,980.0,33511381,2382931.0,42617.0,58805.0,1.232051568,1.232051613,1.232051652,1.232051577,3.35,3.55,1.4,1.43,14.5,18.0,1.06,1.07,4.3,4.6,1.28,1.3,1.58,1.61,1.54,1.57,1.36,1.38,1.232051569,1.232051571,1.232051572,1.232051616
