League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Swedish Division 1,2024-06-27,14:00:00,Taby FK,Karlbergs BK,2.28,2.6,2.74,3.15,3.65,4.4,2.4,2.7,1.59,1.7,1.57,1.67,2.5,2.76,5.7,980.0,5.3,980.0,5.8,980.0,6.4,980.0,5.1,980.0,4.3,980.0,4.9,980.0,6.0,980.0,5.4,980.0,4.7,980.0,5.2,980.0,6.2,980.0,6.0,980.0,5.8,980.0,6.0,980.0,6.6,980.0,4.9,980.0,5.1,980.0,4.6,980.0,33373409,11502504.0,6406169.0,58805.0,1.230145439,1.230145484,1.230145523,1.230145448
Swedish Division 2,2024-06-27,14:30:00,Karlskrona,IF Lodde,1.34,1.46,7.2,12.0,4.6,9.0,2.66,3.4,1.46,1.6,1.81,1.97,2.02,2.22,1.49,980.0,2.72,1000.0,2.3,1000.0,2.92,1000.0,2.54,980.0,2.68,980.0,1.12,1000.0,1.12,1000.0,2.84,980.0,2.96,980.0,1.13,1000.0,1.11,1000.0,2.92,980.0,1.15,980.0,1.12,1000.0,1.13,1000.0,1.07,55.0,1.12,1000.0,1.12,1000.0,33374025,502419.0,8773440.0,58805.0,1.230148523,1.230148568,1.230148607,1.230148532
Swedish Division 2,2024-06-27,14:30:00,Qviding FIF,Lindome,2.06,2.36,2.72,3.4,4.2,6.8,3.4,4.4,1.31,1.4,1.47,1.48,3.05,3.1,1.62,980.0,1.64,1000.0,1.64,1000.0,1.6,980.0,1.64,1000.0,2.7,980.0,1.64,980.0,1.64,1000.0,1.64,1000.0,2.88,980.0,1.64,980.0,1.56,980.0,1.58,980.0,1.53,980.0,1.55,980.0,1.59,980.0,1.37,980.0,1.47,980.0,1.63,1000.0,33374026,9655084.0,3804864.0,58805.0,1.230148433,1.230148478,1.230148517,1.230148442
Uruguayan Segunda Division,2024-06-27,15:00:00,Juventud De Las Piedras,Colon FC,2.36,2.66,3.05,3.65,3.25,3.65,1.65,1.8,2.26,2.54,1.92,2.1,1.91,2.1,7.8,980.0,8.2,980.0,2.46,980.0,2.16,1000.0,6.8,980.0,6.4,980.0,4.3,980.0,2.12,980.0,10.5,980.0,10.0,980.0,2.44,980.0,2.16,1000.0,2.1,980.0,2.52,980.0,2.14,980.0,2.18,1000.0,2.06,980.0,2.12,980.0,2.18,1000.0,33374776,8947595.0,19339388.0,58805.0,1.230163651,1.230163696,1.230163735,1.230163660
Icelandic Urvalsdeild,2024-06-27,15:00:00,IF Vestri,Fram,3.2,3.3,2.26,2.3,3.85,4.0,2.4,2.46,1.68,1.72,1.62,1.69,2.46,2.6,15.5,24.0,11.5,16.0,14.5,20.0,5.5,36.0,15.0,20.0,8.0,10.0,9.6,14.0,18.0,26.0,20.0,30.0,11.5,17.0,13.0,19.5,23.0,36.0,5.0,60.0,5.3,40.0,5.7,44.0,5.2,80.0,4.3,25.0,3.7,13.0,5.1,980.0,33368846,10891674.0,808415.0,58805.0,1.230102001,1.230102046,1.230102085,1.230102010
Friendly Matches,2024-06-27,15:00:00,Cliftonville,The New Saints,5.3,6.0,1.59,1.69,4.3,5.7,2.84,3.3,1.45,1.53,1.58,1.72,2.32,2.7,1.21,1000.0,2.54,980.0,1.21,980.0,1.21,980.0,1.16,1000.0,1.21,980.0,1.27,980.0,1.19,980.0,1.16,1000.0,1.15,980.0,1.21,980.0,1.21,980.0,2.9,1000.0,1.16,1000.0,1.18,1000.0,1.19,1000.0,1.16,1000.0,1.12,55.0,1.18,1000.0,33375093,539979.0,3667304.0,58805.0,1.230165491,1.230165536,1.230165575,1.230165500
Icelandic Women's Matches,2024-06-27,15:00:00,Selfoss (W),Grotta (W),1.94,980.0,1.85,3.2,3.0,6.0,1.25,980.0,1.2,17.5,1.64,1.8,2.24,2.58,1.01,980.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,33374186,5586156.0,11217013.0,58805.0,1.230150355,1.230150400,1.230150439,1.230150364
Icelandic 3 Deild,2024-06-27,15:30:00,Vidir Gardur,Sindri,1.21,3.0,2.36,26.0,2.58,16.0,1.25,980.0,1.01,18.0,1.01,1000.0,1.01,1000.0,1.48,980.0,1.02,1000.0,2.28,1000.0,1.02,1000.0,1.02,1000.0,2.84,1000.0,1.02,1000.0,1.02,1000.0,2.8,1000.0,2.92,1000.0,1.02,1000.0,1.02,1000.0,2.94,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,33374301,3149607.0,4742654.0,58805.0,1.230179004,1.230179007,1.230179051,1.230179052
Icelandic Women's Matches,2024-06-27,15:30:00,HK Vikingur (W),Afturelding M (W),1.85,2.1,3.45,4.2,3.9,4.8,2.34,2.76,1.57,1.74,1.6,1.73,2.36,2.66,3.9,980.0,3.8,980.0,4.0,980.0,4.3,980.0,3.5,980.0,3.3,12.5,11.5,980.0,4.1,980.0,10.5,980.0,3.35,980.0,12.0,980.0,4.1,980.0,3.9,980.0,3.75,980.0,4.0,980.0,4.3,980.0,3.15,55.0,4.0,980.0,4.5,980.0,33374187,5330937.0,45157009.0,58805.0,1.230150265,1.230150310,1.230150349,1.230150274
Friendly Matches,2024-06-27,15:30:00,E Stirling,Ayr,9.2,980.0,1.11,1.13,8.8,22.0,4.0,5.2,1.24,1.33,1.92,2.22,1.82,2.08,1.18,1000.0,5.9,980.0,9.0,980.0,7.4,980.0,2.66,1000.0,1.19,980.0,1.25,980.0,11.0,980.0,2.88,1000.0,7.6,1000.0,7.2,1000.0,1.19,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,8.2,1000.0,1.9,2.46,1.22,1000.0,33374519,729808.0,48005.0,58805.0,1.230187734,1.230187737,1.230187781,1.230187782
