League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Liga MX,2024-01-20,00:00:00,FC Juarez,Cruz Azul,2.98,3.2,2.58,2.74,3.2,3.45,2.8,3.2,1.46,1.56,1.39,1.48,3.1,3.55,1.09,1.12,9.4,11.5,3.25,15.5,1.07,1.12,3.25,3.8,1.35,1.43,1.82,1.92,2.08,2.22,1.28,1.36,3.8,4.6,1.1,1.36,3.8,13.5,1.03,1.07,3.8,55.0,1.01,1.03,6.4,1000.0,1.01,1.03,6.4,980.0,1.01,1.03,6.4,1000.0,1.83,1.97,2.02,2.2,10.0,12.0,9.2,11.0,15.0,17.0,30.0,38.0,9.6,11.5,6.6,7.6,11.0,13.0,23.0,32.0,15.5,21.0,11.0,13.5,16.0,19.5,36.0,50.0,34.0,48.0,27.0,38.0,10.5,55.0,10.5,980.0,8.8,36.0,8.2,28.0,11.5,1000.0,32907363,10002706.0,328204.0,58805.0,1.223081981,1.223081984,1.223081986,1.223081979,1.223081985,1.223082029,1.223082026,1.223082030,1.223082027,1.223081989,1.223081987,1.223081980,1.223081978,1.223082065,1.223081990
Mexican Liga MX,2024-01-20,00:00:00,Atletico San Luis,Pumas UNAM,2.82,2.92,2.7,2.8,3.4,3.55,2.78,3.25,1.45,1.57,1.4,1.52,2.96,3.5,1.09,1.14,8.4,11.5,3.3,15.5,1.07,1.12,3.3,4.2,1.32,1.44,1.89,1.95,2.04,2.12,1.34,1.39,3.6,3.95,1.12,1.39,3.6,13.5,1.04,1.07,3.6,55.0,1.01,1.03,6.0,1000.0,1.01,1.03,6.0,1000.0,1.01,1.03,15.0,1000.0,1.76,1.87,2.14,2.3,10.5,14.0,9.0,12.5,14.5,19.5,29.0,44.0,9.8,12.5,6.8,8.6,10.0,14.0,23.0,34.0,16.5,21.0,11.0,14.0,15.0,20.0,34.0,50.0,32.0,48.0,26.0,36.0,6.0,55.0,6.4,120.0,5.6,32.0,5.5,29.0,6.6,1000.0,32907361,10781957.0,328955.0,58805.0,1.223082071,1.223082074,1.223082076,1.223082069,1.223082075,1.223082119,1.223082116,1.223082120,1.223082117,1.223082079,1.223082077,1.223082070,1.223082068,1.223082155,1.223082080
Japanese Women's Matches,2024-01-20,02:00:00,Urawa Red Diamonds (W),Sanfrecce Hiroshima (W),1.36,1.57,6.8,9.6,4.6,6.6,2.94,110.0,1.33,1.52,1.44,21.0,1.05,3.4,1.01,1.18,1.01,1000.0,3.75,110.0,1.01,1.36,3.75,5.2,1.24,1.36,2.02,2.46,1.68,1.98,1.37,1.54,2.86,3.7,1.04,1.54,2.86,26.0,1.03,1.54,2.86,110.0,1.01,1.54,2.86,1000.0,1.01,1.54,2.86,1000.0,1.01,1.54,2.86,1000.0,1.88,2.26,1.79,2.14,4.7,23.0,5.0,32.0,5.5,1000.0,1.39,1000.0,6.2,8.6,8.0,14.0,5.1,36.0,1.61,1000.0,7.0,9.8,3.75,10.0,5.1,34.0,1.61,1000.0,4.3,15.0,4.4,17.5,5.1,36.0,1.39,1000.0,3.55,8.6,1.21,1000.0,1.22,1000.0,32951871,37681031.0,41777760.0,58805.0,1.223751698,1.223751701,1.223751703,1.223751696,1.223751702,1.223751746,1.223751743,1.223751747,1.223751744,1.223751706,1.223751704,1.223751697,1.223751695,1.223751782,1.223751707
Australian A-League Women,2024-01-20,03:00:00,Melbourne City (W),Wellington Phoenix (W),1.42,1.47,6.4,10.0,5.3,7.8,4.0,5.7,1.21,1.34,1.68,2.04,1.97,2.48,1.2,1.32,4.1,980.0,1.02,980.0,1.01,1.05,1.03,980.0,1.01,990.0,2.72,3.25,1.45,1.59,1.71,2.0,2.0,2.42,1.29,1.4,3.55,4.4,1.1,980.0,1.01,110.0,1.04,1.1,11.0,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.63,1.91,2.1,2.6,10.0,980.0,5.2,980.0,5.2,980.0,5.5,980.0,10.5,16.0,11.0,16.5,5.0,980.0,5.3,980.0,9.2,13.5,8.4,13.0,15.5,980.0,5.2,980.0,10.5,15.5,11.0,17.0,18.5,980.0,5.3,980.0,2.72,5.2,5.2,980.0,5.6,1000.0,32939413,10475264.0,41934374.0,58805.0,1.223604130,1.223604216,1.223604217,1.223604218,1.223604132,1.223604133,1.223604134,1.223604135,1.223604136,1.223604137,1.223604138,1.223604139,1.223604140,1.223604209,1.223604131
Australian A-League Women,2024-01-20,03:00:00,Canberra United (W),Melbourne Victory (W),4.4,5.0,1.66,1.77,4.5,5.1,4.0,4.7,1.27,1.33,1.69,1.84,2.2,2.46,1.2,1.25,5.1,6.0,1.02,980.0,1.01,1.05,1.03,980.0,1.01,990.0,2.7,3.15,1.47,1.59,1.69,1.86,2.16,2.46,1.29,1.37,3.7,4.4,1.1,980.0,1.01,36.0,1.02,1.09,12.0,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.54,1.66,2.52,2.82,8.4,980.0,6.6,980.0,6.4,980.0,7.2,980.0,8.0,980.0,6.0,980.0,5.7,980.0,6.8,980.0,4.1,980.0,7.2,980.0,7.0,980.0,7.8,980.0,2.68,980.0,8.8,980.0,3.55,980.0,2.64,980.0,2.54,980.0,4.2,6.6,1.86,1000.0,32938316,8839009.0,8839001.0,58805.0,1.223604025,1.223604111,1.223604112,1.223604113,1.223604027,1.223604028,1.223604029,1.223604030,1.223604031,1.223604032,1.223604033,1.223604034,1.223604035,1.223604104,1.223604026
Hong Kong Sapling Cup,2024-01-20,04:00:00,Hong Kong Rangers FC,Lee Man Warriors,1.27,110.0,1.27,110.0,1.05,110.0,4.0,8.8,1.13,1.34,1.02,2.06,1.96,110.0,1.24,1000.0,1.01,5.2,1.02,110.0,1.01,1.08,1.21,1000.0,1.01,55.0,1.2,1000.0,1.01,13.5,1.2,1000.0,1.78,13.5,1.05,110.0,1.01,21.0,1.01,110.0,1.01,110.0,1.01,110.0,1.01,1000.0,1.01,110.0,1.01,1000.0,1.01,110.0,1.01,1000.0,1.04,1000.0,1.01,1000.0,1.45,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,36.0,1000.0,32953065,6620679.0,14446187.0,58805.0,1.223765195,1.223765198,1.223765200,1.223765193,1.223765199,1.223765243,1.223765240,1.223765244,1.223765241,1.223765203,1.223765201,1.223765194,1.223765192,1.223765279,1.223765204
Hong Kong Sapling Cup,2024-01-20,04:00:00,Kitchee SC,North District,1.11,1.5,3.3,110.0,3.1,110.0,4.0,21.0,1.05,1.34,1.5,1000.0,1.3,1000.0,1.23,2.34,1.75,5.4,3.0,1000.0,1.01,1.05,3.0,110.0,1.04,1.23,3.0,110.0,1.12,1.5,2.0,26.0,1.3,2.0,1.3,2.68,1.6,4.4,1.12,1.5,3.0,13.5,1.04,1.2,6.0,36.0,1.02,1.1,6.0,1000.0,1.01,1.05,6.0,1000.0,1.04,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,17.5,1000.0,32953070,5696599.0,21137551.0,58805.0,1.223765089,1.223765092,1.223765094,1.223765087,1.223765093,1.223765138,1.223765134,1.223765139,1.223765135,1.223765097,1.223765095,1.223765088,1.223765086,1.223765175,1.223765098
Indian Super Cup,2024-01-20,05:30:00,Jamshedpur FC,Shillong Lajong,1.53,1.83,4.5,7.0,1.01,950.0,1.01,4.4,1.01,1.45,1.5,1.77,1.05,1000.0,1.01,1.22,1.01,8.2,1.02,990.0,1.02,990.0,1.5,1000.0,1.04,1.87,1.46,26.0,1.55,1.87,1.46,1.72,1.56,13.5,1.12,1.72,1.56,13.5,1.03,1.72,2.38,48.0,1.02,1.72,2.38,1000.0,1.01,1.72,2.4,1000.0,1.01,1.72,2.4,1000.0,1.61,1.97,2.04,21.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.38,13.0,1.38,12.5,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.37,12.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,8.6,1.31,1000.0,1.31,1000.0,32951923,16081873.0,4278728.0,58805.0,1.223751338,1.223751341,1.223751343,1.223751336,1.223751342,1.223751386,1.223751383,1.223751387,1.223751384,1.223751346,1.223751344,1.223751337,1.223751335,1.223751422,1.223751347
Australian A-League Men,2024-01-20,05:45:00,Western Sydney Wanderers,Perth Glory,1.56,1.57,6.2,6.4,4.9,5.0,4.1,4.9,1.25,1.32,1.67,1.84,2.2,2.5,1.19,1.26,4.8,6.2,26.0,36.0,1.03,1.04,5.8,7.8,1.15,1.21,2.82,2.9,1.52,1.55,1.72,1.79,2.28,2.4,1.28,1.34,3.95,4.6,1.11,1.15,7.8,10.5,1.03,1.06,18.0,36.0,1.01,1.06,18.0,980.0,1.01,1.01,18.0,1000.0,1.67,1.7,2.44,2.5,24.0,28.0,28.0,32.0,48.0,55.0,44.0,130.0,12.5,14.0,11.0,12.5,21.0,23.0,55.0,70.0,11.0,12.0,9.4,10.0,16.5,18.5,29.0,60.0,14.0,15.5,13.5,14.0,22.0,24.0,60.0,70.0,5.3,5.8,40.0,50.0,17.0,980.0,32923281,6480414.0,370132.0,58805.0,1.223329862,1.223329948,1.223329949,1.223329950,1.223329864,1.223329865,1.223329866,1.223329867,1.223329868,1.223329869,1.223329870,1.223329871,1.223329872,1.223329941,1.223329863
Bangladesh Premier League,2024-01-20,05:45:00,Abahani Ltd,Sheikh Russel KC,1.29,980.0,1.04,980.0,1.88,950.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.27,110.0,1.01,4.6,1.27,110.0,1.01,4.6,1.27,1000.0,1.01,4.6,1.08,110.0,1.01,15.5,1.05,110.0,1.01,26.0,1.03,110.0,1.01,110.0,1.01,110.0,1.01,1000.0,1.01,110.0,1.01,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,32950662,12658105.0,9216130.0,58805.0,1.223736244,1.223736247,1.223736249,1.223736242,1.223736248,1.223736292,1.223736289,1.223736293,1.223736290,1.223736252,1.223736250,1.223736243,1.223736241,1.223736328,1.223736253
