League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Bolivian Liga de Futbol Profesional,2024-04-07,20:30:00,Real Tomayapo,Club Real Santa Cruz,1.17,1.27,6.4,23.0,5.9,17.5,1.02,110.0,1.08,110.0,1.25,1.42,2.52,5.0,1.04,1.11,1.28,55.0,1.02,18.0,1.02,990.0,1.54,8.2,1.14,2.82,2.12,2.38,1.72,1.9,1.17,2.48,1.67,7.0,1.04,2.48,1.68,36.0,1.02,1.13,3.8,250.0,1.01,13.5,1.15,1000.0,1.01,1.1,11.0,1000.0,1.01,2.54,1.64,1000.0,2.1,55.0,1.64,1.9,2.02,1000.0,2.02,1000.0,2.02,1000.0,2.02,1000.0,5.6,8.2,5.1,13.5,5.1,55.0,2.0,330.0,4.5,70.0,7.2,990.0,5.1,990.0,2.0,240.0,6.8,16.5,2.0,1000.0,2.02,1000.0,2.0,360.0,2.84,8.4,2.0,730.0,2.0,450.0,33166637,25238903.0,25226893.0,58805.0,1.227148686,1.227148689,1.227148691,1.227148684,1.227148690,1.227148734,1.227148731,1.227148735,1.227148732,1.227148694,1.227148692,1.227148685,1.227148683,1.227148770,1.227148695
Chilean Segunda Division,2024-04-07,21:00:00,CD Trasandino,CD General Velasquez,3.15,3.35,2.32,2.42,3.6,3.9,2.58,2.74,1.58,1.63,1.31,1.35,3.9,4.2,1.08,1.1,11.5,13.5,12.0,14.5,1.08,1.09,3.45,3.8,1.36,1.41,1.83,1.9,2.12,2.22,1.33,1.37,3.75,4.1,1.11,1.14,8.2,9.8,1.04,1.05,18.5,28.0,1.01,1.02,50.0,300.0,1.01,1.01,50.0,850.0,1.01,1.01,1.08,1000.0,1.8,2.04,1.97,2.26,10.5,15.5,8.2,12.0,11.5,16.5,28.0,38.0,10.5,15.0,7.0,8.8,10.0,12.5,21.0,29.0,10.0,25.0,11.5,16.0,16.0,20.0,32.0,48.0,6.0,65.0,29.0,42.0,40.0,60.0,60.0,130.0,6.0,42.0,5.4,23.0,25.0,1000.0,33172157,6615201.0,18471383.0,58805.0,1.227249728,1.227249731,1.227249733,1.227249726,1.227249732,1.227249776,1.227249773,1.227249777,1.227249774,1.227249736,1.227249734,1.227249727,1.227249725,1.227249812,1.227249737
Paraguayan Division Profesional,2024-04-07,21:00:00,2 de Mayo,Sportivo Luqueno,2.22,2.28,4.0,4.3,3.1,3.3,1.81,1.9,2.12,2.24,1.15,1.17,7.0,7.6,1.02,1.03,36.0,60.0,7.0,7.6,1.15,1.17,2.44,2.52,1.66,1.69,1.44,1.47,3.15,3.3,1.14,1.16,7.2,8.2,1.04,1.06,19.5,23.0,1.01,1.02,55.0,110.0,1.01,1.01,100.0,1000.0,1.01,1.01,100.0,1000.0,1.01,1.01,100.0,1000.0,2.38,2.62,1.62,1.7,6.6,7.8,9.2,11.0,22.0,32.0,9.8,120.0,5.9,6.8,6.6,7.4,17.5,21.0,55.0,100.0,9.8,11.5,10.5,13.5,24.0,38.0,9.2,160.0,25.0,36.0,26.0,42.0,8.6,100.0,9.2,360.0,27.0,46.0,9.0,160.0,390.0,1000.0,33163035,17951948.0,2844791.0,58805.0,1.227083681,1.227083684,1.227083686,1.227083679,1.227083685,1.227083729,1.227083726,1.227083730,1.227083727,1.227083689,1.227083687,1.227083680,1.227083678,1.227083765,1.227083690
Chilean Primera Division,2024-04-07,21:00:00,Union Espanola,Universidad de Chile,2.9,2.96,2.64,2.72,3.45,3.6,2.86,2.98,1.51,1.54,1.32,1.36,3.8,4.1,1.08,1.09,12.5,14.0,11.5,13.5,1.08,1.1,3.65,3.8,1.35,1.38,1.91,1.92,2.08,2.1,1.33,1.35,3.85,4.1,1.12,1.15,7.8,8.8,1.04,1.05,21.0,25.0,1.01,1.02,44.0,110.0,1.01,1.01,65.0,1000.0,1.01,1.01,100.0,1000.0,1.81,1.96,2.04,2.24,10.5,13.5,9.2,11.0,13.5,18.0,32.0,46.0,11.0,11.5,7.2,7.8,11.0,12.5,24.0,34.0,16.0,20.0,10.5,14.0,16.5,21.0,36.0,50.0,40.0,55.0,26.0,38.0,38.0,55.0,85.0,120.0,26.0,42.0,22.0,32.0,120.0,1000.0,33155960,1388376.0,1069686.0,58805.0,1.226960294,1.226960297,1.226960299,1.226960292,1.226960298,1.226960342,1.226960339,1.226960343,1.226960340,1.226960302,1.226960300,1.226960293,1.226960291,1.226960378,1.226960303
Argentinian Copa de la Liga Profesional,2024-04-07,21:00:00,River Plate,Rosario Central,1.27,1.28,14.5,15.0,6.4,7.0,3.5,3.7,1.37,1.4,1.51,1.55,2.8,2.94,1.12,1.14,8.4,9.2,17.5,20.0,1.05,1.06,4.6,4.7,1.27,1.28,2.26,2.28,1.78,1.79,1.48,1.5,3.0,3.1,1.2,1.22,5.5,6.0,1.07,1.08,13.0,15.0,1.02,1.03,30.0,50.0,1.01,1.02,60.0,1000.0,1.01,1.01,80.0,1000.0,2.3,2.52,1.66,1.77,18.5,20.0,36.0,48.0,120.0,160.0,360.0,1000.0,7.2,8.0,13.0,14.5,48.0,60.0,180.0,340.0,6.4,6.8,10.0,11.5,34.0,42.0,170.0,260.0,8.4,9.0,13.5,15.0,44.0,50.0,160.0,290.0,5.2,5.3,120.0,1000.0,65.0,1000.0,33139020,194515.0,220949.0,58805.0,1.226678974,1.226678977,1.226678979,1.226678972,1.226678978,1.226679022,1.226679019,1.226679023,1.226679020,1.226678982,1.226678980,1.226678973,1.226678971,1.226679058,1.226678983
Guatemalan Primera Division de Ascenso,2024-04-07,22:00:00,CSD Sacachispas,Cuilapa FC,1.37,1.47,8.4,12.5,4.4,6.2,3.25,3.5,1.4,1.44,1.48,1.56,2.78,3.15,1.12,1.15,7.2,12.5,8.6,18.0,1.06,1.08,3.7,4.6,1.28,1.36,1.96,2.24,1.81,2.06,1.37,1.46,3.2,3.7,1.13,1.2,3.2,15.5,1.05,1.07,1.23,110.0,1.01,1.03,1.23,970.0,1.01,1.02,1.26,980.0,1.01,1.01,1.2,1000.0,2.12,2.4,1.71,1.88,13.0,18.5,7.2,980.0,5.6,980.0,100.0,1000.0,6.2,8.0,9.8,12.5,7.4,980.0,100.0,1000.0,6.8,8.8,8.8,11.0,5.6,980.0,100.0,980.0,10.0,16.5,13.0,18.0,6.2,980.0,100.0,1000.0,5.1,7.8,5.1,1000.0,5.3,1000.0,33172397,36563900.0,59044303.0,58805.0,1.227258567,1.227258570,1.227258572,1.227258565,1.227258571,1.227258615,1.227258612,1.227258616,1.227258613,1.227258575,1.227258573,1.227258566,1.227258564,1.227258651,1.227258576
Colombian Primera A,2024-04-07,22:20:00,La Equidad,Boyaca Chico,1.59,1.61,6.6,7.0,4.2,4.5,3.6,4.2,1.33,1.38,1.71,1.77,2.3,2.42,1.2,1.32,4.1,6.0,14.5,15.5,1.07,1.08,4.1,4.4,1.3,1.32,2.16,2.2,1.83,1.86,1.43,1.47,3.15,3.3,1.16,1.19,6.4,7.0,1.06,1.07,14.5,18.0,1.01,1.03,38.0,110.0,1.01,1.01,110.0,1000.0,1.01,1.01,300.0,1000.0,1.97,2.02,1.99,2.04,15.0,17.0,20.0,23.0,48.0,55.0,90.0,210.0,8.0,8.8,8.8,10.5,22.0,25.0,70.0,95.0,8.8,9.8,8.6,9.6,20.0,23.0,50.0,90.0,13.0,14.5,14.5,16.0,30.0,34.0,95.0,140.0,7.6,8.6,15.5,110.0,16.5,1000.0,33155865,4082025.0,3636902.0,58805.0,1.226955955,1.226955958,1.226955960,1.226955953,1.226955959,1.226956003,1.226956000,1.226956004,1.226956001,1.226955963,1.226955961,1.226955954,1.226955952,1.226956039,1.226955964
Honduras Liga Nacional,2024-04-07,22:30:00,CD Olimpia,Real Espana,1.45,1.49,8.2,10.5,4.6,5.4,3.5,3.8,1.36,1.4,1.54,1.59,2.7,2.86,1.14,1.16,7.2,8.4,2.66,21.0,1.05,1.06,3.9,5.2,1.24,1.32,2.1,2.34,1.75,1.9,1.41,1.55,2.78,3.75,1.15,1.22,5.6,8.8,1.05,1.09,5.6,21.0,1.01,1.04,1.23,110.0,1.01,1.02,1.26,1000.0,1.01,1.01,1.2,1000.0,1.99,2.24,1.81,2.02,4.1,24.0,4.1,1000.0,46.0,1000.0,100.0,1000.0,7.2,980.0,9.2,980.0,25.0,1000.0,75.0,1000.0,1.44,980.0,2.8,980.0,19.5,1000.0,80.0,1000.0,10.0,980.0,12.0,980.0,28.0,1000.0,95.0,1000.0,1.71,980.0,4.7,1000.0,4.7,1000.0,33166252,1395933.0,4065664.0,58805.0,1.227142353,1.227142356,1.227142358,1.227142351,1.227142357,1.227142401,1.227142398,1.227142402,1.227142399,1.227142361,1.227142359,1.227142352,1.227142350,1.227142437,1.227142362
