League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Swiss Challenge League,2025-12-10,14:00:00,Stade Lausanne-Ouchy,Neuchatel Xamax,1.78,1.85,4.1,4.7,4.2,4.7,2.5,2.84,1.55,1.66,1.58,1.71,2.4,2.72,19.0,26.0,19.0,24.0,9.4,48.0,11.0,120.0,11.0,13.5,9.2,10.5,16.0,18.5,9.8,48.0,11.5,14.5,9.4,10.5,14.5,16.5,9.8,55.0,17.0,21.0,14.5,17.5,22.0,26.0,10.5,1000.0,6.8,8.0,26.0,46.0,12.0,1000.0,35037875,5805890.0,65779.0,58805.0,1.251414653,1.251414656,1.251414700,1.251414701,3.45,5.2,1.23,1.41,8.0,36.0,1.03,1.07,5.3,6.6,1.18,1.24,1.27,1.32,2.16,2.28,1.27,1.31,1.251414702,1.251414663,1.251414654,1.251414655
UEFA Champions League,2025-12-10,14:45:00,Villarreal,FC Copenhagen,1.45,1.46,8.2,8.6,5.2,5.3,2.46,2.58,1.64,1.68,1.89,1.95,2.06,2.14,20.0,22.0,30.0,32.0,65.0,75.0,48.0,260.0,9.6,10.5,10.5,11.5,27.0,29.0,95.0,110.0,8.6,9.0,9.4,9.8,21.0,23.0,80.0,95.0,11.5,12.5,13.0,14.0,28.0,30.0,95.0,120.0,5.3,5.7,44.0,110.0,60.0,1000.0,35004052,28191.0,52533356.0,58805.0,1.251082460,1.251082399,1.251082459,1.251082470,3.75,4.4,1.3,1.35,20.0,26.0,1.04,1.06,5.4,5.7,1.21,1.23,1.13,1.14,3.15,3.25,1.23,1.24,1.251082462,1.251082464,1.251082465,1.251082403
UEFA Champions League,2025-12-10,14:45:00,Qarabag FK,Ajax,2.04,2.06,3.7,3.75,4.1,4.2,2.44,2.52,1.66,1.7,1.62,1.65,2.52,2.62,19.0,21.0,17.5,18.5,27.0,30.0,55.0,70.0,12.0,13.0,8.6,9.2,14.0,15.0,34.0,38.0,13.5,15.0,9.8,10.5,14.5,16.0,36.0,40.0,22.0,25.0,17.5,18.5,25.0,28.0,55.0,65.0,9.8,10.5,25.0,28.0,85.0,1000.0,35004051,10583858.0,52494689.0,58805.0,1.251082599,1.251082538,1.251082598,1.251082609,3.75,4.2,1.32,1.36,18.0,22.0,1.04,1.06,5.1,5.5,1.22,1.24,1.36,1.38,1.94,1.97,1.31,1.33,1.251082601,1.251082603,1.251082604,1.251082542
Bolivian Liga de Futbol Profesional,2025-12-10,16:00:00,Blooming Santa Cruz,Aurora,1.52,1.72,4.5,6.4,4.3,5.5,2.5,3.35,1.45,1.66,1.56,1.76,2.32,2.78,5.4,32.0,5.4,1000.0,5.8,55.0,6.2,1000.0,4.6,15.5,4.4,13.5,5.2,25.0,5.9,75.0,4.5,14.5,4.1,11.5,4.8,19.0,5.9,60.0,4.8,19.0,4.6,16.0,5.2,27.0,6.0,1000.0,3.25,6.6,5.7,1000.0,6.4,1000.0,35043678,10259108.0,893608.0,58805.0,1.251494909,1.251494954,1.251494993,1.251494918,3.65,5.5,1.22,1.36,1.1,1000.0,1.01,1.21,3.45,8.0,1.16,1.24,1.18,1.26,2.38,2.94,1.22,1.31,1.251494910,1.251494912,1.251494913,1.251494957
Dutch Eerste Divisie,2025-12-10,16:00:00,Vitesse Arnhem,RKC Waalwijk,2.7,3.0,2.38,2.64,3.75,4.2,2.4,2.7,1.59,1.71,1.54,1.65,2.52,2.82,19.5,1000.0,13.0,15.5,16.5,1000.0,8.0,1000.0,14.0,17.0,8.2,10.0,10.5,13.0,20.0,25.0,19.0,1000.0,11.0,13.5,12.5,15.5,23.0,1000.0,8.4,1000.0,22.0,1000.0,7.8,1000.0,8.8,1000.0,12.5,18.0,10.0,14.5,10.0,1000.0,35040218,56363.0,3954225.0,58805.0,1.251457329,1.251457332,1.251457378,1.251457379,3.8,4.4,1.29,1.36,15.0,36.0,1.03,1.07,5.1,6.0,1.2,1.25,1.61,1.73,1.5,1.59,1.31,1.37,1.251457380,1.251457340,1.251457330,1.251457331
English National League,2025-12-10,16:45:00,Carlisle,Woking,1.49,1.6,6.6,9.2,4.3,5.0,2.12,2.42,1.71,1.9,1.85,2.04,1.96,2.18,16.5,24.0,21.0,32.0,4.0,75.0,4.2,1000.0,7.8,11.0,9.0,13.0,19.5,34.0,4.1,1000.0,8.2,12.0,8.6,12.5,19.0,27.0,4.1,1000.0,12.0,17.0,13.5,19.5,3.85,42.0,4.1,1000.0,5.5,8.8,4.1,1000.0,4.2,1000.0,35026341,18561.0,41998.0,58805.0,1.251312798,1.251312801,1.251312845,1.251312846,3.05,4.6,1.28,1.49,14.0,24.0,1.05,1.07,4.3,5.8,1.25,1.31,1.12,1.18,2.68,3.05,1.25,1.31,1.251312847,1.251312808,1.251312799,1.251312800
UEFA Champions League,2025-12-10,17:00:00,Real Madrid,Man City,2.6,2.64,2.68,2.7,4.0,4.1,2.8,2.86,1.53,1.55,1.49,1.53,2.92,3.05,24.0,25.0,17.0,18.5,21.0,22.0,38.0,40.0,17.5,18.5,9.4,9.6,12.0,12.5,21.0,23.0,20.0,22.0,12.5,13.0,13.0,13.5,26.0,27.0,32.0,38.0,21.0,23.0,25.0,27.0,46.0,48.0,11.5,12.5,12.0,13.0,50.0,340.0,35004028,2426.0,47999.0,58805.0,1.251083155,1.251083094,1.251083154,1.251083165,4.2,4.9,1.26,1.31,22.0,34.0,1.04,1.05,6.4,7.0,1.17,1.19,1.58,1.6,1.6,1.63,1.32,1.34,1.251083157,1.251083159,1.251083160,1.251083098
UEFA Champions League,2025-12-10,17:00:00,Benfica,Napoli,2.48,2.52,3.3,3.35,3.35,3.4,1.81,1.85,2.16,2.22,1.87,1.93,2.08,2.14,11.0,12.0,11.0,12.0,19.5,21.0,50.0,60.0,9.2,9.6,7.0,7.4,13.0,14.0,36.0,40.0,13.5,14.5,11.0,11.5,17.5,18.5,46.0,55.0,30.0,34.0,25.0,28.0,40.0,44.0,38.0,110.0,21.0,25.0,36.0,42.0,24.0,1000.0,35004095,48783.0,676464.0,58805.0,1.251081747,1.251081686,1.251081746,1.251081757,2.94,3.25,1.45,1.51,11.0,12.5,1.08,1.1,3.55,3.65,1.38,1.4,1.42,1.44,1.66,1.68,1.41,1.43,1.251081749,1.251081751,1.251081752,1.251081690
UEFA Champions League,2025-12-10,17:00:00,Club Brugge,Arsenal,9.8,10.5,1.38,1.39,5.6,5.8,2.5,2.6,1.64,1.66,1.97,2.04,1.98,2.04,21.0,23.0,9.4,9.8,8.2,8.6,10.5,11.5,32.0,36.0,11.5,12.5,9.6,9.8,12.5,13.5,75.0,90.0,32.0,34.0,23.0,25.0,29.0,32.0,42.0,360.0,42.0,140.0,95.0,120.0,100.0,130.0,120.0,140.0,4.9,5.1,40.0,1000.0,35004058,10762.0,1096.0,58805.0,1.251082025,1.251081964,1.251082024,1.251082035,3.95,4.5,1.29,1.34,21.0,24.0,1.04,1.05,5.4,5.7,1.21,1.23,3.55,3.65,1.1,1.12,1.2,1.22,1.251082027,1.251082029,1.251082030,1.251081968
UEFA Champions League,2025-12-10,17:00:00,Juventus,Pafos FC,1.18,1.19,22.0,23.0,9.0,9.2,2.94,3.1,1.48,1.52,2.34,2.46,1.69,1.74,30.0,36.0,32.0,970.0,48.0,1000.0,60.0,1000.0,9.8,11.0,18.0,21.0,34.0,1000.0,110.0,450.0,7.2,7.8,11.5,13.0,26.0,160.0,50.0,310.0,7.4,8.2,12.5,14.5,40.0,48.0,50.0,1000.0,3.15,3.35,100.0,1000.0,60.0,1000.0,35004038,52475015.0,9124224.0,58805.0,1.251082877,1.251082816,1.251082876,1.251082887,4.5,5.0,1.25,1.29,28.0,36.0,1.03,1.04,6.6,7.4,1.16,1.18,1.04,1.05,6.2,6.6,1.12,1.13,1.251082879,1.251082881,1.251082882,1.251082820
