League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Women's Matches,2024-08-27,00:10:00,Guadalajara (W),Cruz Azul (W),1.36,1.39,9.4,11.5,5.4,6.2,2.52,2.82,1.55,1.65,1.86,2.14,1.88,2.16,6.0,980.0,6.4,980.0,7.2,980.0,7.6,1000.0,9.8,980.0,11.0,980.0,6.6,980.0,7.4,980.0,6.6,9.2,10.0,980.0,6.2,980.0,7.4,980.0,8.8,12.0,9.8,13.5,6.4,980.0,7.4,980.0,3.1,5.1,7.4,980.0,7.8,1000.0,33526101,16652589.0,13621574.0,58805.0,1.232270884,1.232270929,1.232270968,1.232270893
Indian Matches,2024-08-27,03:30:00,Aizawl FC,SYS FC,1.21,110.0,1.01,1000.0,1.11,950.0,1.07,110.0,1.01,55.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.46,1000.0,2.98,1000.0,1.01,1000.0,2.8,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33528296,10879399.0,71809643.0,58805.0,1.23230145,1.232301495,1.232301534,1.232301459
Bhutan Premier League,2024-08-27,06:00:00,Tensung FC,Transport United FC,4.5,15.0,1.2,1.34,5.6,10.5,3.5,10.5,1.11,1.4,1.01,1000.0,1.01,1000.0,1.09,100.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.55,1000.0,1.02,55.0,1.1,1000.0,33528185,28146969.0,13270879.0,58805.0,1.232299495,1.23229954,1.232299579,1.232299504
Malaysian Matches,2024-08-27,06:15:00,Terengganu FC 2,Selangor II,2.06,5.4,2.24,5.0,3.0,4.5,1.7,3.45,1.41,2.44,1.01,1000.0,1.01,1000.0,1.01,30.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,2.84,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,2.98,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33528370,19191392.0,28061949.0,58805.0,1.232304583,1.232304628,1.232304667,1.232304592
Australia Cup,2024-08-27,06:30:00,Queensland Lions FC,Western Sydney Wanderers,4.2,4.8,1.67,1.74,5.0,5.5,3.35,3.9,1.34,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33510516,11167901.0,6480414.0,58805.0,1.232038842,1.232038847,0.0,0.0
Indian Matches,2024-08-27,06:30:00,Sihphir Venglun FC,Chawnpui FC,1.4,3.0,2.44,1000.0,3.7,6.0,2.24,4.3,1.31,1.8,1.01,1000.0,1.01,1000.0,1.03,44.0,1.06,1000.0,2.94,1000.0,2.94,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,2.88,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,2.96,1000.0,1.06,1000.0,1.06,1000.0,20.0,1000.0,1.04,980.0,1.55,1000.0,1.06,1000.0,33528288,71983545.0,11635015.0,58805.0,1.23230154,1.232301585,1.232301624,1.232301549
Portuguese U23,2024-08-27,07:00:00,GD Estoril Praia U23,Estrela U23,1.43,1.53,7.2,9.4,4.6,5.4,2.14,2.44,1.7,1.87,1.92,2.1,1.92,2.1,2.68,29.0,3.1,1000.0,2.02,1000.0,2.02,1000.0,7.4,980.0,9.2,980.0,3.1,1000.0,2.02,1000.0,7.4,980.0,8.2,980.0,2.22,980.0,2.02,1000.0,10.5,1000.0,2.6,980.0,2.02,1000.0,1.8,1000.0,1.43,7.0,2.02,1000.0,1.8,1000.0,33527410,20182451.0,59083052.0,58805.0,1.232285429,1.232285474,1.232285513,1.232285438
Australia Cup,2024-08-27,07:30:00,Kingsway Olympic,Adelaide United,6.2,8.2,1.38,1.46,5.4,8.8,4.1,4.9,1.27,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33510517,12497770.0,571273.0,58805.0,1.232038731,1.232038735,0.0,0.0
Indonesian Liga 1,2024-08-27,08:00:00,Pusamania Borneo FC,Bali Utd Pusam,1.79,1.93,4.1,4.7,3.95,4.5,2.32,2.38,1.72,1.75,1.66,1.75,2.32,2.5,3.6,29.0,4.2,1000.0,3.05,980.0,3.2,980.0,3.2,980.0,3.05,980.0,3.6,980.0,4.0,980.0,3.3,980.0,3.25,980.0,3.6,980.0,3.1,980.0,3.65,980.0,3.55,980.0,3.8,980.0,3.2,980.0,3.05,980.0,3.05,980.0,4.2,1000.0,33528329,9130100.0,10228030.0,58805.0,1.232301631,1.232301676,1.232301715,1.23230164
Thai League 1,2024-08-27,08:00:00,Lamphun Warrior,Nongbua Pitchaya FC,1.66,1.71,5.4,6.0,4.2,4.6,2.22,2.36,1.74,1.82,1.8,1.9,2.1,2.24,15.0,30.0,6.2,980.0,7.2,980.0,8.0,980.0,8.4,10.5,8.6,11.0,6.2,980.0,7.6,980.0,8.8,11.0,8.8,10.5,6.2,23.0,7.8,980.0,5.8,17.5,5.9,18.0,6.8,980.0,8.0,980.0,4.3,8.6,7.8,980.0,8.4,1000.0,33528672,12517050.0,15090737.0,58805.0,1.232310993,1.232311047,1.23231109,1.232311006
