League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Egyptian Premier,2024-07-11,13:00:00,El Geish,Zamalek,3.65,13.0,1.79,2.52,2.34,980.0,1.48,1.98,2.02,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33402934,7024303.0,5174134.0,58805.0,1.230534173,1.230534218,0.0,0.0
Brazilian Serie A,2024-07-11,19:30:00,SE Palmeiras,Atletico GO,1.47,1.48,10.0,11.0,4.5,4.6,1.86,2.04,1.97,2.16,2.14,2.34,1.75,1.87,11.5,14.5,22.0,30.0,55.0,980.0,100.0,1000.0,6.2,7.6,8.6,11.5,28.0,40.0,100.0,980.0,7.0,8.2,8.6,11.0,6.8,34.0,100.0,980.0,11.5,13.5,14.5,18.0,36.0,48.0,100.0,980.0,4.3,9.0,8.2,980.0,8.4,1000.0,33396309,22498185.0,5326988.0,58805.0,1.230443540,1.230443524,1.230443539,1.230443549
Brazilian Serie A,2024-07-11,20:00:00,Flamengo,Fortaleza EC,1.63,1.66,6.2,7.0,3.95,4.4,1.89,2.04,1.97,2.12,2.0,2.16,1.87,1.99,13.0,16.5,16.5,24.0,42.0,65.0,100.0,980.0,7.0,8.6,7.8,9.8,21.0,32.0,5.6,980.0,7.4,10.0,8.4,11.5,17.5,30.0,5.6,980.0,12.5,19.0,15.5,22.0,30.0,50.0,100.0,980.0,3.8,11.0,5.6,980.0,5.8,1000.0,33396317,198138.0,5287007.0,58805.0,1.230443660,1.230443644,1.230443659,1.230443669
Brazilian Serie A,2024-07-11,20:00:00,Criciuma,Fluminense,2.1,2.18,3.9,4.3,3.3,3.6,1.71,1.79,2.28,2.42,2.0,2.14,1.89,2.0,8.0,13.0,11.0,15.5,20.0,34.0,70.0,980.0,7.2,9.8,7.0,9.2,15.0,21.0,4.3,70.0,10.5,14.5,9.8,13.5,19.0,27.0,50.0,980.0,18.5,32.0,21.0,32.0,40.0,60.0,95.0,980.0,3.9,25.0,4.3,90.0,4.5,1000.0,33400150,356589.0,198133.0,58805.0,1.230492884,1.230492868,1.230492883,1.230492893
Brazilian Serie A,2024-07-11,21:30:00,EC Vitoria Salvador,Botafogo,3.15,3.2,2.6,2.66,3.25,3.3,1.68,1.77,2.28,2.48,1.94,2.08,1.92,2.06,8.4,11.5,8.2,9.4,14.0,17.5,32.0,44.0,9.2,11.5,6.6,8.2,11.0,14.0,29.0,36.0,17.5,22.0,12.0,15.5,18.5,24.0,46.0,980.0,6.4,980.0,6.2,44.0,6.4,980.0,100.0,980.0,6.2,48.0,5.9,36.0,7.0,1000.0,33400156,5336581.0,198128.0,58805.0,1.230493544,1.230493528,1.230493543,1.230493553
Brazilian Serie A,2024-07-11,21:30:00,Atletico MG,Sao Paulo,2.56,2.6,3.3,3.4,3.15,3.2,1.6,1.69,2.44,2.68,2.04,2.18,1.84,1.96,7.6,11.0,8.2,11.0,18.0,25.0,4.8,75.0,7.6,9.4,6.4,8.0,12.5,18.0,4.7,60.0,13.0,18.5,11.0,15.5,19.5,27.0,4.9,85.0,4.7,48.0,4.7,42.0,4.8,75.0,100.0,980.0,4.6,42.0,4.8,65.0,5.2,1000.0,33400158,361329.0,198126.0,58805.0,1.230494652,1.230494636,1.230494651,1.230494661
