League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Ukrainian Premier League,2026-05-18,07:00:00,FK Kudrivka,LNZ-Lebedyn,8.2,10.5,1.49,1.55,4.1,4.9,1.73,1.9,2.1,2.36,2.3,2.58,1.63,1.76,8.8,14.0,5.5,6.6,6.8,8.0,10.0,13.5,15.5,40.0,7.2,11.0,7.8,11.0,14.0,20.0,8.6,170.0,7.8,950.0,12.0,950.0,8.4,150.0,9.0,490.0,8.8,210.0,8.6,190.0,130.0,300.0,9.0,450.0,8.8,11.0,9.6,1000.0,35604225,72925573.0,19748479.0,58805.0,1.258153161,1.258153171,1.258153160,1.258153170,2.86,3.3,1.44,1.54,10.5,13.5,1.08,1.11,3.1,3.65,1.38,1.48,2.8,3.15,1.11,1.14,1.26,1.32,1.258153152,1.258153164,1.258153165,1.258153175
Ukrainian Premier League,2026-05-18,07:00:00,Zorya,Polissya Zhytomyr,6.2,7.4,1.56,1.67,3.95,4.5,2.06,2.18,1.84,1.94,1.89,2.08,1.94,2.14,15.0,29.0,6.8,8.0,8.6,10.5,6.8,180.0,19.5,40.0,7.8,9.6,8.0,9.8,7.8,34.0,9.2,500.0,19.0,48.0,10.0,40.0,19.5,85.0,9.4,700.0,9.2,700.0,9.0,700.0,9.2,700.0,9.2,700.0,8.4,10.0,9.8,1000.0,35607007,2017903.0,11265718.0,58805.0,1.258173550,1.258173560,1.258173549,1.258173559,3.15,3.65,1.38,1.46,15.0,18.0,1.06,1.08,3.8,4.4,1.29,1.36,2.46,2.78,1.16,1.19,1.28,1.34,1.258173541,1.258173553,1.258173554,1.258173564
Armenian Premier League,2026-05-18,10:00:00,FC Shirak,FC Urartu,6.8,9.6,1.52,1.59,4.0,4.8,2.1,2.42,1.7,1.9,1.9,2.02,1.98,2.1,2.4,950.0,2.9,27.0,3.6,970.0,3.0,900.0,4.2,950.0,3.65,42.0,3.65,970.0,2.88,970.0,4.2,85.0,4.2,950.0,2.82,950.0,2.52,500.0,4.2,1000.0,4.2,1000.0,4.2,1000.0,2.04,1000.0,4.2,1000.0,4.1,29.0,2.7,1000.0,35617597,866231.0,25800263.0,58805.0,1.258285593,1.258285603,1.258285592,1.258285602,3.0,4.5,1.28,1.49,11.5,26.0,1.05,1.08,4.3,5.3,1.24,1.3,2.62,3.05,1.13,1.16,1.27,1.33,1.258285584,1.258285596,1.258285597,1.258285607
Egyptian Premier,2026-05-18,11:00:00,El Geish,Pharco FC,1.92,1.97,6.2,6.8,2.98,3.15,1.39,1.45,3.25,3.55,2.58,2.74,1.57,1.64,5.8,6.8,12.0,16.5,16.0,120.0,8.4,700.0,5.1,5.9,6.4,7.6,16.0,85.0,8.4,700.0,8.6,9.8,10.5,13.5,20.0,36.0,8.4,700.0,11.0,25.0,15.0,80.0,8.2,460.0,8.6,700.0,23.0,34.0,8.6,700.0,8.8,1000.0,35606470,7024303.0,10539864.0,58805.0,1.258169069,1.258169079,1.258169068,1.258169078,2.3,2.46,1.69,1.77,5.3,7.0,1.17,1.23,2.26,2.42,1.71,1.8,1.17,1.2,2.02,2.1,1.46,1.51,1.258169060,1.258169072,1.258169073,1.258169083
Egyptian Premier,2026-05-18,11:00:00,Kahraba Ismailia,Haras El Hodood,1.91,1.96,5.0,5.3,3.35,3.45,1.64,1.73,2.36,2.54,2.12,2.24,1.81,1.89,9.0,11.0,10.0,15.5,16.0,42.0,6.8,900.0,5.9,7.2,6.8,9.6,17.0,24.0,6.6,100.0,9.0,11.0,9.2,11.5,20.0,26.0,6.6,110.0,18.5,23.0,20.0,26.0,6.2,55.0,6.8,580.0,13.5,23.0,6.8,600.0,7.2,1000.0,35605424,12267301.0,5168506.0,58805.0,1.258162654,1.258162664,1.258162653,1.258162663,2.72,3.05,1.49,1.58,7.6,11.0,1.1,1.15,2.9,3.15,1.46,1.53,1.23,1.25,2.04,2.1,1.4,1.43,1.258162645,1.258162657,1.258162658,1.258162668
Finnish Veikkausliiga,2026-05-18,12:00:00,Lahti,VPS,2.44,2.5,3.35,3.45,3.3,3.35,1.71,1.77,2.3,2.42,1.97,2.02,1.99,2.04,9.8,10.5,10.0,11.5,19.5,23.0,30.0,70.0,8.2,8.6,6.8,7.4,13.5,15.0,25.0,50.0,13.0,14.0,11.0,12.0,17.5,21.0,32.0,65.0,30.0,36.0,27.0,32.0,28.0,55.0,42.0,140.0,24.0,29.0,27.0,55.0,75.0,1000.0,35596872,139506.0,139511.0,58805.0,1.258085289,1.258085299,1.258085288,1.258085298,2.78,3.05,1.49,1.57,10.0,11.0,1.1,1.11,3.15,3.25,1.44,1.47,1.4,1.43,1.67,1.7,1.42,1.44,1.258085280,1.258085292,1.258085293,1.258085303
Armenian Premier League,2026-05-18,12:00:00,Gandzasar Kapan,FC Pyunik,8.6,11.0,1.35,1.39,5.3,6.2,2.06,2.4,1.71,1.91,2.14,2.26,1.79,1.88,5.3,21.0,4.0,9.2,3.95,8.8,4.3,11.0,5.9,95.0,4.7,13.5,4.5,11.5,5.0,16.5,6.6,140.0,6.2,950.0,5.9,36.0,6.2,55.0,7.0,1000.0,6.8,270.0,6.8,210.0,6.8,240.0,7.2,420.0,3.35,6.2,7.2,1000.0,35620063,4043809.0,1526911.0,58805.0,1.258310226,1.258310236,1.258310225,1.258310235,3.15,4.4,1.29,1.42,1.15,21.0,1.05,1.08,3.85,5.1,1.24,1.32,3.5,3.85,1.1,1.11,1.2,1.23,1.258310217,1.258310229,1.258310230,1.258310240
Finnish Kakkonen,2026-05-18,12:30:00,SJK Akatemia 2,VPS Vaasa II,2.48,2.8,2.3,2.54,4.4,5.2,3.8,5.3,1.23,1.3,1.28,1.36,3.85,4.6,3.45,950.0,3.35,950.0,3.3,500.0,3.4,900.0,3.35,950.0,4.9,42.0,5.0,32.0,3.2,500.0,3.35,500.0,5.0,32.0,10.0,970.0,5.2,500.0,3.45,900.0,5.3,500.0,5.2,500.0,3.3,500.0,3.6,55.0,3.45,55.0,3.55,120.0,35617990,68451371.0,10147136.0,58805.0,1.258285660,1.258285705,1.258285744,1.258285669,1.2,8.4,1.13,1.24,10.0,110.0,1.01,1.03,10.0,15.5,1.07,1.1,1.64,1.77,1.55,1.67,1.25,1.28,1.258285661,1.258285663,1.258285664,1.258285708
Finnish Ykkosliiga,2026-05-18,12:30:00,Haka,Klubi-04,1.49,1.55,6.4,7.0,5.0,5.5,2.82,3.05,1.49,1.55,1.66,1.75,2.34,2.52,21.0,32.0,15.5,75.0,8.8,65.0,9.4,190.0,9.4,13.5,9.0,13.0,18.0,26.0,8.6,400.0,8.6,12.5,7.8,11.0,14.0,21.0,9.0,80.0,10.5,15.5,10.5,15.0,19.0,28.0,30.0,260.0,4.6,5.4,8.6,170.0,9.6,620.0,35599173,516339.0,798978.0,58805.0,1.258297566,1.258297569,1.258297613,1.258297614,4.1,5.7,1.21,1.32,6.2,36.0,1.03,1.07,6.2,7.4,1.16,1.2,1.01,55.0,1.01,1000.0,1.01,55.0,1.258297615,1.258297576,1.258297567,1.258297568
Finnish Kakkonen,2026-05-18,13:00:00,HIFK,FC Kiffen,1.58,1.68,4.9,6.4,4.4,5.4,3.0,3.9,1.35,1.47,1.47,1.59,2.7,3.2,7.0,950.0,24.0,950.0,7.2,500.0,7.6,500.0,13.5,970.0,5.1,970.0,6.2,950.0,7.2,500.0,5.5,970.0,9.2,20.0,11.5,970.0,7.0,500.0,5.9,970.0,5.3,970.0,6.2,500.0,7.0,580.0,3.25,5.2,6.6,500.0,8.0,290.0,35617880,3847575.0,498140.0,58805.0,1.258285750,1.258285795,1.258285834,1.258285759,4.7,6.8,1.17,1.27,7.6,55.0,1.02,1.06,7.6,9.8,1.11,1.15,1.19,1.25,2.46,2.76,1.23,1.3,1.258285751,1.258285753,1.258285754,1.258285798
Polish I Liga,2026-05-18,13:00:00,Puszcza Niepolomice,LKS Lodz,3.6,4.1,2.06,2.26,3.4,3.85,1.9,2.08,1.92,2.12,1.77,1.85,2.16,2.3,10.5,15.0,8.4,11.0,10.0,14.0,21.0,90.0,12.0,14.5,7.0,9.0,9.2,12.5,18.0,42.0,20.0,32.0,12.5,16.0,15.0,21.0,30.0,150.0,7.2,900.0,20.0,60.0,24.0,250.0,28.0,580.0,8.0,500.0,13.5,22.0,7.2,1000.0,35598922,5751503.0,1533911.0,58805.0,1.258092464,1.258092509,1.258092548,1.258092473,3.0,3.45,1.41,1.5,11.0,15.0,1.07,1.1,3.6,4.2,1.32,1.39,1.8,1.95,1.32,1.38,1.35,1.42,1.258092465,1.258092467,1.258092468,1.258092512
Saudi 1st Division,2026-05-18,13:05:00,Al Draih,Al Jabalain,1.42,1.5,6.2,9.4,4.9,6.0,2.64,3.3,1.49,1.61,1.63,1.98,2.02,2.58,6.6,950.0,6.8,950.0,7.4,170.0,8.0,230.0,9.4,14.0,9.8,42.0,6.4,950.0,7.6,240.0,8.4,19.0,8.2,11.0,16.0,950.0,7.6,200.0,10.0,970.0,10.5,970.0,6.4,500.0,7.8,110.0,4.0,5.3,7.6,100.0,8.4,1000.0,35620440,7857465.0,12401456.0,58805.0,1.258313250,1.258313295,1.258313334,1.258313259,3.8,5.4,1.23,1.32,6.0,55.0,1.02,1.12,5.8,7.8,1.16,1.2,1.13,1.19,3.0,3.4,1.2,1.26,1.258313251,1.258313253,1.258313254,1.258313298
Bulgarian A League,2026-05-18,13:30:00,Montana,Spartak Varna,8.4,13.5,1.35,1.39,5.3,6.4,2.26,2.4,1.72,1.79,2.04,2.32,1.76,1.96,16.5,21.0,7.6,8.8,7.2,8.8,9.6,11.0,17.0,38.0,11.0,13.0,9.2,11.0,13.0,15.0,11.5,120.0,10.0,44.0,19.0,32.0,10.0,42.0,11.5,490.0,11.0,200.0,11.0,170.0,12.0,200.0,12.0,270.0,4.8,5.8,11.5,1000.0,35609568,3475110.0,1557407.0,58805.0,1.258204501,1.258204511,1.258204500,1.258204510,3.9,4.7,1.27,1.34,1.15,26.0,1.05,1.07,3.9,5.4,1.23,1.3,3.35,3.9,1.08,1.13,1.19,1.23,1.258204492,1.258204504,1.258204505,1.258204515
Bulgarian A League,2026-05-18,13:30:00,Beroe Stara Za,Septemvri,2.44,2.88,2.98,3.35,3.05,3.6,1.74,1.99,2.0,2.36,1.76,2.0,2.0,2.32,9.6,24.0,5.4,970.0,6.2,500.0,3.25,500.0,4.4,11.0,4.9,14.0,5.5,970.0,4.4,500.0,6.0,970.0,5.2,970.0,13.0,970.0,4.5,500.0,7.2,500.0,6.8,500.0,4.8,500.0,21.0,580.0,4.2,500.0,4.2,500.0,8.8,1000.0,35610053,4127866.0,11801202.0,58805.0,1.258207758,1.258207768,1.258207757,1.258207767,2.92,3.45,1.41,1.47,11.0,15.5,1.08,1.1,3.15,3.9,1.35,1.47,1.43,1.5,1.53,1.67,1.39,1.48,1.258207749,1.258207761,1.258207762,1.258207772
