League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Bolivian Liga de Futbol Profesional,2024-04-17,21:00:00,The Strongest,CD Gualberto Villarroel,1.35,1.37,10.0,11.0,5.6,6.0,3.25,3.45,1.41,1.44,1.43,1.48,3.1,3.3,1.11,1.13,9.0,10.5,18.5,22.0,1.05,1.06,5.1,5.5,1.22,1.24,2.28,2.36,1.74,1.78,1.52,1.57,2.78,2.92,1.22,1.25,5.0,5.5,1.07,1.09,12.5,14.5,1.02,1.03,34.0,55.0,1.01,1.02,55.0,1000.0,1.01,1.01,70.0,1000.0,2.0,2.22,1.82,1.99,18.5,22.0,24.0,34.0,65.0,85.0,200.0,330.0,7.8,9.0,10.0,12.5,28.0,36.0,95.0,140.0,7.6,8.4,8.8,10.5,21.0,32.0,95.0,130.0,10.5,12.0,13.5,15.5,26.0,42.0,100.0,180.0,5.4,6.6,9.6,190.0,42.0,1000.0,33198982,328205.0,61511713.0,58805.0,1.227718445,1.227718448,1.227718450,1.227718443,1.227718449,1.227718493,1.227718490,1.227718494,1.227718491,1.227718453,1.227718451,1.227718444,1.227718442,1.227718529,1.227718454
Costa Rican Primera Division,2024-04-17,21:00:00,Sporting San Jose FC,Santos De Guapiles,2.18,2.3,3.8,4.1,3.25,3.45,2.28,2.4,1.71,1.78,1.26,1.27,4.7,5.2,1.04,1.05,21.0,26.0,8.8,10.0,1.11,1.13,2.72,2.92,1.52,1.58,1.55,1.61,2.62,2.8,1.2,1.23,5.4,5.9,1.06,1.07,15.5,18.0,1.01,1.03,36.0,110.0,1.01,1.01,95.0,1000.0,1.01,1.01,100.0,1000.0,1.01,1.01,100.0,1000.0,2.14,2.3,1.78,1.88,8.2,9.2,9.6,11.0,21.0,28.0,60.0,95.0,6.2,8.0,6.8,7.8,15.5,19.0,55.0,75.0,10.0,12.0,10.5,13.0,21.0,34.0,65.0,100.0,25.0,34.0,25.0,34.0,55.0,75.0,8.6,230.0,25.0,32.0,7.8,100.0,1000.0,1000.0,33191357,11617052.0,12690286.0,58805.0,1.227581346,1.227581349,1.227581351,1.227581344,1.227581350,1.227581394,1.227581391,1.227581395,1.227581392,1.227581354,1.227581352,1.227581345,1.227581343,1.227581430,1.227581355
Ecuadorian Serie A,2024-04-17,21:00:00,Tecnico Universitario,Deportivo Cuenca,2.26,2.5,3.9,4.2,2.92,3.3,2.04,2.36,1.74,1.82,1.18,1.2,6.0,6.6,1.03,1.04,26.0,34.0,7.4,8.0,1.14,1.16,2.52,2.62,1.62,1.66,1.49,1.51,2.96,3.05,1.16,1.19,6.2,7.4,1.05,1.06,17.5,21.0,1.01,1.02,44.0,110.0,1.01,1.01,100.0,1000.0,1.01,36.0,100.0,1000.0,1.01,36.0,100.0,1000.0,2.24,2.46,1.69,1.81,6.8,8.0,9.0,11.0,21.0,29.0,70.0,110.0,6.2,7.2,6.4,7.2,16.0,19.0,55.0,75.0,10.0,13.0,10.5,13.5,22.0,28.0,80.0,120.0,28.0,36.0,27.0,40.0,60.0,85.0,180.0,280.0,29.0,40.0,65.0,120.0,1000.0,1000.0,33190654,6290900.0,1067928.0,58805.0,1.227569714,1.227569717,1.227569719,1.227569712,1.227569718,1.227569762,1.227569759,1.227569763,1.227569760,1.227569722,1.227569720,1.227569713,1.227569711,1.227569798,1.227569723
Argentinian Cup,2024-04-17,21:15:00,Union Santa Fe,Gimnasia Mendoza,1.39,1.43,11.5,12.5,4.7,5.0,2.84,3.0,1.5,1.54,1.38,1.41,3.45,3.65,1.08,1.11,10.0,12.5,10.0,12.0,1.09,1.1,3.05,3.4,1.42,1.48,1.72,1.79,2.28,2.38,1.26,1.29,4.4,4.9,1.08,1.11,10.0,13.5,1.02,1.04,26.0,55.0,1.01,1.02,75.0,1000.0,1.01,1.01,300.0,980.0,1.01,1.01,310.0,1000.0,2.68,2.9,1.52,1.59,10.5,11.0,23.0,26.0,90.0,1000.0,17.5,980.0,5.5,6.2,10.0,11.5,42.0,55.0,18.5,480.0,6.2,6.8,10.0,11.0,40.0,48.0,100.0,430.0,10.0,11.0,18.0,19.5,55.0,980.0,150.0,570.0,8.0,8.6,46.0,980.0,18.0,1000.0,33198726,194516.0,9229725.0,58805.0,1.227718265,1.227718268,1.227718270,1.227718263,1.227718269,1.227718313,1.227718310,1.227718314,1.227718311,1.227718273,1.227718271,1.227718264,1.227718262,1.227718349,1.227718274
Brazilian Serie A,2024-04-17,21:30:00,Flamengo,Sao Paulo,1.76,1.77,6.2,6.4,3.65,3.7,2.7,2.78,1.56,1.59,1.34,1.37,3.75,3.95,1.08,1.09,12.0,14.0,9.6,10.0,1.11,1.12,2.94,3.0,1.5,1.52,1.63,1.65,2.54,2.62,1.23,1.24,5.1,5.5,1.07,1.08,13.0,15.0,1.02,1.03,26.0,55.0,1.01,1.01,110.0,970.0,1.01,1.01,350.0,980.0,1.01,1.01,750.0,1000.0,2.3,2.38,1.73,1.77,9.6,9.8,14.5,15.0,42.0,48.0,100.0,190.0,5.9,6.0,7.6,8.0,23.0,24.0,95.0,120.0,7.8,8.0,9.8,10.5,26.0,27.0,110.0,140.0,18.0,18.5,22.0,24.0,50.0,60.0,150.0,230.0,17.5,18.0,100.0,200.0,36.0,1000.0,33192506,198138.0,198126.0,58805.0,1.227599855,1.227599858,1.227599860,1.227599853,1.227599859,1.227599869,1.227599865,1.227599811,1.227599866,1.227599863,1.227599861,1.227599851,1.227599852,1.227599854,1.227599864
Mexican Ascenso MX,2024-04-17,22:00:00,Alebrijes de Oaxaca,Cimarrones de Sonora,2.98,3.1,2.54,2.62,3.45,3.7,3.3,3.5,1.4,1.44,1.49,1.54,2.88,3.05,1.12,1.14,8.2,9.2,12.5,15.5,1.07,1.09,4.1,4.3,1.31,1.32,2.04,2.1,1.9,1.96,1.4,1.43,3.3,3.5,1.15,1.17,6.8,7.6,1.05,1.07,15.5,21.0,1.01,1.03,34.0,110.0,1.01,1.01,150.0,1000.0,1.01,1.01,150.0,990.0,1.76,1.81,2.22,2.32,12.0,14.5,10.0,12.0,14.5,17.0,26.0,38.0,11.5,13.5,7.2,8.2,10.5,12.0,23.0,27.0,18.5,21.0,12.0,13.5,15.0,17.0,28.0,48.0,40.0,55.0,28.0,34.0,36.0,60.0,80.0,160.0,20.0,27.0,16.0,20.0,14.0,1000.0,33198126,13625306.0,13625724.0,58805.0,1.227707766,1.227707769,1.227707771,1.227707764,1.227707770,1.227707814,1.227707811,1.227707815,1.227707812,1.227707774,1.227707772,1.227707765,1.227707763,1.227707850,1.227707775
Colombian Primera A,2024-04-17,22:20:00,Atletico Nacional Medellin,Deportivo Pereira,1.84,1.88,5.2,5.6,3.55,3.7,2.84,2.98,1.51,1.54,1.37,1.41,3.45,3.7,1.08,1.11,10.5,13.5,9.6,11.0,1.1,1.12,3.1,3.2,1.46,1.47,1.69,1.73,2.38,2.46,1.25,1.28,4.6,5.0,1.08,1.1,11.0,13.0,1.02,1.03,26.0,55.0,1.01,1.02,75.0,1000.0,1.01,1.01,300.0,1000.0,1.01,1.01,750.0,1000.0,2.12,2.22,1.82,1.9,9.2,10.5,14.0,15.5,30.0,44.0,90.0,980.0,6.2,7.2,7.4,8.6,19.0,23.0,55.0,980.0,8.4,10.0,9.6,11.5,22.0,27.0,80.0,980.0,17.0,21.0,19.5,25.0,38.0,55.0,130.0,980.0,6.6,18.0,9.6,980.0,10.5,1000.0,33191432,10632891.0,5284708.0,58805.0,1.227584804,1.227584807,1.227584809,1.227584802,1.227584808,1.227584852,1.227584849,1.227584853,1.227584850,1.227584812,1.227584810,1.227584803,1.227584801,1.227584888,1.227584813
Panamanian Premier League,2024-04-17,22:30:00,Atletico Independiente,Veraguas FC,1.52,1.68,4.2,980.0,4.8,6.8,4.1,5.0,1.27,1.31,1.7,1.8,2.26,2.44,1.19,1.23,1.26,6.6,2.5,48.0,1.02,1.04,5.0,36.0,1.14,1.19,2.44,8.2,1.42,1.59,1.48,2.4,1.72,3.1,1.28,1.42,2.8,4.6,1.12,1.17,1.24,11.0,1.04,1.07,1.27,26.0,1.01,1.03,34.0,980.0,1.01,1.01,130.0,1000.0,1.61,2.04,1.98,2.62,3.4,48.0,3.45,1000.0,3.6,1000.0,3.65,1000.0,9.6,1000.0,10.0,1000.0,2.56,1000.0,1.03,1000.0,9.2,1000.0,8.2,1000.0,5.1,1000.0,8.2,1000.0,3.7,1000.0,1.03,1000.0,1.03,1000.0,50.0,1000.0,3.5,1000.0,1.03,1000.0,3.65,1000.0,33200364,10490343.0,26283156.0,58805.0,1.227741080,1.227741083,1.227741085,1.227741078,1.227741084,1.227741128,1.227741125,1.227741129,1.227741126,1.227741088,1.227741086,1.227741079,1.227741077,1.227741164,1.227741089
Costa Rican Primera Division,2024-04-17,23:00:00,LD Alajuelense,Municipal Grecia,1.18,1.2,19.0,25.0,8.0,9.2,4.3,4.6,1.28,1.3,1.74,1.8,2.26,2.36,1.2,1.23,5.3,6.0,11.0,34.0,1.03,1.04,6.0,7.2,1.17,1.19,2.72,2.98,1.51,1.58,1.67,1.76,2.32,2.5,1.28,1.32,4.1,4.6,1.11,1.14,8.0,11.0,1.05,1.06,8.0,36.0,1.01,1.03,15.0,980.0,1.01,1.02,17.5,1000.0,2.3,2.56,1.64,1.76,27.0,38.0,50.0,980.0,100.0,980.0,100.0,1000.0,8.2,11.0,17.0,21.0,50.0,980.0,100.0,1000.0,6.6,8.2,10.0,13.5,29.0,980.0,100.0,980.0,7.4,9.2,11.5,15.5,30.0,980.0,100.0,980.0,3.0,3.9,7.6,1000.0,7.6,1000.0,33191474,14176080.0,7598500.0,58805.0,1.227581076,1.227581079,1.227581081,1.227581074,1.227581080,1.227581124,1.227581121,1.227581125,1.227581122,1.227581084,1.227581082,1.227581075,1.227581073,1.227581160,1.227581085
Guatemalan Liga Nacional,2024-04-17,23:00:00,Comunicaciones,CSD Municipal,2.28,2.38,3.7,4.3,3.05,3.45,2.72,2.88,1.53,1.58,1.34,1.38,3.65,3.95,1.07,1.1,11.0,15.5,7.2,11.0,1.1,1.13,2.88,3.25,1.45,1.51,1.62,1.67,2.48,2.62,1.23,1.25,4.7,5.4,1.07,1.1,5.0,15.5,1.02,1.04,10.0,55.0,1.01,1.02,34.0,1000.0,1.01,1.01,100.0,1000.0,1.01,1.01,1.29,1000.0,2.02,2.2,1.84,1.98,4.3,980.0,9.8,980.0,6.2,980.0,7.0,980.0,3.95,8.4,6.2,980.0,13.0,980.0,7.0,980.0,10.5,980.0,9.6,980.0,6.0,980.0,7.0,980.0,6.4,980.0,6.4,980.0,6.8,980.0,6.2,1000.0,5.0,980.0,5.5,980.0,5.9,1000.0,33199066,9539822.0,2888930.0,58805.0,1.227720727,1.227720731,1.227720733,1.227720725,1.227720732,1.227720779,1.227720775,1.227720780,1.227720776,1.227720737,1.227720734,1.227720726,1.227720724,1.227720816,1.227720738
