League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
CONCACAF Champions League,2024-02-21,00:00:00,Deportivo Saprissa,Philadelphia,2.3,2.74,2.88,3.7,3.35,4.6,2.96,3.65,1.38,1.52,1.37,1.64,2.58,3.7,1.11,1.14,6.8,12.5,3.25,1000.0,1.03,1.44,3.25,36.0,1.29,1.44,1.9,3.25,1.86,2.68,1.3,1.45,2.66,5.8,1.09,1.25,5.0,12.5,1.03,1.25,5.0,55.0,1.01,1.25,5.0,1000.0,1.01,1.25,5.0,1000.0,1.01,1.24,5.0,1000.0,1.62,2.06,1.94,2.6,1.49,17.0,11.0,15.5,3.0,25.0,3.0,1000.0,2.86,13.0,7.2,10.0,3.7,16.5,1.01,1000.0,3.9,19.0,10.0,14.0,1.01,22.0,9.0,1000.0,3.4,1000.0,8.4,32.0,14.0,1000.0,15.5,1000.0,1.01,23.0,1.01,1000.0,34.0,1000.0,33024856,1328422.0,4589333.0,58805.0,1.224910700,1.224910703,1.224910705,1.224910698,1.224910704,1.224910748,1.224910745,1.224910749,1.224910746,1.224910708,1.224910706,1.224910699,1.224910697,1.224910784,1.224910709
Mexican Liga MX,2024-02-21,00:00:00,Necaxa,Guadalajara,3.75,3.95,2.08,2.18,3.45,3.7,2.76,3.4,1.41,1.57,1.42,1.53,2.9,3.6,1.1,1.14,8.2,11.0,3.3,110.0,1.01,1.43,3.3,4.2,1.31,1.43,1.9,1.95,2.04,2.12,1.3,1.42,3.4,4.3,1.09,1.16,7.6,13.5,1.03,1.16,7.6,55.0,1.01,1.16,7.6,1000.0,1.01,1.15,7.6,1000.0,1.01,1.15,8.0,1000.0,1.83,1.99,2.02,2.22,10.5,14.5,8.0,9.6,10.0,13.5,20.0,27.0,11.5,15.0,7.2,8.6,8.8,12.0,18.0,25.0,6.6,30.0,13.5,17.5,16.0,22.0,6.8,44.0,7.4,85.0,7.0,55.0,7.2,65.0,7.6,130.0,7.0,55.0,5.5,17.5,8.0,1000.0,33030273,230910.0,230909.0,58805.0,1.224978693,1.224978696,1.224978698,1.224978691,1.224978697,1.224978741,1.224978738,1.224978742,1.224978739,1.224978701,1.224978699,1.224978692,1.224978690,1.224978777,1.224978702
Mexican Ascenso MX,2024-02-21,00:05:00,Correcaminos UAT,Club Atletico Morelia,2.52,2.66,2.92,3.25,3.25,3.55,2.3,3.25,1.23,1.61,1.35,1.49,2.54,3.8,1.09,1.13,9.0,12.5,3.05,990.0,1.03,1.12,3.05,3.85,1.35,1.48,1.48,1.97,2.02,3.1,1.3,1.38,3.6,4.4,1.08,1.38,3.6,13.5,1.02,1.38,3.6,55.0,1.01,1.38,3.6,1000.0,1.01,1.36,3.7,1000.0,1.01,1.36,3.8,1000.0,1.86,2.08,1.92,2.18,10.0,13.0,2.78,11.0,17.0,22.0,42.0,1000.0,9.0,11.0,6.8,8.4,3.2,15.0,5.8,1000.0,2.8,18.0,3.65,13.5,8.8,21.0,44.0,1000.0,4.4,1000.0,6.0,34.0,12.5,1000.0,7.6,1000.0,1.01,30.0,1.01,1000.0,18.5,1000.0,33021685,6535216.0,35619598.0,58805.0,1.224871880,1.224871884,1.224871886,1.224871878,1.224871885,1.224871932,1.224871928,1.224871933,1.224871929,1.224871889,1.224871887,1.224871879,1.224871877,1.224871969,1.224871891
AFC Champions League,2024-02-21,06:00:00,Kofu,Ulsan Hyundai Horang-i,1.05,1000.0,1.05,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,11.5,36.0,1.05,1.1,1.27,36.0,1.05,4.6,1.27,36.0,1.05,4.6,1.08,36.0,1.05,18.0,1.05,1.2,6.2,36.0,1.02,1.2,6.2,1000.0,1.01,1.2,6.2,1000.0,1.01,1.19,6.2,1000.0,1.01,1.19,6.2,1000.0,1.1,1000.0,1.1,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,12.0,1000.0,1.01,1000.0,1.01,1000.0,15.0,1000.0,33030847,1405179.0,5352229.0,58805.0,1.224985534,1.224985541,1.224985545,1.224985530,1.224985543,1.224985602,1.224985596,1.224985604,1.224985598,1.224985551,1.224985547,1.224985532,1.224985528,1.224985644,1.224985553
AFC Champions League,2024-02-21,08:00:00,Yokohama FM,Bangkok Utd,1.34,1.38,8.8,11.0,5.8,6.6,4.0,5.1,1.24,1.33,1.43,1.91,1.85,2.5,1.19,1.27,4.7,6.2,24.0,1000.0,1.01,1.05,2.78,1000.0,1.01,1.56,2.78,3.0,1.5,1.56,1.7,1.77,2.3,2.44,1.3,1.34,4.0,4.4,1.1,1.34,4.0,11.0,1.03,1.34,4.0,36.0,1.01,1.34,4.0,1000.0,1.01,1.33,4.0,1000.0,1.88,2.0,2.0,2.14,23.0,30.0,32.0,42.0,75.0,100.0,4.4,1000.0,10.0,12.5,12.5,16.0,32.0,40.0,8.2,150.0,8.8,11.0,9.4,12.0,24.0,30.0,80.0,110.0,9.6,12.0,12.0,15.5,27.0,34.0,16.5,130.0,1.01,4.7,1.01,150.0,22.0,1000.0,33024700,441087.0,9282747.0,58805.0,1.224909285,1.224909288,1.224909290,1.224909283,1.224909289,1.224909299,1.224909295,1.224909241,1.224909296,1.224909293,1.224909291,1.224909281,1.224909282,1.224909284,1.224909294
Greek Super League 2,2024-02-21,10:00:00,Niki Volou,Apollon Kalamaria FC,1.08,990.0,1.06,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.08,1000.0,1.01,1.08,1.08,1000.0,1.01,21.0,1.08,1000.0,1.01,21.0,1.08,1000.0,1.01,21.0,1.05,1.23,5.4,1000.0,1.01,1.23,1.01,1000.0,1.01,1.23,5.4,1000.0,1.01,1.23,5.4,1000.0,1.01,1.22,5.4,1000.0,1.01,990.0,1.01,990.0,1.49,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33037752,1210423.0,21985438.0,58805.0,1.225101886,1.225101889,1.225101891,1.225101884,1.225101890,1.225101934,1.225101931,1.225101935,1.225101932,1.225101894,1.225101892,1.225101885,1.225101883,1.225101970,1.225101895
Greek Super League 2,2024-02-21,10:00:00,PAOK B,Athlitiki Enosi Larissa,1.08,1000.0,1.08,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.08,1000.0,1.04,15.5,1.08,26.0,1.04,21.0,1.08,26.0,1.04,21.0,1.08,26.0,1.04,21.0,1.05,1.13,9.2,1000.0,1.02,1.12,9.2,110.0,1.01,1.12,9.2,1000.0,1.01,1.12,9.2,1000.0,1.01,1.12,9.2,1000.0,1.01,990.0,1.01,990.0,1.49,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33037750,42022095.0,10647533.0,58805.0,1.225101976,1.225101979,1.225101981,1.225101974,1.225101980,1.225102024,1.225102021,1.225102025,1.225102022,1.225101984,1.225101982,1.225101975,1.225101973,1.225102060,1.225101985
Slovenian Premier League,2024-02-21,11:00:00,Olimpija,Domzale,1.34,1.58,6.4,11.0,4.2,6.6,3.05,4.5,1.28,1.49,1.46,1.79,2.26,3.2,1.15,1.22,5.5,8.8,3.0,1000.0,1.01,1.07,3.0,1000.0,1.01,1.5,2.24,2.82,1.54,1.8,1.41,1.72,2.38,3.4,1.17,1.72,2.38,7.8,1.06,1.72,2.38,21.0,1.01,1.62,2.38,100.0,1.01,1.61,2.62,1000.0,1.01,1.61,2.62,1000.0,1.76,2.3,1.78,2.32,1.49,26.0,2.58,36.0,2.64,1000.0,3.6,1000.0,7.0,11.5,10.0,14.5,5.8,38.0,6.2,1000.0,7.8,11.0,7.6,12.5,5.8,32.0,6.2,1000.0,11.0,15.5,12.5,18.0,12.0,42.0,11.0,1000.0,1.01,7.4,1.01,1000.0,23.0,1000.0,33032606,489147.0,503208.0,58805.0,1.225016377,1.225016380,1.225016382,1.225016375,1.225016381,1.225016425,1.225016422,1.225016426,1.225016423,1.225016385,1.225016383,1.225016376,1.225016374,1.225016461,1.225016386
Friendlies Women's International,2024-02-21,11:00:00,Finland (W),Philippines (W),1.05,1.4,3.5,1000.0,3.5,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.27,1000.0,1.01,1.07,1.27,1000.0,1.01,21.0,1.27,970.0,1.01,4.6,1.05,970.0,1.01,36.0,1.05,1.25,5.0,1000.0,1.02,1.25,5.0,110.0,1.01,1.24,5.0,1000.0,1.01,1.24,5.0,1000.0,1.01,1.23,5.1,1000.0,1.1,1000.0,1.1,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,30.0,1000.0,33024870,4077838.0,6652280.0,58805.0,1.224910430,1.224910433,1.224910435,1.224910428,1.224910434,1.224910478,1.224910475,1.224910479,1.224910476,1.224910438,1.224910436,1.224910429,1.224910427,1.224910514,1.224910439
Indian Super League,2024-02-21,11:00:00,FC Goa,Northeast United,1.51,1.57,6.6,9.0,4.8,5.0,3.4,4.4,1.33,1.42,1.46,1.79,2.26,3.15,1.15,1.18,5.3,8.8,4.5,1000.0,1.01,1.07,4.5,5.1,1.24,1.28,2.24,2.44,1.7,1.8,1.48,1.56,2.8,3.1,1.17,1.25,5.0,7.0,1.06,1.25,5.0,21.0,1.01,1.25,5.0,990.0,1.01,1.25,5.0,1000.0,1.01,1.24,5.0,1000.0,1.94,2.06,1.95,2.08,14.5,25.0,19.5,34.0,44.0,80.0,3.25,260.0,6.8,11.5,8.6,14.0,20.0,36.0,70.0,130.0,8.6,11.5,7.4,12.0,18.0,30.0,65.0,120.0,9.4,15.5,11.5,19.0,24.0,42.0,90.0,160.0,1.01,8.0,1.01,150.0,34.0,1000.0,33028761,8900343.0,16081872.0,58805.0,1.224959288,1.224959291,1.224959293,1.224959286,1.224959292,1.224959336,1.224959333,1.224959337,1.224959334,1.224959296,1.224959294,1.224959287,1.224959285,1.224959372,1.224959297
