League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Ascenso MX,2024-08-25,00:00:00,Dorados,Tapatio,1.07,980.0,1.15,2.46,1.85,980.0,2.06,2.68,1.6,1.94,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33507536,6119455.0,35601788.0,58805.0,1.232001020,1.232001065,1.232001104,1.232001029
US United Soccer League,2024-08-25,00:00:00,Sacramento Republic,San Antonio FC,1.39,1.82,3.05,16.5,2.48,13.5,1.44,2.82,1.54,3.25,1.01,1000.0,1.01,1000.0,1.38,1000.0,2.32,1000.0,1.01,1000.0,1.01,1000.0,2.3,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33520927,8582482.0,10992747.0,58805.0,1.232191148,1.232191193,1.232191232,1.232191157
US United Soccer League,2024-08-25,00:00:00,Phoenix Rising FC,North Carolina FC,2.0,3.4,3.0,5.1,1.94,6.0,1.41,2.26,1.79,3.4,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33520923,12765799.0,12713336.0,58805.0,1.232191329,1.232191374,1.232191413,1.232191338
Mexican Liga MX,2024-08-25,00:05:00,CF America,Puebla,1.34,1.4,9.6,11.5,5.3,6.8,2.5,2.9,1.53,1.66,1.88,2.08,1.94,2.14,21.0,980.0,6.2,980.0,6.8,980.0,7.2,980.0,8.6,980.0,11.0,980.0,6.2,980.0,7.0,980.0,7.4,980.0,8.6,980.0,21.0,29.0,7.0,980.0,9.4,980.0,11.0,15.0,6.0,980.0,7.0,980.0,3.0,5.1,7.0,980.0,7.2,1000.0,33470471,328952.0,328956.0,58805.0,1.231485484,1.231485494,1.231485483,1.231485493
Australia Cup,2024-08-25,02:00:00,Newcastle Jets,Macarthur FC,2.5,6.2,1.79,3.1,1.93,1000.0,1.27,1000.0,1.01,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33510485,1205125.0,36700739.0,58805.0,1.232038560,1.232038564,0,0
Taiwanese Football Premier League,2024-08-25,04:30:00,ACA FC,Taipei Vikings,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,15.5,1.01,1000.0,1.01,1000.0,1.43,1000.0,2.3,1000.0,2.82,1000.0,1.01,1000.0,2.34,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.88,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33522399,35952443.0,68766778.0,58805.0,1.232211958,1.232212003,1.232212042,1.232211967
Taiwanese Football Premier League,2024-08-25,04:30:00,Fujen University FC,Taipei City Tatung,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,15.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33522352,12789193.0,14789632.0,58805.0,1.232212342,1.232212387,1.232212426,1.232212351
Romanian Liga II,2024-08-25,05:00:00,ACS Viitorul Tg Jiu,Concordia Chiajna,3.65,23.0,1.89,2.74,2.72,5.1,1.38,2.02,1.99,3.6,1.01,1000.0,1.01,1000.0,1.44,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33511691,25576591.0,5367199.0,58805.0,1.232057849,1.232057894,1.232057933,1.232057858
Chinese League 1,2024-08-25,05:00:00,Heilongjiang Lava Spring,Nanjing Fengfan,1.37,6.4,1.18,3.65,2.28,1000.0,1.41,2.06,1.94,3.4,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33522433,13288774.0,25928050.0,58805.0,1.232211328,1.232211373,1.232211412,1.232211337
Chinese League 2,2024-08-25,05:00:00,Beijing Tech FC,Quanzhou Yaxin,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.05,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33522543,17824433.0,39642404.0,58805.0,1.232213062,1.232213107,1.232213146,1.232213071
