League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Estonian Esiliiga,2025-09-18,11:00:00,JK Tammeka Tartu II,FC Elva,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.24,1000.0,1.05,6.4,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34739521,6391882.0,7236799.0,58805.0,1.247859546,1.247859549,1.247859593,1.247859594,1.05,1000.0,1.01,1000.0,1.1,1000.0,1.01,1.09,1.25,1000.0,1.05,1.09,1.01,36.0,1.01,36.0,1.01,110.0,1.247859595,1.247859556,1.247859547,1.247859548
Egyptian Premier,2025-09-18,11:00:00,Future FC,ENPPI,2.46,2.68,3.65,4.1,2.7,2.98,1.37,1.44,3.3,3.75,2.46,2.72,1.58,1.68,5.6,7.6,6.8,1000.0,6.8,1000.0,8.6,1000.0,5.7,1000.0,6.2,1000.0,6.2,1000.0,8.6,1000.0,5.6,1000.0,5.7,1000.0,5.3,1000.0,3.65,170.0,2.28,1000.0,2.34,1000.0,2.04,120.0,1.95,1000.0,3.5,1000.0,1.94,1000.0,1.72,1000.0,34735360,41860831.0,5259327.0,58805.0,1.247793253,1.247793298,1.247793337,1.247793262,2.1,2.6,1.63,1.91,4.8,7.6,1.18,1.27,2.16,2.36,1.74,1.87,1.33,1.38,1.59,1.69,1.5,1.59,1.247793254,1.247793256,1.247793257,1.247793301
Egyptian Premier,2025-09-18,11:00:00,Ismaily,Zamalek,8.8,12.0,1.5,1.53,3.85,4.6,1.59,1.71,2.42,2.68,2.52,3.2,1.56,1.65,5.0,12.5,5.0,980.0,4.0,1000.0,5.4,1000.0,4.1,1000.0,8.2,980.0,4.8,1000.0,2.06,22.0,8.0,1000.0,7.4,1000.0,2.14,1000.0,2.2,1000.0,1.36,1000.0,1.36,1000.0,1.36,1000.0,1.36,1000.0,1.36,1000.0,3.75,16.0,1.37,1000.0,34739191,5170870.0,5174134.0,58805.0,1.247856258,1.247856305,1.247856345,1.247856268,2.64,2.94,1.52,1.61,7.4,12.5,1.09,1.13,2.76,3.1,1.48,1.57,2.72,3.0,1.1,1.13,1.3,1.34,1.247856259,1.247856261,1.247856262,1.247856308
Estonian Esiliiga,2025-09-18,11:30:00,FC Tallinn,Levadia Tallinn II,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.24,1000.0,1.08,6.4,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34743804,28659758.0,5412337.0,58805.0,1.247898684,1.247898687,1.247898731,1.247898732,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1.12,1.25,110.0,1.08,1.12,1.01,36.0,1.01,36.0,1.01,1000.0,1.247898733,1.247898694,1.247898685,1.247898686
Estonian Esiliiga,2025-09-18,11:30:00,Nomme Utd,JK Welco Elekter,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.25,1000.0,1.13,4.9,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34739520,10443529.0,7362228.0,58805.0,1.247860400,1.247860445,1.247860484,1.247860409,1.2,1000.0,1.01,1000.0,1.26,1000.0,1.01,1.18,1.26,990.0,1.13,1.18,1.01,36.0,1.01,36.0,1.01,110.0,1.247860401,1.247860403,1.247860404,1.247860448
Bulgarian A League,2025-09-18,11:30:00,Arda,CSKA Sofia,5.0,5.1,1.81,1.88,3.65,3.95,1.68,1.84,2.18,2.46,2.04,2.28,1.78,1.95,10.0,12.0,6.0,7.4,8.4,10.5,16.5,20.0,13.0,16.0,7.4,8.8,8.8,11.0,18.5,23.0,7.6,44.0,18.5,23.0,20.0,26.0,7.8,50.0,8.8,200.0,8.4,110.0,8.6,120.0,8.8,210.0,8.8,1000.0,13.0,16.5,9.2,1000.0,34731822,20731976.0,46982.0,58805.0,1.247749599,1.247749692,1.247749742,1.247749635,2.72,3.2,1.47,1.58,8.6,12.5,1.09,1.14,2.98,3.45,1.41,1.5,2.12,2.24,1.24,1.25,1.33,1.38,1.247749600,1.247749605,1.247749607,1.247749698
Estonian Esiliiga,2025-09-18,11:30:00,Nomme Kalju II,Flora Tallinn II,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.24,1000.0,1.11,6.4,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34743801,10396212.0,5412351.0,58805.0,1.247898594,1.247898597,1.247898641,1.247898642,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1.16,1.25,990.0,1.11,1.16,1.01,36.0,1.01,36.0,1.01,1000.0,1.247898643,1.247898604,1.247898595,1.247898596
Finnish Kakkonen,2025-09-18,12:30:00,JPS,FCV,1.04,1000.0,1.04,1000.0,1.02,1000.0,1.25,300.0,1.05,5.4,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34742344,4663527.0,498141.0,58805.0,1.247889981,1.247890029,1.247890126,1.247889991,1.05,1000.0,1.01,1000.0,1.1,1000.0,1.01,1.1,1.11,1000.0,1.05,1.1,1.01,36.0,1.01,36.0,1.01,110.0,1.247889982,1.247889984,1.247889985,1.247890041
Saudi Professional League,2025-09-18,12:40:00,Al-Kholood Club,Dhamk,1.87,2.0,4.2,4.7,3.75,4.3,2.12,2.26,1.8,1.89,1.74,1.89,2.12,2.34,4.1,1000.0,4.1,1000.0,4.5,1000.0,4.8,1000.0,3.7,12.0,7.6,11.0,4.1,1000.0,4.7,1000.0,10.0,14.5,3.8,12.5,4.1,1000.0,4.8,1000.0,4.2,1000.0,4.1,1000.0,4.6,1000.0,4.9,120.0,9.2,13.0,4.7,1000.0,5.0,1000.0,34735455,40846946.0,16398677.0,58805.0,1.247797592,1.247797637,1.247797676,1.247797601,1.2,110.0,1.01,110.0,11.5,19.0,1.06,1.09,4.0,4.9,1.27,1.34,1.27,1.32,2.0,2.18,1.33,1.37,1.247797593,1.247797595,1.247797596,1.247797640
Saudi Professional League,2025-09-18,12:40:00,Al-Taawoun Buraidah,Al-Ettifaq,2.48,2.76,2.78,3.15,3.35,3.9,1.95,2.18,1.85,2.06,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,34731694,12157288.0,6160611.0,58805.0,1.247746651,1.247746661,1.247746650,1.247746660,1.2,110.0,1.01,110.0,11.0,18.0,1.06,1.1,1.95,18.0,1.27,2.06,1.47,1.57,1.58,1.66,1.37,1.4,1.247746642,1.247746654,1.247746655,1.247746665
