League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Egyptian Premier,2024-06-27,10:00:00,El Gounah,Future FC,4.2,4.6,1.98,2.26,2.94,3.65,1.49,1.67,2.48,3.05,2.16,2.54,1.65,1.85,6.8,8.8,2.54,7.2,9.2,12.0,3.45,28.0,9.8,13.5,3.95,7.8,2.1,13.0,3.5,32.0,3.55,1000.0,1.83,23.0,3.45,29.0,1.75,1000.0,1.73,1000.0,1.75,1000.0,1.73,1000.0,1.74,1000.0,1.7,1000.0,1.72,28.0,1.7,1000.0,33370165,5202561.0,41860831.0,58805.0,1.230114875,1.230114922,1.230114961,1.230114885
Finnish Kakkonen,2024-06-27,12:30:00,Reipas,NJS,1.49,1.58,5.7,8.2,4.9,6.0,2.42,2.9,1.55,1.71,1.71,1.87,2.14,2.4,4.0,50.0,4.2,980.0,4.5,980.0,4.6,1000.0,3.55,980.0,5.7,980.0,4.1,980.0,4.5,980.0,3.5,980.0,8.4,980.0,4.0,980.0,4.5,980.0,3.75,980.0,11.5,980.0,18.5,980.0,4.5,1000.0,2.74,55.0,3.05,980.0,3.3,1000.0,33374522,8619030.0,8415873.0,58805.0,1.230178914,1.230178917,1.230178961,1.230178962
Egyptian Premier,2024-06-27,13:00:00,Ismaily,Al-Masry,3.4,3.5,2.56,2.6,3.0,3.15,1.68,1.73,2.36,2.46,1.95,2.06,1.96,2.06,9.2,11.5,7.8,9.4,13.0,16.5,25.0,40.0,9.4,11.5,6.4,7.4,11.0,13.5,22.0,32.0,17.5,24.0,13.0,16.0,17.0,21.0,7.6,980.0,8.0,980.0,7.8,980.0,7.8,980.0,8.2,980.0,7.6,980.0,6.8,980.0,8.8,1000.0,33368771,5170870.0,11162123.0,58805.0,1.230102531,1.230102576,1.230102615,1.230102540
Egyptian Premier,2024-06-27,13:00:00,ZED FC,El Geish,2.14,2.22,4.5,4.9,2.94,3.05,1.5,1.53,2.88,3.0,2.26,2.46,1.68,1.8,6.8,7.8,10.0,12.0,26.0,30.0,70.0,130.0,6.0,6.8,6.6,7.2,18.0,21.0,50.0,90.0,10.0,11.5,11.0,12.0,24.0,29.0,13.0,130.0,24.0,29.0,27.0,32.0,48.0,70.0,14.0,980.0,24.0,32.0,13.0,150.0,14.5,1000.0,33371202,38208152.0,7024303.0,58805.0,1.230127046,1.230127091,1.230127130,1.230127055
Norwegian Eliteserien,2024-06-27,14:00:00,Sandefjord,Ham-Kam,2.08,2.1,3.7,3.75,4.0,4.1,2.34,2.38,1.73,1.75,1.66,1.7,2.42,2.52,17.5,19.5,15.5,17.5,26.0,29.0,55.0,65.0,11.5,12.5,8.4,9.0,13.5,15.0,34.0,38.0,13.5,14.5,9.8,10.5,15.0,15.5,38.0,42.0,23.0,26.0,17.5,20.0,27.0,29.0,38.0,70.0,10.0,11.5,27.0,32.0,100.0,850.0,33335687,199646.0,163203.0,58805.0,1.229752383,1.229752393,1.229752382,1.229752392
Swedish Division 1,2024-06-27,14:00:00,Taby FK,Karlbergs BK,2.22,2.66,2.66,3.25,3.55,5.7,2.4,2.84,1.56,1.7,1.57,1.67,2.48,2.76,1.08,1000.0,2.28,980.0,5.5,1000.0,6.4,1000.0,1.04,980.0,1.08,980.0,1.08,980.0,1.08,1000.0,4.7,980.0,2.9,980.0,1.08,980.0,7.0,1000.0,6.6,1000.0,5.8,1000.0,6.2,1000.0,1.08,1000.0,1.08,980.0,1.08,980.0,1.08,1000.0,33373409,11502504.0,6406169.0,58805.0,1.230145439,1.230145484,1.230145523,1.230145448
Swedish Division 1,2024-06-27,14:00:00,Norrby IF,Ljungskile,1.37,1.49,7.6,9.8,4.7,6.2,2.38,2.86,1.53,1.72,1.79,1.96,2.04,2.28,5.4,980.0,5.7,980.0,6.2,980.0,7.2,1000.0,4.2,980.0,4.5,980.0,5.7,980.0,14.0,980.0,4.1,980.0,8.0,980.0,5.3,980.0,6.4,980.0,4.6,980.0,11.0,980.0,5.6,980.0,30.0,980.0,3.2,6.2,4.7,1000.0,6.6,1000.0,33373410,778921.0,502383.0,58805.0,1.230145327,1.230145372,1.230145411,1.230145336
Swedish Women's Matches,2024-06-27,14:00:00,Pitea IF (W),AIK (W),1.57,1.67,5.9,7.0,4.0,4.6,2.04,2.2,1.84,1.95,1.92,2.12,1.9,2.1,12.0,18.0,4.3,980.0,4.8,980.0,5.1,980.0,6.8,10.0,8.2,14.0,4.4,980.0,5.0,980.0,7.8,11.5,8.2,12.5,4.4,980.0,4.9,980.0,11.5,980.0,4.2,980.0,4.6,980.0,5.0,980.0,3.4,55.0,5.0,980.0,5.2,1000.0,33374207,6293572.0,8477739.0,58805.0,1.230151961,1.230152006,1.230152045,1.230151970
Swedish Division 2,2024-06-27,14:30:00,Karlskrona,IF Lodde,1.33,1.72,5.1,27.0,4.5,10.5,2.06,4.5,1.3,1.94,1.81,2.04,1.97,2.22,1.49,1000.0,1.01,1000.0,2.6,1000.0,2.92,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.84,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374025,502419.0,8773440.0,58805.0,1.230148523,1.230148568,1.230148607,1.230148532
Swedish Division 2,2024-06-27,14:30:00,Qviding FIF,Lindome,1.86,3.0,2.42,4.7,3.45,6.8,1.98,1000.0,1.01,2.02,1.5,1.55,2.74,2.98,1.48,1000.0,1.01,1000.0,1.01,1000.0,2.98,1000.0,1.01,1000.0,2.7,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374026,9655084.0,3804864.0,58805.0,1.230148433,1.230148478,1.230148517,1.230148442
Uruguayan Segunda Division,2024-06-27,15:00:00,Juventud De Las Piedras,Colon FC,2.36,2.76,3.05,3.75,3.25,3.65,1.64,1.8,2.26,2.6,1.9,2.18,1.85,2.12,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374776,8947595.0,19339388.0,58805.0,1.230163651,1.230163696,1.230163735,1.230163660
Icelandic 3 Deild,2024-06-27,15:30:00,Vidir Gardur,Sindri,1.11,4.0,2.36,26.0,2.02,16.0,1.25,980.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374301,3149607.0,4742654.0,58805.0,1.230179004,1.230179007,1.230179051,1.230179052
Norwegian Eliteserien,2024-06-27,16:15:00,Lillestrom,Kfum Oslo,2.0,2.04,3.85,3.95,4.0,4.1,2.2,2.24,1.81,1.83,1.73,1.8,2.26,2.36,15.5,17.0,15.5,17.5,27.0,29.0,65.0,80.0,10.0,11.0,8.2,8.8,14.5,16.0,38.0,44.0,12.0,13.0,9.6,10.0,16.0,18.0,44.0,50.0,18.5,23.0,18.0,20.0,28.0,30.0,65.0,85.0,11.0,12.0,27.0,38.0,20.0,980.0,33335696,10770.0,14136987.0,58805.0,1.229752167,1.229752177,1.229752166,1.229752176
Brazilian Serie A,2024-06-27,19:00:00,Fluminense,EC Vitoria Salvador,1.97,1.98,4.7,4.9,3.5,3.55,1.7,1.73,2.38,2.44,2.1,2.18,1.84,1.9,9.8,11.0,13.0,14.0,30.0,32.0,46.0,130.0,7.0,7.4,7.4,7.6,18.0,19.0,50.0,75.0,10.0,10.5,9.8,10.5,22.0,24.0,80.0,90.0,19.5,23.0,22.0,24.0,44.0,48.0,46.0,180.0,16.5,19.0,85.0,100.0,23.0,1000.0,33363726,198133.0,5336581.0,58805.0,1.230037373,1.230037357,1.230037372,1.230037382
Brazilian Serie D,2024-06-27,19:00:00,AD Iguatu,Maracana CE,1.44,2.68,2.96,32.0,2.76,32.0,1.18,55.0,1.05,7.8,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374970,14549971.0,17607504.0,58805.0,1.230165025,1.230165070,1.230165109,1.230165034
Brazilian Serie D,2024-06-27,19:30:00,Maranhao,Cameta,1.27,2.22,2.44,980.0,2.12,290.0,1.18,26.0,1.04,8.2,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,5.9,1000.0,8.2,1000.0,1.01,1000.0,1.01,1000.0,7.0,1000.0,8.2,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374973,7176805.0,7160945.0,58805.0,1.230164935,1.230164980,1.230165019,1.230164944
Brazilian Serie A,2024-06-27,20:00:00,Sao Paulo,Criciuma,1.61,1.62,6.8,7.0,4.2,4.3,1.87,1.91,2.1,2.16,2.16,2.24,1.81,1.87,12.0,12.5,19.0,19.5,48.0,55.0,95.0,220.0,6.8,7.2,8.8,9.2,24.0,28.0,90.0,120.0,8.0,8.6,9.4,9.8,23.0,25.0,90.0,120.0,13.5,14.5,17.0,17.5,38.0,44.0,46.0,180.0,9.8,10.5,90.0,160.0,29.0,1000.0,33363724,198126.0,356589.0,58805.0,1.230037493,1.230037477,1.230037492,1.230037502
Brazilian Serie C,2024-06-27,20:00:00,Confianca,CSA,2.12,980.0,1.04,11.0,2.0,3.45,1.45,1.57,2.18,3.3,2.2,3.7,1.37,1.84,7.2,1000.0,9.4,1000.0,1.02,1000.0,1.01,1000.0,5.9,1000.0,6.2,1000.0,1.02,1000.0,1.01,1000.0,10.0,1000.0,9.8,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,20.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374901,3806543.0,3794140.0,58805.0,1.230164245,1.230164290,1.230164329,1.230164254
Brazilian Serie D,2024-06-27,20:00:00,America RN,Sousa EC,1.01,980.0,1.01,1000.0,1.01,980.0,1.18,55.0,1.05,8.2,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374955,4701920.0,7207476.0,58805.0,1.230165116,1.230165161,1.230165200,1.230165125
Canadian Premier League,2024-06-27,20:30:00,Valour,York9,2.08,980.0,2.34,980.0,1.03,950.0,1.75,5.4,1.4,2.34,1.01,1000.0,1.01,1000.0,1.48,1000.0,4.8,1000.0,2.74,1000.0,5.9,1000.0,5.0,1000.0,1.06,1000.0,4.9,1000.0,1.06,1000.0,5.9,1000.0,1.06,1000.0,12.5,980.0,1.06,1000.0,9.8,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,33368509,24151528.0,24394930.0,58805.0,1.230098891,1.230098936,1.230098975,1.230098900
Canadian Premier League,2024-06-27,23:30:00,Pacific,Vancouver FC,1.44,980.0,1.04,9.0,2.52,980.0,1.18,55.0,1.04,7.2,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33368522,23522859.0,55667494.0,58805.0,1.230098984,1.230099029,1.230099068,1.230098993
