League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Ascenso MX,2024-03-21,00:05:00,Dorados,Universidad Guadalajara,7.4,8.0,1.55,1.58,4.3,4.6,3.1,3.15,1.46,1.48,1.43,1.47,3.1,3.3,1.1,1.13,9.2,10.5,12.0,15.5,1.07,1.09,3.6,3.8,1.36,1.39,1.86,1.92,2.08,2.16,1.32,1.35,3.85,4.1,1.11,1.14,8.4,10.0,1.03,1.05,21.0,36.0,1.01,1.02,50.0,110.0,1.01,1.01,100.0,1000.0,1.01,1.01,170.0,630.0,2.2,2.36,1.74,1.83,11.5,13.5,6.6,7.2,7.4,8.0,12.0,13.5,19.0,22.0,9.0,9.8,9.4,10.5,16.0,18.0,42.0,65.0,26.0,30.0,25.0,28.0,38.0,46.0,100.0,980.0,85.0,140.0,100.0,190.0,100.0,200.0,18.0,210.0,9.0,9.8,18.5,1000.0,33113404,6119455.0,6533140.0,58805.0,1.226227354,1.226227357,1.226227359,1.226227352,1.226227358,1.226227402,1.226227399,1.226227403,1.226227400,1.226227362,1.226227360,1.226227353,1.226227351,1.226227438,1.226227363
FIFA World Cup Qualifiers - Asia,2024-03-21,05:00:00,Chinese Taipei,Kyrgyzstan,9.0,13.0,1.4,1.44,4.8,5.3,2.76,3.25,1.45,1.57,1.38,1.48,3.1,3.65,1.09,1.14,8.0,11.5,1.11,15.5,1.07,1.12,3.2,3.8,1.36,1.46,1.76,1.94,2.06,2.34,1.28,1.35,3.85,4.6,1.09,1.14,8.0,12.5,1.03,1.08,1.11,36.0,1.01,1.03,1.11,1000.0,1.01,980.0,1.11,1000.0,1.01,1.01,1.11,1000.0,2.52,2.8,1.56,1.66,10.5,13.0,5.8,6.6,6.2,7.2,9.8,11.0,24.0,980.0,10.5,12.0,10.0,11.5,16.0,19.5,12.5,980.0,36.0,46.0,11.0,42.0,42.0,60.0,14.5,980.0,14.0,270.0,14.0,260.0,14.0,340.0,29.0,500.0,7.0,8.6,5.1,1000.0,33121191,920029.0,920031.0,58805.0,1.226374529,1.226374532,1.226374534,1.226374527,1.226374533,1.226374551,1.226374542,1.226374485,1.226374544,1.226374537,1.226374535,1.226374525,1.226374526,1.226374528,1.226374538
FIFA World Cup Qualifiers - Asia,2024-03-21,06:00:00,Pakistan,Jordan,50.0,1000.0,1.06,1.08,15.5,55.0,3.95,5.4,1.23,1.34,1.77,1.99,2.02,2.3,1.24,1.36,3.8,5.2,34.0,55.0,1.02,1.03,3.0,13.5,1.09,1.25,3.15,4.2,1.32,1.47,1.6,2.4,1.72,3.05,1.36,1.61,1.1,3.8,1.14,1.35,3.85,8.8,1.05,1.18,1.11,21.0,1.01,1.06,1.11,110.0,1.01,1.02,50.0,990.0,1.1,11.0,1.2,1.52,1.44,50.0,10.0,980.0,6.0,1000.0,4.9,1000.0,1.12,980.0,1.12,980.0,18.0,980.0,15.0,980.0,1.12,1000.0,1.12,1000.0,1.12,980.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,33121219,1395948.0,866340.0,58805.0,1.226375915,1.226375918,1.226375920,1.226375913,1.226375919,1.226375929,1.226375925,1.226375871,1.226375926,1.226375923,1.226375921,1.226375911,1.226375912,1.226375914,1.226375924
FIFA World Cup Qualifiers - Asia,2024-03-21,06:10:00,Australia,Lebanon,1.14,1.15,32.0,40.0,9.8,11.0,3.85,4.6,1.28,1.35,1.64,1.81,2.24,2.58,1.18,1.25,5.0,6.6,26.0,34.0,1.03,1.04,3.3,9.4,1.15,1.3,2.62,2.96,1.51,1.62,1.62,1.79,2.28,2.62,1.27,1.32,4.1,4.8,1.1,1.14,8.0,11.0,1.04,1.06,17.5,36.0,1.01,1.03,34.0,1000.0,1.01,1.01,48.0,1000.0,2.72,3.05,1.48,1.58,5.9,980.0,6.6,980.0,7.0,1000.0,7.0,1000.0,8.4,10.5,18.5,980.0,6.8,980.0,7.0,1000.0,5.8,7.4,12.0,15.5,6.4,980.0,7.0,1000.0,6.4,8.6,12.0,16.0,6.4,70.0,7.0,1000.0,2.46,3.75,7.0,1000.0,7.0,1000.0,33118472,15296.0,720025.0,58805.0,1.226414406,1.226414492,1.226414493,1.226414494,1.226414408,1.226414409,1.226414410,1.226414411,1.226414412,1.226414413,1.226414414,1.226414415,1.226414416,1.226414485,1.226414407
Friendly Matches,2024-03-21,06:30:00,Zlin,Prostejov,1.31,480.0,1.2,870.0,4.0,32.0,1.01,5.4,1.23,1.45,1.03,990.0,1.5,1000.0,1.1,1.25,5.1,110.0,2.66,48.0,1.02,1.03,2.66,12.5,1.09,1.28,2.66,5.8,1.21,1.6,1.2,5.8,1.4,6.0,1.15,2.2,1.83,7.8,1.06,2.2,1.83,26.0,1.03,1.2,1.84,110.0,1.01,1.1,6.0,110.0,1.01,1.05,6.0,1000.0,1.1,1000.0,1.1,1000.0,1.1,48.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33124879,367580.0,6607086.0,58805.0,1.226426426,1.226426429,1.226426431,1.226426424,1.226426430,1.226426474,1.226426471,1.226426475,1.226426472,1.226426434,1.226426432,1.226426425,1.226426423,1.226426510,1.226426435
FIFA World Cup Qualifiers - Asia,2024-03-21,07:20:00,Japan,North Korea,1.07,1.09,36.0,1000.0,12.5,75.0,1.01,5.4,1.23,1.4,1.76,2.3,1.77,2.3,1.16,1.26,4.9,7.4,34.0,55.0,1.02,1.03,1.11,11.0,1.1,1.3,1.27,970.0,1.1,4.6,1.6,2.34,1.75,2.68,1.23,2.0,2.0,5.4,1.11,1.5,1.11,10.5,1.03,1.2,1.11,36.0,1.01,1.08,1.11,110.0,1.01,1.04,1.11,1000.0,4.7,6.0,1.2,1.28,3.3,60.0,4.2,1000.0,4.2,1000.0,4.2,1000.0,9.4,1000.0,1.17,1000.0,4.2,1000.0,4.2,1000.0,1.17,1000.0,1.14,980.0,1.17,1000.0,4.2,1000.0,5.0,1000.0,1.13,980.0,1.17,1000.0,1.48,1000.0,1.09,55.0,4.2,1000.0,1.18,1000.0,33121170,29636.0,548596.0,58805.0,1.226375460,1.226375465,1.226375469,1.226375456,1.226375467,1.226375515,1.226375509,1.226375374,1.226375511,1.226375487,1.226375474,1.226375444,1.226375452,1.226375458,1.226375495
FIFA World Cup Qualifiers - Asia,2024-03-21,08:00:00,South Korea,Thailand,1.15,1.17,34.0,870.0,8.6,10.5,3.6,4.5,1.29,1.38,1.65,1.75,2.34,2.54,1.17,1.23,5.3,7.0,21.0,34.0,1.03,1.05,1.11,36.0,1.11,1.25,2.5,2.8,1.56,1.67,1.57,1.72,2.4,2.74,1.24,1.3,4.3,5.2,1.1,970.0,1.11,13.5,1.04,1.08,1.11,55.0,1.01,1.06,1.11,1000.0,1.01,1.02,1.11,1000.0,2.6,2.94,1.51,1.62,16.0,980.0,24.0,980.0,9.2,1000.0,9.4,1000.0,7.4,980.0,19.0,980.0,8.8,980.0,9.4,1000.0,5.9,7.4,10.0,980.0,8.4,980.0,9.2,1000.0,6.8,8.4,12.0,16.0,8.4,980.0,9.6,1000.0,2.76,3.9,10.0,1000.0,9.6,1000.0,33121187,47965.0,51091.0,58805.0,1.226374817,1.226374820,1.226374822,1.226374815,1.226374821,1.226374831,1.226374827,1.226374773,1.226374828,1.226374825,1.226374823,1.226374813,1.226374814,1.226374816,1.226374826
Friendly Matches,2024-03-21,08:00:00,Union Berlin,FC Magdeburg,1.55,1.74,4.6,6.0,4.4,5.7,3.95,4.9,1.26,1.34,1.66,1.91,2.1,2.5,1.19,1.23,4.9,6.4,2.68,36.0,1.03,1.59,2.68,34.0,1.11,1.59,2.68,3.25,1.45,1.59,1.7,1.91,2.1,2.44,1.29,1.39,3.55,4.4,1.11,1.39,3.55,10.5,1.04,1.2,6.0,26.0,1.01,1.1,1.11,250.0,1.01,1.05,6.2,1000.0,1.66,1.73,2.36,2.74,5.5,44.0,5.4,980.0,5.9,980.0,6.2,980.0,11.5,980.0,9.0,980.0,5.1,980.0,5.9,980.0,10.5,980.0,7.8,12.0,13.5,980.0,5.9,980.0,13.5,980.0,12.0,980.0,5.3,980.0,6.0,980.0,3.25,6.4,5.7,980.0,6.4,1000.0,33123843,50347.0,516219.0,58805.0,1.226411261,1.226411264,1.226411266,1.226411259,1.226411265,1.226411309,1.226411306,1.226411310,1.226411307,1.226411269,1.226411267,1.226411260,1.226411258,1.226411345,1.226411270
FIFA World Cup Qualifiers - Asia,2024-03-21,08:30:00,Myanmar,Syria,48.0,60.0,1.07,1.09,15.0,19.5,4.2,6.4,1.18,1.32,1.81,2.06,1.96,2.24,1.23,1.38,3.65,5.4,7.6,55.0,1.02,1.03,3.0,18.0,1.09,1.22,3.4,4.2,1.32,1.42,2.0,2.24,1.81,2.0,1.41,1.52,2.92,3.45,1.17,1.54,2.8,7.0,1.09,1.14,6.0,12.0,1.03,1.08,1.11,55.0,1.01,1.03,1.11,1000.0,2.92,3.35,1.43,1.53,16.0,60.0,11.0,14.5,7.0,9.0,6.0,7.8,8.4,980.0,7.2,980.0,14.5,20.0,12.0,19.0,8.6,1000.0,8.4,980.0,8.2,980.0,7.8,980.0,8.8,1000.0,8.8,1000.0,8.8,1000.0,8.6,1000.0,9.0,1000.0,1.98,2.54,8.8,1000.0,33121176,3531810.0,920033.0,58805.0,1.226375213,1.226375216,1.226375218,1.226375211,1.226375217,1.226375227,1.226375223,1.226375169,1.226375224,1.226375221,1.226375219,1.226375209,1.226375210,1.226375212,1.226375222
Friendly Matches,2024-03-21,09:00:00,SV Stripfing/Weiden,SV Ried,1.2,480.0,1.35,870.0,1.22,32.0,1.01,4.4,1.3,1000.0,1.02,1000.0,1.01,1000.0,1.01,1.2,6.2,1000.0,1.27,110.0,1.01,4.6,1.27,110.0,1.01,6.0,1.27,1000.0,1.01,4.6,1.05,1000.0,1.01,55.0,1.05,1.32,4.2,110.0,1.03,1.14,8.6,1000.0,1.01,1.14,8.6,1000.0,1.01,1.14,8.6,1000.0,1.01,1.14,8.6,1000.0,1.1,1000.0,1.1,1000.0,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33125918,11432431.0,872714.0,58805.0,1.226448448,1.226448451,1.226448453,1.226448446,1.226448452,1.226448736,1.226448493,1.226448737,1.226448494,1.226448456,1.226448454,1.226448447,1.226448445,1.226448772,1.226448457
