League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Indonesian Liga 1,2024-09-12,05:30:00,Pss Sleman,Pusamania Borneo FC,4.7,5.1,1.82,1.87,3.65,4.1,1.89,2.04,1.96,2.12,1.84,2.06,1.95,2.18,12.0,14.0,8.4,9.2,9.4,11.5,18.0,21.0,15.0,980.0,7.6,8.6,9.6,10.5,18.0,21.0,24.0,40.0,16.5,19.5,18.0,21.0,27.0,980.0,10.0,1000.0,34.0,980.0,9.6,80.0,10.0,130.0,60.0,90.0,11.5,14.0,11.0,1000.0,33573310,13082110.0,9130100.0,58805.0,1.232858788,1.232858833,1.232858872,1.232858797
Australia Cup,2024-09-12,06:30:00,Adelaide United,Western Sydney Wanderers,2.6,2.68,2.5,2.56,4.2,4.4,3.15,3.45,1.42,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33563410,571273.0,6480414.0,58805.0,1.23273903,1.232739031,0.0,0.0
Thai League 1,2024-09-12,08:30:00,Port FC,Buriram Utd,3.75,4.2,1.93,2.06,3.85,4.4,2.68,2.96,1.51,1.57,1.5,1.58,2.74,2.98,6.4,40.0,5.6,17.0,5.6,17.5,6.2,980.0,6.2,980.0,8.6,10.5,9.8,12.0,5.7,980.0,6.8,980.0,5.7,18.0,5.5,16.0,6.4,980.0,7.6,980.0,6.8,980.0,6.8,980.0,7.2,980.0,6.4,1000.0,4.1,8.4,8.6,980.0,33564413,9255164.0,7039295.0,58805.0,1.232744503,1.232744548,1.232744587,1.232744512
Hong Kong Premier League,2024-09-12,09:00:00,Eastern AA,North District,1.17,1.43,1.02,28.0,4.4,14.0,2.22,7.4,1.29,1.81,1.9,2.18,1.84,2.1,1.18,46.0,1.21,980.0,1.21,1000.0,1.21,1000.0,1.17,980.0,1.21,980.0,4.2,980.0,4.2,1000.0,1.21,1000.0,1.18,980.0,1.21,980.0,4.2,1000.0,1.21,1000.0,1.19,980.0,1.21,1000.0,1.21,1000.0,1.12,55.0,1.55,1000.0,1.21,1000.0,33576663,9253857.0,21137551.0,58805.0,1.232891584,1.232891629,1.232891668,1.232891593
Indonesian Liga 1,2024-09-12,09:00:00,PSBS Biak Numfor,Persija Jakarta,6.2,6.8,1.62,1.66,4.1,4.5,2.0,2.1,1.9,2.0,1.95,2.12,1.9,2.06,13.0,15.0,7.6,8.4,8.4,9.6,7.2,16.0,19.0,23.0,8.4,10.5,9.0,10.5,15.0,18.0,26.0,55.0,21.0,36.0,19.5,24.0,28.0,38.0,10.5,190.0,11.5,95.0,36.0,980.0,10.5,140.0,11.5,120.0,7.6,10.0,13.0,1000.0,33577025,13520951.0,5221469.0,58805.0,1.232894162,1.232894207,1.232894246,1.232894171
Malaysian Super League,2024-09-12,09:15:00,Johor Darul Takzim,Pulau Pinang,1.07,1.08,28.0,1000.0,16.0,26.0,4.0,6.0,1.23,1.34,2.34,2.68,1.6,1.74,44.0,110.0,4.2,980.0,7.8,1000.0,5.7,1000.0,15.0,980.0,2.3,980.0,5.5,980.0,11.5,1000.0,4.5,980.0,2.46,980.0,9.2,980.0,15.5,1000.0,5.2,980.0,6.8,980.0,8.8,980.0,250.0,1000.0,1.59,1.89,30.0,1000.0,10.0,1000.0,33576341,6958480.0,10788765.0,58805.0,1.232891136,1.232891181,1.23289122,1.232891145
Chilean Ladies,2024-09-12,12:00:00,Cobresal (W),Santiago Morning (W),10.0,980.0,1.15,1.2,8.2,28.0,3.0,6.0,1.2,1.5,1.12,1000.0,1.12,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.13,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.13,1000.0,4.2,980.0,1.03,980.0,1.03,1000.0,1.13,1000.0,4.2,1000.0,4.2,1000.0,1.03,1000.0,1.55,1000.0,1.01,980.0,1.04,1000.0,33578705,55497995.0,26465443.0,58805.0,1.232914635,1.232914680,1.232914719,1.232914644
Chilean Ladies,2024-09-12,12:00:00,Colo Colo (W),Deportes Iquique (W),1.05,1.12,10.5,980.0,9.4,980.0,3.5,36.0,1.04,1.4,2.22,4.0,1.33,1.81,1.08,980.0,1.13,980.0,1.13,1000.0,4.2,1000.0,1.08,980.0,1.08,980.0,4.2,980.0,4.2,1000.0,1.08,1000.0,1.08,980.0,1.08,980.0,4.2,1000.0,1.08,1000.0,1.08,1000.0,1.08,1000.0,250.0,1000.0,1.01,55.0,4.2,1000.0,1.13,1000.0,33578712,7376110.0,28197942.0,58805.0,1.232914545,1.232914590,1.232914629,1.232914554
Chilean Ladies,2024-09-12,12:00:00,Audax Italiano (W),Coquimbo Unido (W),4.0,980.0,1.15,1.31,4.0,28.0,1.73,7.8,1.15,1.82,1.12,1000.0,1.12,1000.0,1.03,980.0,1.04,980.0,1.04,1000.0,1.04,1000.0,1.13,980.0,1.04,980.0,1.04,980.0,1.04,1000.0,1.13,1000.0,4.2,980.0,1.04,980.0,1.04,1000.0,1.13,1000.0,4.2,1000.0,4.2,1000.0,1.04,1000.0,1.55,1000.0,1.02,980.0,1.04,1000.0,33578701,7376210.0,55497729.0,58805.0,1.232914725,1.232914773,1.232914813,1.232914736
Israeli National League,2024-09-12,12:00:00,Maccabi Kabilio Jaffa,Hapoel Afula,2.04,2.26,3.4,3.95,3.65,4.3,2.14,2.48,1.7,1.87,1.62,1.78,2.28,2.6,5.5,980.0,5.2,980.0,6.0,980.0,6.6,980.0,4.7,980.0,4.2,980.0,5.0,980.0,6.2,980.0,5.1,980.0,8.6,980.0,13.0,980.0,6.2,980.0,5.8,980.0,5.6,980.0,6.0,980.0,6.6,980.0,4.7,980.0,6.0,980.0,7.2,1000.0,33578842,6269792.0,5546999.0,58805.0,1.232916088,1.232916133,1.232916172,1.232916097
