League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Chinese League 2,2026-07-27,07:30:00,Qingdao Red Lions,Beijing Tech FC,1.83,2.04,4.2,5.8,3.0,3.7,1.61,1.79,2.26,2.64,2.02,2.32,1.76,1.97,4.2,12.5,4.5,15.0,5.7,48.0,6.2,190.0,3.6,8.0,3.65,8.4,5.0,23.0,6.0,95.0,4.1,11.5,4.1,11.5,5.1,25.0,6.2,130.0,5.1,24.0,5.2,26.0,5.9,60.0,6.2,220.0,4.9,21.0,6.2,170.0,6.4,1000.0,35867573,23344678.0,17824433.0,58805.0,1.260438053,1.260438063,1.260438052,1.260438062,2.38,3.1,1.48,1.72,1.15,11.0,1.1,1.14,2.68,3.3,1.43,1.56,1.2,1.27,1.96,2.22,1.37,1.47,1.260438044,1.260438056,1.260438057,1.260438067
Slovakian 2 Liga,2026-07-27,12:00:00,Samorin,Malzenice,2.06,2.36,3.15,3.9,3.45,4.2,2.1,2.3,1.77,1.91,1.65,1.83,2.2,2.54,12.5,21.0,11.0,18.5,19.0,32.0,4.1,75.0,8.2,13.5,6.4,10.5,10.5,18.0,3.95,48.0,11.0,18.5,8.2,13.5,12.0,20.0,4.0,55.0,20.0,34.0,16.0,27.0,3.9,40.0,4.1,95.0,10.5,18.0,3.9,42.0,4.3,1000.0,35850390,4985272.0,15162394.0,58805.0,1.260287789,1.260287834,1.260287873,1.260287798,3.25,4.3,1.3,1.45,12.0,21.0,1.05,1.08,4.0,4.9,1.26,1.34,1.34,1.46,1.73,1.95,1.31,1.41,1.260287790,1.260287792,1.260287793,1.260287837
Romanian Liga I,2026-07-27,12:30:00,CFR Cluj,FC Voluntari,1.84,1.87,4.7,5.2,3.75,3.9,1.9,2.02,1.99,2.12,1.84,1.96,2.04,2.18,11.5,16.5,15.0,20.0,30.0,40.0,8.0,130.0,7.8,9.2,7.4,8.8,17.0,19.5,50.0,70.0,10.0,12.0,9.4,12.0,16.5,21.0,55.0,80.0,18.0,22.0,18.0,22.0,32.0,40.0,8.0,130.0,12.0,15.0,55.0,80.0,7.6,1000.0,35846549,1193695.0,8838645.0,58805.0,1.260253087,1.260253097,1.260253086,1.260253096,3.05,3.4,1.42,1.48,11.5,14.5,1.07,1.1,3.6,3.95,1.34,1.39,1.24,1.27,2.14,2.2,1.34,1.36,1.260253078,1.260253090,1.260253091,1.260253101
Lithuanian A Lyga,2026-07-27,12:45:00,Hegelmann Litauen,VMFD Zalgiris,4.3,5.4,1.8,1.96,3.65,4.2,1.95,2.18,1.85,2.06,1.77,1.95,2.06,2.3,5.0,16.5,7.2,9.6,9.6,13.0,16.0,23.0,5.2,18.0,6.8,9.0,8.0,11.0,16.0,21.0,6.2,42.0,5.5,22.0,14.0,22.0,6.0,38.0,6.8,120.0,6.6,70.0,6.6,75.0,6.8,120.0,6.6,70.0,9.6,13.5,7.2,1000.0,35867318,19046910.0,5524811.0,58805.0,1.260437332,1.260437335,1.260437379,1.260437380,3.1,3.95,1.34,1.48,13.0,16.5,1.06,1.09,3.75,4.4,1.29,1.36,2.04,2.26,1.23,1.3,1.31,1.38,1.260437381,1.260437342,1.260437333,1.260437334
Bulgarian A League,2026-07-27,13:00:00,Dunav Ruse,Ludogorets,10.5,12.5,1.34,1.39,5.2,5.8,2.18,2.34,1.75,1.85,2.08,2.3,1.76,1.92,14.0,22.0,7.2,8.6,5.9,9.4,8.6,13.5,21.0,42.0,9.4,13.0,7.8,11.0,11.5,17.0,6.4,110.0,6.0,55.0,5.6,32.0,5.9,44.0,6.8,560.0,6.6,200.0,6.6,190.0,6.6,220.0,6.6,350.0,4.9,6.2,6.8,1000.0,35842467,7739574.0,5112599.0,58805.0,1.260212629,1.260212640,1.260212628,1.260212639,3.15,4.7,1.27,1.47,15.0,20.0,1.05,1.07,4.4,4.9,1.25,1.3,3.55,3.9,1.08,1.11,1.21,1.24,1.260212619,1.260212632,1.260212633,1.260212645
Czech 1 Liga,2026-07-27,13:00:00,SK Artis Brno,Mlada Boleslav,3.95,4.5,1.92,2.08,3.6,4.0,1.99,2.2,1.83,2.02,1.74,1.77,2.3,2.36,13.0,19.0,8.4,10.5,10.5,14.5,19.0,28.0,13.5,17.0,7.4,10.0,8.8,12.5,17.0,21.0,5.1,34.0,12.5,20.0,15.0,21.0,5.3,42.0,5.7,100.0,5.5,60.0,5.5,60.0,5.7,110.0,5.4,50.0,9.6,14.0,6.0,1000.0,35846106,85908106.0,886284.0,58805.0,1.260248198,1.260248208,1.260248197,1.260248207,3.15,3.7,1.37,1.47,11.0,16.5,1.06,1.08,3.9,4.5,1.28,1.35,1.92,2.1,1.29,1.34,1.33,1.39,1.260248189,1.260248201,1.260248202,1.260248212
Czech 2 Liga,2026-07-27,13:00:00,SFC Opava,MFK Karvina,2.28,2.6,3.0,3.5,3.35,3.85,1.92,2.34,1.87,2.28,1.7,1.88,2.14,2.42,3.45,18.0,3.4,16.0,3.75,28.0,4.0,70.0,3.25,13.0,3.0,9.8,3.45,17.0,3.95,46.0,3.55,19.5,3.3,14.0,3.55,21.0,4.0,55.0,3.9,40.0,3.8,32.0,3.95,46.0,4.1,110.0,3.65,24.0,3.9,40.0,4.3,1000.0,35849521,6247170.0,3358864.0,58805.0,1.260452119,1.260452122,1.260452166,1.260452167,2.74,3.65,1.38,1.49,1.15,18.0,1.06,1.1,3.6,4.6,1.3,1.37,1.4,1.5,1.62,1.79,1.35,1.43,1.260452168,1.260452129,1.260452120,1.260452121
Swedish Superettan,2026-07-27,14:00:00,Orebro,Oddevold,2.82,3.05,2.5,2.68,3.45,3.8,2.16,2.34,1.75,1.86,1.62,1.7,2.42,2.62,15.5,19.0,11.0,15.0,15.5,21.0,6.2,40.0,11.5,14.5,7.4,9.0,10.0,12.5,21.0,28.0,17.5,24.0,11.0,15.0,13.0,16.5,6.2,36.0,6.4,50.0,6.0,32.0,6.2,40.0,6.8,75.0,16.5,25.0,14.0,18.5,7.4,1000.0,35846487,42617.0,778918.0,58805.0,1.260251680,1.260251690,1.260251679,1.260251689,3.35,4.3,1.3,1.43,15.0,19.0,1.05,1.07,4.4,4.9,1.25,1.3,1.59,1.67,1.49,1.55,1.35,1.41,1.260251671,1.260251683,1.260251684,1.260251694
Swedish Allsvenskan,2026-07-27,14:00:00,Hacken,AIK,1.92,1.94,4.0,4.1,4.3,4.4,2.7,2.82,1.55,1.59,1.56,1.6,2.68,2.78,22.0,27.0,20.0,23.0,32.0,36.0,34.0,75.0,13.0,14.5,9.4,10.5,15.0,16.5,34.0,85.0,13.5,15.5,9.8,11.0,14.0,15.5,34.0,40.0,19.5,23.0,15.5,17.5,22.0,26.0,50.0,60.0,7.6,8.4,24.0,27.0,55.0,460.0,35841729,30681.0,168731.0,58805.0,1.260198743,1.260198746,1.260198790,1.260198791,3.55,4.8,1.27,1.4,21.0,36.0,1.04,1.05,5.9,6.4,1.18,1.21,1.32,1.34,2.06,2.1,1.29,1.31,1.260198792,1.260198753,1.260198744,1.260198745
Polish I Liga,2026-07-27,14:00:00,Miedz Legnica,Podbeskidzie B-B,1.99,2.18,3.45,3.95,3.75,4.2,2.2,2.58,1.68,1.83,1.65,1.77,2.3,2.54,14.0,23.0,12.0,21.0,20.0,36.0,4.0,85.0,8.6,14.5,6.8,11.0,11.5,19.0,3.9,50.0,10.5,17.5,8.0,13.0,12.0,20.0,3.9,55.0,18.0,32.0,14.5,25.0,3.8,38.0,4.0,90.0,9.0,15.0,3.85,42.0,4.2,1000.0,35849536,4935893.0,4135278.0,58805.0,1.260283378,1.260283388,1.260283377,1.260283387,3.05,4.6,1.28,1.49,13.5,21.0,1.05,1.07,4.5,5.2,1.24,1.29,1.33,1.41,1.84,2.02,1.31,1.37,1.260283369,1.260283381,1.260283382,1.260283392
