League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWITZERLAND - SUPER LEAGUE,29/05/2023,11:30,St. Gallen,Sion,1.55,4.75,5.25
NORWAY - ELITESERIEN,29/05/2023,12:00,Sarpsborg 08,Aalesund,1.53,4.33,6.0
SWEDEN - ALLSVENSKAN,29/05/2023,14:00,Hammarby,Varnamo,1.5,4.2,6.5
SWEDEN - ALLSVENSKAN,29/05/2023,14:10,Hacken,Goteborg,1.44,4.75,7.5
