League,N1,N2,N3
ALBANIA - SUPERLIGA,A,H,D
ARGENTINA - COPA DE LA LIGA PROFESIONAL,H,D,H
ARGENTINA - PRIMERA NACIONAL,H,H,H
AUSTRIA - 2. LIGA,H,A,D
AUSTRIA - BUNDESLIGA,D,A,D
AZERBAIJAN - PREMIER LEAGUE,A,D,H
BELARUS - VYSSHAYA LIGA,A,H,H
BELGIUM - CHALLENGER PRO LEAGUE,D,H,D
BELGIUM - JUPILER PRO LEAGUE,H,D,A
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,H,H,D
BRAZIL - SERIE A,A,D,D
BRAZIL - SERIE B,D,H,D
BULGARIA - PARVA LIGA,A,D,H
CANADA - CANADIAN PREMIER LEAGUE,H,D,H
CHILE - PRIMERA DIVISION,D,D,D
COLOMBIA - PRIMERA A,H,D,D
COSTA RICA - PRIMERA DIVISION,A,D,A
CROATIA - HNL,D,H,A
DOMINICAN REPUBLIC - LDF,A,H,H
ECUADOR - LIGA PRO,H,D,A
ENGLAND - FA CUP,A,H,H
ENGLAND - PREMIER LEAGUE,A,A,D
ESTONIA - MEISTRILIIGA,H,H,D
FIJI - PREMIER LEAGUE,A,A,A
FINLAND - VEIKKAUSLIIGA,A,D,D
HONG KONG - PREMIER LEAGUE,H,H,D
ICELAND - BESTA DEILD KARLA,H,H,A
INDONESIA - LIGA 1,A,H,A
ITALY - SERIE C,D,D,D
MEXICO - LIGA MX,H,A,A
MONTENEGRO - PRVA CRNOGORSKA LIGA,D,A,H
MOROCCO - BOTOLA PRO,H,H,A
NETHERLANDS - EERSTE DIVISIE,A,D,D
NETHERLANDS - EREDIVISIE,A,A,D
NETHERLANDS - TWEEDE DIVISIE,D,A,A
NICARAGUA - LIGA PRIMERA,A,A,H
NORWAY - OBOS-LIGAEN,A,A,H
PANAMA - LPF,D,D,H
PARAGUAY - PRIMERA DIVISION,H,A,H
PERU - LIGA 1,D,H,A
POLAND - DIVISION 1,D,H,D
POLAND - EKSTRAKLASA,D,A,H
PORTUGAL - LIGA PORTUGAL,H,A,H
PORTUGAL - LIGA PORTUGAL 2,H,A,H
ROMANIA - LIGA 1,D,H,A
ROMANIA - LIGA 2,D,A,D
RUSSIA - PREMIER LEAGUE,A,H,A
SCOTLAND - PREMIERSHIP,D,A,D
SERBIA - PRVA LIGA,D,D,H
SERBIA - SUPER LIGA,A,A,H
SLOVAKIA - NIKE LIGA,D,H,A
SLOVENIA - PRVA LIGA,A,H,D
SOUTH KOREA - K LEAGUE 1,D,A,H
SOUTH KOREA - K LEAGUE 2,D,A,D
SPAIN - LALIGA2,H,D,A
SPAIN - PRIMERA RFEF,A,H,H
SWEDEN - ALLSVENSKAN,A,H,A
SWEDEN - SUPERETTAN,H,A,A
SWITZERLAND - CHALLENGE LEAGUE,D,D,H
SWITZERLAND - SUPER LEAGUE,A,H,H
URUGUAY - PRIMERA DIVISION,D,H,D
USA - MLS,H,D,D
USA - USL CHAMPIONSHIP,D,A,D
VENEZUELA - LIGA FUTVE,D,H,A
