League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Argentina Primera División,2023-07-06,14:00:00,23,Arsenal de Sarandí,Defensa y Justicia,4.5,3.3,1.75,1.07,9.0,1.4,2.85,2.2,1.65,4.25,1.21,9.5,1.07,2.0,1.75
Argentina Primera División,2023-07-06,17:00:00,23,Unión Santa Fe,Boca Juniors,3.2,2.8,2.38,1.11,6.28,1.5,2.45,2.6,1.48,5.46,1.14,11.0,1.03,2.1,1.67
Argentina Primera División,2023-07-06,19:00:00,23,Sarmiento,Talleres Córdoba,3.7,3.0,1.95,1.07,7.92,1.43,2.75,2.25,1.57,4.45,1.19,9.13,1.05,1.95,1.8
Argentina Primera División,2023-07-06,19:00:00,23,Argentinos Juniors,Instituto,1.87,2.9,4.0,1.07,7.61,1.5,2.45,2.46,1.46,4.45,1.19,9.13,1.05,2.25,1.57
Venezuela Primera División,2023-07-06,19:00:00,18,Estudiantes Mérida,Angostura,2.22,3.2,2.59,0.0,0.0,0.0,0.0,1.96,1.74,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera División,2023-07-06,20:00:00,16,Ñublense,Unión Española,1.98,3.61,3.57,1.04,12.0,1.3,3.4,1.83,1.97,3.5,1.3,6.5,1.1,1.8,1.91
Argentina Primera División,2023-07-06,21:30:00,23,Huracán,Atlético Tucumán,2.1,2.87,3.4,1.09,6.83,1.5,2.45,2.5,1.45,4.87,1.16,10.0,1.05,2.2,1.62
Argentina Primera División,2023-07-06,21:30:00,23,Belgrano,Barracas Central,2.0,2.9,3.6,1.08,7.29,1.54,2.48,2.35,1.53,4.93,1.16,10.0,1.04,2.2,1.62
