League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SPAIN - LALIGA,27/04/2023,14:30,Villarreal,Espanyol,1.6,4.0,5.75
SWITZERLAND - SUPER LEAGUE,27/04/2023,15:30,Luzern,Winterthur,1.45,4.5,6.5
