League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
China Chinese Super League,2023-06-08,08:35:00,12,Changchun Yatai,Shenzhen,1.45,4.3,6.0,1.04,14.75,1.25,4.02,1.6,2.19,2.91,1.42,5.35,1.16,1.86,1.9
China Chinese Super League,2023-06-08,08:35:00,12,Chengdu Better City FC,Tianjin Teda,1.54,3.88,5.63,1.06,11.25,1.33,3.35,1.99,1.8,3.53,1.3,6.9,1.11,2.0,1.72
China Chinese Super League,2023-06-08,08:35:00,12,Qingdao Jonoon,Shanghai Shenhua,3.7,3.2,2.0,1.06,8.0,1.3,3.26,2.14,1.63,3.38,1.28,6.5,1.1,1.8,1.96
Austria Bundesliga,2023-06-08,12:00:00,0,Austria Lustenau,Austria Wien,3.0,3.5,2.2,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-06-08,12:15:00,11,SJK,VPS,1.5,4.0,6.25,1.05,9.0,1.29,3.5,1.8,1.9,3.0,1.36,5.0,1.14,2.0,1.73
Tunisia Ligue 1,2023-06-08,12:30:00,10,CS Sfaxien,Ben Guerdane,1.67,3.15,5.75,1.07,6.5,1.56,2.28,2.51,1.44,5.0,1.14,10.0,1.03,2.5,1.5
Egypt Egyptian Premier League,2023-06-08,13:00:00,31,Ismaily SC,El Geish,2.57,2.8,3.22,1.12,5.5,1.52,2.38,2.56,1.45,5.25,1.14,13.0,1.04,2.1,1.7
Netherlands Eredivisie,2023-06-08,15:00:00,0,Sparta Rotterdam,Twente,3.7,3.6,1.95,1.04,9.5,1.24,3.92,1.71,2.06,2.85,1.4,5.38,1.14,1.67,2.25
Egypt Egyptian Premier League,2023-06-08,15:30:00,31,Aswan FC,Al Mokawloon,3.44,3.02,2.3,1.08,6.1,1.45,2.6,2.39,1.51,4.5,1.18,8.8,1.02,2.04,1.74
Italy Serie B,2023-06-08,15:30:00,0,Cagliari,Bari 1908,1.9,3.35,4.1,1.08,9.1,1.39,3.03,2.11,1.65,4.0,1.25,8.05,1.08,2.05,1.73
Brazil Serie B,2023-06-08,16:00:00,11,Criciúma,Juventude,1.89,3.35,3.74,1.08,8.65,1.41,2.71,2.32,1.54,4.17,1.19,7.7,1.05,2.1,1.67
Brazil Serie D,2023-06-08,16:00:00,6,Caucaia,Maranhão,3.4,3.4,1.91,1.05,8.0,1.33,3.0,2.1,1.7,4.0,1.2,8.0,1.05,1.82,1.94
Spain Segunda División,2023-06-08,16:00:00,0,Deportivo Alavés,SD Eibar,2.25,2.95,3.5,1.11,6.5,1.54,2.43,2.52,1.46,4.75,1.17,11.0,1.04,2.2,1.58
Brazil Serie C,2023-06-08,16:30:00,7,Remo,América RN,1.83,3.0,4.6,1.11,6.0,1.48,2.46,2.25,1.57,4.5,1.17,9.0,1.05,2.3,1.59
Brazil Serie D,2023-06-08,18:00:00,6,São Francisco,Trem,2.75,3.3,2.25,1.03,9.0,1.31,3.04,2.08,1.73,3.48,1.24,7.5,1.05,1.78,1.99
Brazil Serie C,2023-06-08,18:30:00,7,Floresta,São Bernardo,2.88,3.1,2.3,1.1,8.05,1.45,2.68,2.25,1.57,4.13,1.2,8.0,1.06,1.95,1.75
Brazil Serie D,2023-06-08,19:00:00,6,Princesa Solimões,Humaitá,1.36,4.33,6.5,1.05,8.0,1.33,3.0,1.95,1.85,4.0,1.2,8.0,1.05,2.25,1.61
Brazil Serie D,2023-06-08,19:00:00,6,Jacuipense,Cruzeiro Arapiraca,1.75,3.4,4.0,1.05,8.0,1.36,2.88,2.25,1.62,4.5,1.17,8.0,1.05,1.98,1.78
Brazil Serie C,2023-06-08,19:00:00,7,Aparecidense,Brusque,2.27,3.0,2.93,1.1,6.5,1.5,2.45,2.36,1.52,4.32,1.2,8.0,1.06,1.95,1.77
Egypt Egyptian Premier League,2023-06-08,19:00:00,31,Al Ahly,Zamalek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-08,19:30:00,6,Santa Cruz,Pacajus,1.8,3.4,4.0,1.06,8.75,1.35,2.9,2.2,1.65,3.75,1.23,8.0,1.07,2.04,1.74
Brazil Serie C,2023-06-08,20:00:00,7,CSA,Manaus,1.6,3.1,6.5,1.13,6.45,1.55,2.31,2.56,1.45,5.05,1.14,9.1,1.04,2.65,1.42
Argentina Prim B Nacional,2023-06-08,20:10:00,20,San Martín Tucumán,Estudiantes Río Cuarto,2.08,2.95,3.51,1.12,5.5,1.56,2.29,2.77,1.39,5.35,1.1,9.0,1.03,2.4,1.57
Brazil Serie C,2023-06-08,21:30:00,7,Figueirense,Ypiranga Erechim,1.95,3.0,3.85,1.1,6.5,1.45,2.63,2.29,1.55,4.32,1.2,8.0,1.06,2.05,1.73
