League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-07-09,06:00:00,25,Blaublitz Akita,Roasso Kumamoto,2.75,2.83,2.41,1.1,6.5,1.42,2.7,2.25,1.53,4.2,1.2,8.0,1.06,1.95,1.8
Japan J2 League,2023-07-09,06:00:00,25,Iwaki,Mito Hollyhock,2.4,2.93,2.69,1.06,8.0,1.33,3.1,2.1,1.6,3.5,1.28,6.5,1.1,1.8,1.95
Japan J2 League,2023-07-09,06:00:00,25,Tochigi,Vegalta Sendai,2.46,2.93,2.61,1.1,6.5,1.45,2.6,2.1,1.6,4.5,1.18,8.0,1.06,2.0,1.75
Japan J2 League,2023-07-09,06:00:00,25,Machida Zelvia,Tokyo Verdy,2.4,2.93,2.69,1.08,7.0,1.48,2.55,2.1,1.6,4.5,1.18,7.0,1.08,2.0,1.75
Japan J2 League,2023-07-09,06:00:00,25,Fujieda MYFC,Ventforet Kofu,2.59,2.95,2.47,1.05,9.0,1.25,3.75,1.88,1.73,2.9,1.38,5.0,1.14,1.6,2.25
Japan J2 League,2023-07-09,06:00:00,25,V-Varen Nagasaki,Renofa Yamaguchi,1.55,3.43,5.13,1.05,9.0,1.3,3.3,1.8,1.8,3.3,1.3,5.5,1.12,1.83,1.9
South Korea K League 2,2023-07-09,06:30:00,20,Seongnam,Gimpo Citizen,2.32,3.25,3.05,1.04,7.5,1.36,2.78,2.25,1.5,3.9,1.19,7.7,1.04,1.83,1.83
South Korea K League 2,2023-07-09,06:30:00,20,Gyeongnam,Ansan Greeners,1.73,3.85,4.3,1.03,14.0,1.22,3.8,1.8,1.98,2.7,1.4,4.75,1.15,1.8,1.91
South Korea K League 1,2023-07-09,07:00:00,21,Daejeon Citizen,Suwon Bluewings,1.94,3.59,3.74,1.03,13.0,1.28,3.5,1.81,1.98,3.3,1.3,6.0,1.11,1.67,2.1
Japan J2 League,2023-07-09,07:00:00,25,Montedio Yamagata,Jubilo Iwata,2.56,3.02,2.45,1.05,9.0,1.25,3.75,1.8,1.8,2.9,1.38,5.0,1.14,1.62,2.2
Japan J2 League,2023-07-09,07:00:00,25,ThespaKusatsu Gunma,Omiya Ardija,1.83,3.2,3.69,1.07,7.5,1.33,3.1,1.8,1.8,3.5,1.28,6.5,1.1,1.75,2.0
Japan J2 League,2023-07-09,07:00:00,25,JEF United,Zweigen Kanazawa,1.79,3.11,4.02,1.07,7.5,1.33,3.1,2.0,1.67,3.6,1.25,6.5,1.1,1.9,1.85
Japan J2 League,2023-07-09,07:00:00,25,Tokushima Vortis,Fagiano Okayama,2.65,3.04,2.36,1.04,7.4,1.38,2.75,1.9,1.71,4.05,1.19,7.9,1.04,1.91,1.8
Japan J2 League,2023-07-09,07:00:00,25,Oita Trinita,Shimizu S-Pulse,2.6,2.94,2.47,1.03,14.0,1.25,3.6,2.1,1.6,3.0,1.35,5.75,1.13,1.73,2.0
Sweden Allsvenskan,2023-07-09,10:00:00,14,Malmö FF,Mjällby,1.22,5.18,8.7,1.03,15.0,1.2,4.5,1.6,2.19,2.17,1.62,5.0,1.18,2.1,1.67
Sweden Allsvenskan,2023-07-09,10:00:00,14,Sirius,Hammarby,2.92,3.18,2.11,1.03,14.0,1.23,3.8,1.78,2.04,2.8,1.38,5.25,1.14,1.62,2.2
9288,2023-07-09,10:00:00,10,Rampla Juniors,Rentistas,2.65,3.0,2.7,1.09,7.7,1.44,2.6,2.35,1.53,4.28,1.18,7.95,1.05,2.0,1.72
Brazil Serie A,2023-07-09,11:00:00,14,Santos,Goiás,1.85,3.5,4.5,1.09,8.25,1.5,2.45,2.4,1.53,4.8,1.18,11.0,1.05,2.2,1.62
Brazil Serie D,2023-07-09,11:00:00,12,CAP,Operário MT,1.45,3.8,6.0,1.08,7.85,1.41,2.61,2.2,1.65,4.23,1.18,7.85,1.05,2.45,1.48
Norway Eliteserien,2023-07-09,12:00:00,13,Odd,FK Bodo - Glimt,4.64,3.88,1.46,1.01,16.0,1.14,4.8,1.55,2.29,2.25,1.57,3.45,1.25,1.62,2.2
Norway Eliteserien,2023-07-09,12:00:00,13,Rosenborg,Lillestrøm,1.97,3.1,3.03,1.03,12.0,1.23,3.5,1.84,1.7,2.95,1.32,5.5,1.12,1.67,2.1
Norway Eliteserien,2023-07-09,12:00:00,13,Sandefjord,Stabæk,2.55,2.96,2.33,1.03,12.0,1.23,3.5,2.0,1.85,2.95,1.32,5.5,1.12,1.67,2.1
Norway Eliteserien,2023-07-09,12:00:00,13,Strømsgodset,Sarpsborg 08,2.6,3.21,2.15,1.01,21.0,1.15,5.0,1.55,2.29,2.19,1.6,3.45,1.25,1.44,2.63
Norway Eliteserien,2023-07-09,12:00:00,13,Tromsø,Vålerenga,2.35,2.96,2.52,1.04,9.75,1.28,3.15,1.98,1.88,3.25,1.26,6.5,1.09,1.8,1.95
Sweden Allsvenskan,2023-07-09,12:30:00,14,Kalmar,Elfsborg,3.21,3.18,1.98,1.05,13.0,1.26,3.88,1.73,1.88,3.0,1.39,5.7,1.14,1.67,2.1
Finland Veikkausliiga,2023-07-09,12:30:00,15,Mariehamn,Oulu,2.58,2.87,2.36,1.06,11.0,1.32,3.42,2.01,1.87,3.45,1.32,6.7,1.11,1.75,2.0
Uruguay Primera División,2023-07-09,12:30:00,5,Plaza Colonia,Deportivo Maldonado,2.36,2.91,2.36,1.08,7.0,1.4,2.75,2.15,1.57,4.0,1.22,8.0,1.06,1.91,1.8
Chile Primera B,2023-07-09,13:30:00,2,Antofagasta,Cobreloa,1.76,3.11,3.98,1.05,10.75,1.27,3.3,1.85,1.76,3.0,1.3,5.8,1.1,1.8,1.9
Chile Primera B,2023-07-09,13:30:00,17,Recoleta,Deportes Temuco,2.12,3.1,3.25,1.08,8.1,1.38,2.66,2.25,1.6,3.9,1.2,7.4,1.06,1.95,1.75
Norway Eliteserien,2023-07-09,14:15:00,13,Molde,Brann,1.99,3.29,2.84,1.02,19.0,1.18,5.0,1.55,2.29,2.15,1.62,4.0,1.25,1.44,2.63
